<page title>|actual weight|attributes|brightness lumens|brightness nitscdm2|color|color support|compatibility notes|compliant standards|connector|connector type|contents|contrast ratio|diagonal size|digital video standard|display position adjustments|display size|display technology|display type|dot pitch|energy star qualified|energy star version|form factor|horizontal frequency khz|image aspect ratio|image brightness|image size max|image size min|internal resolution max|lamp type|native resolution|os notes|physical dimensions|portsconnectors|power notes|product type|projector type|refurbished type|resolution modes|response timerate|returns policy|screen distance min|speakers included|system requirements|target use|vertical frequency hz|viewing angle hv degrees|warranty  labor|warranty  parts|warranty details|weight
Buy Chief Manufacturing Medium FUSION Micro-Adjustable Pull-Out Stands & Mounts - AV MSMVU today at PC Connection|||||Black||"ControlZone Leveling provides post-installation fine tuning of height and leveling for a seamless installation.
Centerless Shift provides post-installation lateral shift to easily slide screens apart or together for easy maintenance and perfect alignment.
ClickConnect offers an audible click when the screen safely engages with the mount.
Allows fine-tuning plumb adjustment to ensure screens are perfectly vertical for a seamless install, can be used to compensate for walls that are not perfectly flat.
Built-in cable stand provides easy access under the screen.
Provides integrated security, just add a padlock.
Can be used with a 2 x 2 video wall matrix or larger.
Steel stud mounting possible with series PAC115 and using 2 studs only.
For 26""-47"" Displays.
Max weight capacity of 125 pounds."|UL|||Mount, documentation|||||||||||||||||||||"16.5""h x 25.5""w x 3.7""d"|||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||Call for Warranty|Call for Warranty||
"Buy HP 23"" Z23I Full HD LED-LCD Monitor, Black Monitors - LED-LCD D7Q13A4#ABA today at PC Connection"||Pivot||250 nit(s)|Black|||['TCO Certified Edge', 'GOST', 'EPEAT Gold', 'PSB', 'ICES', 'CSA', 'C-Tick', 'WHQL', 'NOM', 'FCC', 'TUV', 'CEL', 'CUL', 'VCCI', 'S Mark', 'Plug and Play', 'GS', 'BSMI', 'CCC', 'CB', 'MIC']|['Power', 'HDDB15', 'DVI-D', 'DisplayPort']|['DisplayPort', 'DVI-D', 'Power', 'VGA']|monitor, documentation|1000:1||Digital Visual Interface (DVI)|['Tilt', 'Pivot (rotation)', 'Height']|23 in|['LCD', 'LED-backlit']|Widescreen||Yes|||||250 cd/m2|||1920 x 1080|||||"(1) HDDB15 VGA
(1) DVI-D
(1) DisplayPort
(1) Power in"|Consumption: 36W (max)|||||8 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||178/178|3 Years|3 Years||14.100 lb(s)
Buy Elite Portable Tripod Pull-up Projection Screen, MaxWhite, 1:1, Projector Screens T136NWS1 today at PC Connection|||||White||||||Screen, casing, tripod stand, documentation|||||||||||||||||||||"149.5""h x 102""w"|||Projection screen|||||This product is subject to our return policy. Please see our complete return policy for details.|||Carrying case sold separately.||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
Buy Elite Fixed SableFrame Home Projection Screen, CineWhite, 16:9, Projector Screens ER100WH1 today at PC Connection||||||||||||||||||||||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
Buy Elite VMax Electric Projection Screen with Black Case, Matte Projector Screens VMAX99UWS today at PC Connection|||||['White', 'Black']||"Mounting brackets sold separately.
Mounting brackets sold separately."||||Screen, case, IR remote, RF remote, wall switch, 12v trigger adapter, IR sensor, hardware, documentation|||||||||||||||||||||"83""h x 82""w"|||Projection screen (motorized)|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
"Buy AOC 17"" E719SD LED-LCD Monitor, Black Monitors - LED-LCD E719SD today at PC Connection"|||||['Silver', 'Black']|||['EuP', 'RoHS', 'GOST', 'TCO Displays 6.0']|||||||Tilt|17 in|||0.264 mm|Yes|||||250 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy Acer 20"" V206HQL Abmd LED-LCD Monitor with Speakers, Black Monitors - LED-LCD UM.IV6AA.A01 today at PC Connection"||['Dual speakers', 'Speakers Included']||200 nit(s)|Black|16.7 million colors|"Dimensions with stand: 14.3""h x 18.2""w x 7.5""d
1W x 2 Speakers."|EPEAT Gold|['Power', 'HDDB15', 'DVI']|['VGA', 'Power', 'DVI']|monitor, DVI cable, VGA cable, power cord, documentation|100,000,000:1||Digital Visual Interface (DVI)|Tilt|19.5 in|['LCD', 'LED-backlit']|Widescreen|||||||200 cd/m2|||1600 x 900|||||"(1) DVI
(1) HDDB15 VGA
(1) Power in"|"Supply: 110-220VAC
Consumption: 16.2W (typ.); 0.5W (standby); 0.4W (off mode)"|||||5 ms|||||||90/65|3 Years|3 Years||
"Buy 3M Privacy Filter for 25"" Widescreen (16:9) Monitors Glare Filters & Privacy Screens PF25.0W9 today at PC Connection"|0.00 lb(s)||||||"Fits 25"" widescreen desktop LCD monitors with an aspect ratio of 16:9."||||Privacy filter, documentation|||||||||||||||||||||"12.3""h x 21.8""w"|||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
"Buy Benq 27"" GL2760H Full HD LED-LCD Monitor, Glossy Black Monitors - LED-LCD GL2760H today at PC Connection"|||||Glossy black|||['TCO Displays 6.0', 'TUV Bauart']|||||||Tilt|27 in|||0.311 mm|Yes|||||300 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
Buy C2G TruLink HDMI over Cat5 Extender Double Gang Wall Plate Video Extenders & Splitters 29258 today at PC Connection|0.90 lb(s)||||White|||RoHS|||receiver unit, mounting hardware, documentation||||||||||||||||||||||"(1) HDMI (F)
(1) RJ-45 (F)"|Supply: 100-240VAC|Wall plate|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
Buy Samsung 6-Point IR Touch Overlay for ED65C, MD65C Digital Signage Systems & Modules CY-TE65 today at PC Connection|||||['Black', 'Clear']||"Upgrade your display:
Use an overlay to prevent damage to displays in busy public areas or to add touch technology so that members of the public can interact with your content. An interactive whiteboard option lets you write on-screen to improve learning and make presentations more engaging. Save energy by using an LFD and overlay instead of a projector and interactive whiteboard.
Cost effective solution:
In today’s unstable economic environment, businesses are constantly looking for ways to “do more with less” and to enhance equipment longevity with as little expenditure as possible. Samsung protection glass can protect your screen while it is displayed in public areas. Scratch resistant and shatter-proof, this screen shields the panel from damage so your images stay clear for years to come.
Compatible with ED65C, MD65C.
6 point Simultaneous Touch."||||Overlay, documentation|||||||||||||||||||||"34.7""h x 59.1""w x 2.5""d"||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
Buy HP Adjustable Dual Monitor Stand Stands & Mounts - AV AW664UT#ABA today at PC Connection|12.30 lb(s)||||Black||"Use two external displays up to 24 inches in size at once to increase productivity.
Either or both displays can be rotated to landscape or portrait orientation.
Adjust your computer screen to a comfortable eye level - Dual-hinged design allows for greater depth, height and tilt and angle adjustment for maximum comfort.
Keep your desktop clutter-free even when connecting multiple devices with the simple cable management channels on the back of the stand."||||stand, documentation|||||||||||||||||||||"15.7""h x 19.7""w x 14""d"|||Display stand|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||1 Year|1 Year||
Buy Peerless Universal Speaker Mount Kit, Black, 2-pack Stands & Mounts - AV PM732 today at PC Connection|||||Black||||||"(2) mounts, 3"" extension, hardware kit, documentation"||||||||||||||||||||||||Mounting kit|||||This product is subject to our return policy. Please see our complete return policy for details.||||Speaker|||5 Years|5 Years||
"Buy ELO Touch Solutions 2401LM 24"" LCD VGA DVI Medical Intellitouch Monitors - Medical E263686 today at PC Connection"|||||White|||['CCC', 'EMC', 'EN 60601-1', 'EN 60950-1', 'EN 55024', 'KC', 'C-Tick', 'EN 55022', 'IEC 60601-1', 'BSMI', 'IPX1', 'WEEE', 'GOST', 'VCCI', 'RoHS', 'CUL']||||||||24 in|||||||||270 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
Buy NDS RGX2 LCD Monitor with nVidia NVS 285X16 Card Monitors - LCD 997-3999-00 today at PC Connection||||||||['CUL', 'KCC', 'VCCI', 'REACH', 'CCC', 'WEEE', 'RoHS', 'FCC']||||||||20.1 in|||0.255 mm||||||300 cd/m2|||||||||||||||Due to manufacturer restrictions, all sales on this item are final.|||||||N/A|N/A||
"Buy Open Box 3M 19-21"" Executive Anti-Glare Computer Filter, Black Glare Filters & Privacy Screens EF200XXLB today at PC Connection"|||||Black||||||Filter, documentation|||||||||||||||||||||"14.3""h x 17.3""w x 0.4""d"|||Display screen filter||Open Box|||This product is subject to our return policy. Please see our complete return policy for details.|||||||90 Days|90 Days||
"Buy Acer 24"" Full HD LED-LCD Monitor with Speakers Monitors - LED-LCD UM.FB6AA.001 today at PC Connection"|7.60 lb(s)|['Speakers Included', 'Dual speakers']||250 nit(s)|Black|16.7 million colors|"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact."|TCO Displays 6.0|['DVI', 'HDDB15', 'Power']|['DVI', 'VGA', 'Power']|Monitor, DVI cable, power cord, VGA cable, documentation|100,000,000:1||Digital Visual Interface (DVI)|['Swivel', 'Pivot (rotation)', 'Tilt', 'Height']|24 in|['LED-backlit', 'LCD']|Widescreen||Yes|||||250 cd/m2|||1920 x 1080||||"15.1""h x 22.3""w x 8.7""d"|"(1) DVI
(1) HDDB15 VGA
(1) Power in"|Supply: 110-220VAC|||||5 ms|||||||170/160|3 Years|3 Years||
"Buy 3M 14.1"" Notebook Privacy Filter Glare Filters & Privacy Screens PF14.1 today at PC Connection"|||||||||||Filter, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||"Notebook with a 14.1"" screen"||||1 Year|1 Year||
"Buy Acer 19"" V196HQL AB LED-LCD Monitor, Black Monitors - LED-LCD UM.XV6AA.A01 today at PC Connection"|4.40 lb(s)|||200 nit(s)|Black|16.7 million colors|"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact.
Dimensions and weight with stand:
13.9""h x 17.4""w x 7.5""d
5.5 lbs."|['EPEAT Gold', 'MPRII']|['Power', 'HDDB15']|['Power', 'VGA']|Monitor, VGA cable, power cord, documentation|100,000,000:1||||18.5 in|['LED-backlit', 'LCD']|Widescreen|||||||200 cd/m2|||1366 x 768||||"10.5""h x 17.4""w x 2""d"|"(1) HDDB15 VGA
(1) Power in"|"Supply: 110-220VAC
Consumption: 11.9W (typ.); 0.5W (standby); 0.4W (off mode)"|||||5 ms|||||||90/65|3 Years|3 Years|limited|
"Buy Asus 29"" MX299Q LED-LCD Ultrawide Frameless Monitor, Black Monitors - Large-Format LED-LCD MX299Q today at PC Connection"|||||['Silver', 'Black']|||['C-Tick', 'CUL', 'ErP Ready', 'VCCI', 'FCC', 'WEEE', 'RoHS', 'WHQL', 'CB', 'BSMI', 'J-MOSS', 'CCC']|||||||Tilt|29 in|||0.2628 mm|Yes|||||300 cd/m2||||||||||||||||||||||Call for Warranty|Call for Warranty||
"Buy Acer 22"" B226HQL AYMDR Full HD LED-LCD Monitor with Speakers Monitors - LED-LCD UM.WB6AA.A01 today at PC Connection"||['Speakers Included', 'Dual speakers']||250 cd/m2|Black||"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact."|EPEAT Gold|['HDDB15', 'DVI', 'Power']|['Power', 'VGA', 'DVI']|Monitor, VGA cable, DVI cable, audio cable, documentation|100,000,000:1||Digital Visual Interface (DVI)|['Tilt', 'Swivel', 'Height', 'Pivot (rotation)']|22 in|['LCD', 'LED-backlit']|Widescreen||Yes|||||250 cd/m2|||1920 x 1080|||||"(1) DVI
(1) HDDB15 VGA
(1) Power in"||||||8 ms|||||||178/178|3 Years|3 Years|limited|
"Buy Lenovo 17"" LT1713P LED-LCD Monitor, Black Monitors - LED-LCD 60B3HAR2US today at PC Connection"|7.90 lb(s)|||250 cd/m2|Black|16.7 million colors|"Arsenic Free Glass
The Electronic Product Environmental Assessment Tool (EPEAT) Gold certified"|['CTUVus', 'TCO Displays 6.0', 'TCO Certified Edge 1.2', 'RoHS', 'TUV', 'CCC']|['Power', 'DVI', 'HDDB15']|['DVI', 'VGA', 'Power']|monitor, documentation|1000:1||Digital Visual Interface (DVI)|['Tilt', 'Height']|17 in|['LCD', 'LED-backlit']|Widescreen|0.264 mm|Yes|6.0||||250 cd/m2|||1280 x 1024||||"16""h x 14.6""w x 6.5""d"|"(1) HDDB15 VGA
(1) DVI
(1) Power in"||||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
