3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|environmentconscious and reliable|features|flexible viewing and connectivity options|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|impressive screen clarity|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|superb performance|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|versatile connections|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|UM.VG7EE.005, ACEG237HLBI, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1|||185 mm||||31 kWh|A||CrystalBrite|||MPR II|Yes||Yes|||402 mm||178°||['220 V AC', '110 V AC']|2 Year|Acer, Inc|UM.VG7EE.005||1920 x 1080|||1||450 mW|25 W|G237HL Widescreen LCD Monitor1 x VGA CablePower Cord||In-plane Switching (IPS) Technology||||G237HL|G237HL Widescreen LCD Monitor|G|LCD Monitor|||6 ms|Full HD|"58.4 cm (23"")"||||||490 mW|||No|||-5°to15°||||178°|||Yes|||||532 mm
|C9F26AA#ABB, HP, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|HP|250 cd/m²|||Black||||1,000:1||47.5 mm|151.10 mm|||Yes||||Security Lock|||['EPEAT Gold', 'TCO Certified Displays', 'ENERGY STAR']|Yes|Yes|||294.1 mm|359.20 mm||170°||['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|C9F26AA#ABB||1600 x 900|||1|||22 W|ProDisplay P201 50,8 cm (20'') LED Backlit Monitor (C9F26AA)VGA CableDVI CableAC PowerPrinted Documentation and CD|||||Essential|P201|ProDisplay P201 50,8 cm (20'') LED Backlit Monitor||LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|Anti-glare|||||500 mW||||||||||160°|Yes|100 x 100|Yes||3.50 kg||482 mm|482 mm
|F0W81AA#ABU, 943AFNZ, HP, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|HP|250 cd/m²|USB Hub||Silver||||5,000,000:1||55 mm|276.20 mm||Yes|Yes||||Security Lock|||['WEEE', 'TCO Certified Edge', 'TCO Certified Displays', 'REACH', 'ENERGY STAR', 'EPEAT Gold']|Yes|Yes|||362.6 mm|516.56 mm||178°||['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|F0W81AA#ABU||1920 x 1200|||1|||40 W|EliteDisplay E241i 61 cm (24'') IPS LED Backlit Monitor (ENERGY STAR) VGA Cable USB Cable DisplayPort Cable AC Power Cable Printed Documentation and CD (User Guide, Warranty and Drivers) HP Display Assistant Software||In-plane Switching (IPS) Technology|||Business|E241i|EliteDisplay E241i 61 cm (24'') IPS LED Backlit Monitor (ENERGY STAR)||LCD Monitor|||8 ms|WUXGA|"61 cm (24"")"|Anti-glare|||||500 mW|||180°|||-5°to30°|Yes|USB 2.0||178°|||Yes|||6.58 kg|556 mm|556 mm
|VE248H, ASUCAS048, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Asus|250 cd/m²|||Black|16.7 Million Colours|||10,000,000:1||201 mm||||Yes|||||||ENERGY STAR||Yes|Yes||409.7 mm|||170°||||ASUS Computer International|VE248H||1920 x 1080|Wall Mountable||1|2||34 W||||PC|||VE248H|VE248H Widescreen LCD Monitor|VE|LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||Yes|76 Hz|990 mW||||||||||160°|Yes|100 x 100|Yes||4.40 kg||569.4 mm|
|233V5LSB/00, 2788642, Philips, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Philips|250 cd/m²||BSMI CE Mark cETLus FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307|Black|16.7 Million Colours|||1,000:1||53 mm|219 mm|||Yes||||['SmartContrast', 'Security Lock', 'Sync on Green']|||['WEEE', 'RoHS', 'TCO Certified Displays', 'ENERGY STAR 6.0', 'EPEAT Silver']|Yes|Yes|||340 mm|416 mm||170°||['110 V AC', '220 V AC']||Philips Electronics|233V5LSB/00||1920 x 1080|||1||500 mW|20.11 W||||['PC', 'Mac']||V-line|233V5LSB|LCD Monitor with SmartControl Lite||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|||||60 Hz|500 mW||||||||||160°|Yes|100 x 100|Yes||3.13 kg|3.50 kg|547 mm|547 mm
|C9V75AA#ABU, HP, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|HP|250 cd/m²|USB Hub||Black||||1,000:1||51 mm|242.40 mm||Yes|Yes||||Security Lock|||['TCO Certified Edge', 'ENERGY STAR', 'EPEAT Gold', 'REACH']|Yes|Yes|||329 mm|469.90 mm||170°||['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|C9V75AA#ABU||1920 x 1080|Desk Mountable||1|||36 W|EliteDisplay E231 58,4 cm (23'') LED Backlit Monitor (C9V75AA) VGA cable DisplayPort cable USB cable AC power cable Printed documentation and CD HP DisplayAssistant software|||PC||Business|E231|EliteDisplay E231 58,4 cm (23'') LED Backlit Monitor|Advantage|LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|Anti-glare|||||500 mW|||||||Yes|USB 2.0||160°|||Yes||6.10 kg||544 mm|544 mm
|190SL1SB/00, 2568288, Philips, LCD Monitor, IML Direct Italy|||||16:10|LED|Philips|250 cd/m²|||Black||||20,000,000:1||||||Yes||||||||||||||||||3 Year|Philips Electronics|190SL1SB/00||1440 x 900|||1||||||||||190SL1SB|190SL1SB Widescreen LCD Monitor|S|LCD Monitor|||5 ms|WXGA+|"48.3 cm (19"")"|||||||||||||||||||Yes|||||
|231P4QPYEB/00, PHI231P4QPYEB, Philips, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Philips|250 cd/m²|['USB Hub', 'Speaker']|GOSTSASOSEMKOTUV ErgoTUV/GSUL/cULBSMICEFCC Class B|Black|16.7 Million Colours|||1,000:1||60 mm|220 mm||Yes|Yes||||['Security Lock', 'SmartImage', 'PowerSensor', 'SmartErgoBase']|||['ENERGY STAR 5.0', 'TCO Certified Displays 5.2', 'WEEE', 'TCO Certified Edge', 'RoHS', 'EPEAT Gold']|Yes|Yes||Yes|343 mm|515 mm||178°||['220 V AC', '110 V AC']||Philips Electronics|231P4QPYEB/00||1920 x 1080|||1|2||29.10 W|||In-plane Switching (IPS) Technology|['Mac', 'PC']|65%|Brilliance|231P4QPYEB|LCD Monitor, LED Backlight with PowerSensor|P|LCD Monitor|Yes|Plastic|7 ms|Full HD|"58.4 cm (23"")"||||Yes|60 Hz|300 mW|||||||Yes|USB 2.0||178°|Yes|100 x 100|Yes||3.09 kg|5.23 kg|547 mm|547 mm
|UM.HB0EE.A01, 3168195, Acer, LCD Monitor, IML Direct Italy|||||16:9|LED|Acer|300 cd/m²|||Black|16.7 Million Colours|||1,000:1||61.8 mm|244.70 mm||Yes|||||||Click to view|['EPEAT Gold', 'TCO Certified Displays 6.0']|Yes||||380.9 mm|558.10 mm|||||2 Year|Acer, Inc|UM.HB0EE.A01||1920 x 1080|||1||350 mW|29 W|XB270H Widescreen LCD Monitor1 x DisplayPort CablePower Cord1 x USB 3.0 Cable||Twisted Nematic Film (TN Film)||||XB270H|XB270H Widescreen LCD Monitor|X|LCD Monitor|||1 ms|Full HD|"68.6 cm (27"")"||||||450 mW||||||-5°to35°|||||||||||639.7 mm|639.70 mm
|859-10178, DELS2340L, Dell, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Dell|250 cd/m²||EMC|Black|16.7 Million Colours|||1,000:1||37.8 mm|4.47 m|||||||Security Lock|||['EPEAT Silver', 'ENERGY STAR']|Yes||Yes||297.7 mm|398.78 mm||178°||['110 V AC', '220 V AC']|1 Year|Dell, Inc|859-10178||1920 x 1080|||1||500 mW|24 W|"S2340L 23"" (58cm) LED Monitor Full HD (1920x1080) VGA,HDMI Power Cable and Adapter Adapter Cable VGA Cable Velcro Strap Drivers & Documentation Media Quick Setup Guide Product and Safety Information Guide"||In-plane Switching (IPS) Technology|PC|||S2340L|"S2340L 23"" (58cm) LED Monitor Full HD (1920x1080) VGA,HDMI"||LCD Monitor|||7 ms|Full HD|"58.4 cm (23"")"|||||60 Hz|||||||||||178°|||Yes||2.95 kg|3.91 kg|532.1 mm|532.13 mm
|9H.L6XLA.DBE, 3017679, BenQ, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|BenQ|250 cd/m²|Speaker||Black|16.7 Million Colours|||12,000,000:1||173.9 mm||||Yes||||['Security Lock', 'Senseye 3', 'Flicker-free', 'Eye-Care', 'Advanced Motion Accelerator (AMA)']|||['TCO Displays 5.0', 'ENERGY STAR 5.1']|Yes|Yes|Yes||399.9 mm|||170°||['220 V AC', '110 V AC']||BenQ Corporation|9H.L6XLA.DBE||1920 x 1080|Wall Mountable||1|2||30 W|||Twisted Nematic Film (TN Film)|PC|||GL2250HM|GL2250HM Widescreen LCD Monitor|GL|LCD Monitor|||2 ms|Full HD|"54.6 cm (21.5"")"||||Yes||300 mW||||||-5°to15°||||160°|Yes|100 x 100|Yes||3.80 kg||524.7 mm|
|UM.EB6EE.009, 3051252, Acer, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|Acer|250 cd/m²|||White|16.7 Million Colours|||100,000,000:1||52 mm|221.20 mm|||Yes|||||||['EPEAT Gold', 'TCO Certified Displays 6.0']|Yes|Yes|||333.1 mm|534.10 mm||170°||['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.EB6EE.009|150 mm|1680 x 1050|||1||350 mW|17.20 W|B246HL Widescreen LCD MonitorPower Cord1 x VGA Cable1 x DVI Cable||Twisted Nematic Film (TN Film)||||B226WL|B246HL Widescreen LCD Monitor|B|LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"|Anti-glare|||Yes|60 Hz|450 mW|||60°|||-5°to35°||||160°|Yes|100 x 100|Yes||3.09 kg|5.75 kg|505.8 mm|505.80 mm
|25UM65-P, 3003553, LG Electronics, LCD Monitor, IML Direct Italy|||||21:9|LED|LG||Speaker||Black|||||||||Yes|Yes||||Mobile High-Definition Link (MHL)||||||Yes|||||||||LG Electronics|25UM65-P||2560 x 1080|||1|2|||||In-plane Switching (IPS) Technology||||25UM65-P|25UM65-P Widescreen LCD Monitor||LCD Monitor|||5 ms|UW-UXGA|"63.5 cm (25"")"||||Yes|||||||||Yes|USB 3.0||||||||||
|FWD-S42H1, 1625962, Sony, LCD Monitor, IML Direct Italy|||||16:9||Sony|700 cd/m²|Speaker|||1.06 Billion Colors||Yes|1,000:1||124.5 mm||||Yes|||||||||Yes|||577.9 mm|||178°||||Sony Corporation|FWD-S42H1||1920 x 1080|['Arm-mountable', 'Wall Mountable']||1|2|||||||||FWD-S42H1|FWD-S42H1 Widescreen LCD Monitor|FWD|LCD Monitor|||8 ms|Full HD|"106.7 cm (42"")"||||Yes||||Yes||||||||178°|||Yes||29.94 kg||984.3 mm|
|273V5QHAB/00, 3251433, Philips, LCD Monitor, IML Direct Italy|||||16:9|LED|Philips|300 cd/m²|Speaker||['Black Hairline', 'Textured Black']|16.7 Million Colours|||10,000,000:1||57 mm|240 mm|||Yes||||||Click to view|['RoHS', 'TÜV', 'WEEE', 'EPEAT Silver', 'ENERGY STAR 6.0', 'TCO Certified Displays']|Yes||Yes||398 mm|471 mm|||||2 Year|Philips Electronics|273V5QHAB/00||1920 x 1080|||1|||27.43 W|||||||273V5QHAB|LCD Monitor with LED Backlight|V|LCD Monitor|||4 ms|Full HD|"68.6 cm (27"")"||||Yes|||||||||||||Yes||Yes||4 kg|4.53 kg|646 mm|646 mm
|LS23MURHB/EN, Samsung, LCD Monitor, IML Direct Italy|||||16:9||Samsung|300 cd/m²|||Black|16.7 Million Colours|||3,000:1|||307.20 mm||Yes|Yes|||||||||||||760.30 mm||178°|||3 Year|Samsung|LS23MURHB/EN||1920 x 1080|Wall Mountable||6|||276 W|SyncMaster MD230X6 Widescreen LCD MonitorDVI-D CableDisplay Port CableUSB CableKeypad OperationPower CableConnecting CableHandbook|||PC||SyncMaster|MD230X6|SyncMaster MD230X6 Widescreen LCD Monitor||LCD Monitor|||8 ms|Full HD|"58.4 cm (23"")"||||||6 W||||||||||178°|Yes|100 x 100|Yes||43.10 kg|||1585.80 mm
|60002933, 3967385, NEC Display Solutions, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|NEC Display|250 cd/m²|||Black|16.7 Million Colours|||1,000:1||71.1 mm|213.40 mm|||Yes|||||||['TCO Displays 5.0', 'RoHS', 'ENERGY STAR', 'EPEAT Silver']|Yes|Yes|||330.2 mm|492.80 mm||176°||['110 V AC', '220 V AC']|3 Year|NEC Display Solutions|60002933||1920 x 1080|||1|||28 W||||PC||MultiSync|E231W|MultiSync E231W Widescreen LCD Monitor|E|LCD Monitor|||5 ms||"58.4 cm (23"")"|||||50 Hz|340 mW||||||||||176°|Yes|100 x 100|Yes||4.20 kg|6.20 kg|551.2 mm|551.20 mm
|C272P4QPKEW/00, 2974033, Philips, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Philips|300 cd/m²|['USB Hub', 'Webcam', 'Speaker']|IEC/EN60601-1-2 CE Mark IEC/EN60601-1 GOST JIS Z2801|Textured White|16.7 Million Colours|||1,000:1||64 mm|242 mm|Landscape/Portrait|Yes|Yes||||['Multiview', 'Sync on Green', 'Zero Power Switch', 'Antimicrobial', 'SmartErgoBase', 'PowerSensor', 'SmartImage Clinic', 'SmartControl', 'Security Lock']|||['TÜV', 'ENERGY STAR 6.0', 'TCO Certified Displays 6.0', 'WEEE', 'EPEAT Gold', 'RoHS']|Yes|Yes|Yes|Yes|405 mm|580 mm||178°||['220 V AC', '110 V AC']|1 Year|Philips Electronics|C272P4QPKEW/00|150 mm|2560 x 1440|Wall Mountable||1|2|0 mW|27.80 W|||PLS (Plane to Line Switching) Technology|['PC', 'Mac']||Brilliance|C272P4QPKEW|Brilliance LCD Monitor with Clinical D-image||LCD Monitor|||12 ms|WQHD|"68.6 cm (27"")"||||Yes|60 Hz|300 mW|||65°|||-5°to20°|Yes|USB 3.0||178°|Yes|100 x 100||Yes|5.70 kg|8.50 kg|639 mm|639 mm
|60003493, NECEA274WMIB, NEC Display Solutions, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|NEC Display|350 cd/m²|||Black|16.77 Million Colors|||1,000:1|||230 mm||Yes|Yes|||||||['TCO Certified Displays', 'EPEAT Gold']|Yes||Yes|||417.90 mm||178°|||3 Year|NEC Display Solutions|60003493||2560 x 1440|||1|||57 W|||In-plane Switching (IPS) Technology|||MultiSync|EA274WMi|EA274WMi Widescreen LCD Monitor|EA|LCD Monitor|||6 ms|WQHD|"68.6 cm (27"")"||||||800 mW|||||||Yes|||178°|||Yes|||8.70 kg||639.20 mm
|C4D30AA#ABU, HP, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|HP|250 cd/m²||CBCEFCC MarkingCSA/C-UL/C-ETL MarkUL/CSA-NTRL/ETL-NRTL MarkICESCCCBauartISO9241-307GOST 25861HRN N N0.201GOST R50377-1992GOST 25861EEIIS 1121SASOSABS IEC 60950-1NOM-019-SCFI-1998KC MarkKCC MarkPSB MarkISC MarkC-Tick|['Black', 'Iridium Silver']||||1,000:1||171 mm||||Yes||||Security Lock|||['ENERGY STAR 5.2', 'ErP', 'CECP', 'WEEE', 'REACH']|Yes|Yes|Yes||385 mm|||178°|||1 Year|Hewlett-Packard|C4D30AA#ABU||1920 x 1080|||1|||28 W|"Pavilion 22xi 54.6 cm (21.5"") Diagonal IPS LED Backlit Monitor HDMI CableA/C Power CablePower AdapterVGA CableDVI-D CableDocumentation CD (Warranty, Drives)Setup PosterCable Management Clip"||In-plane Switching (IPS) Technology|PC||Pavilion|22xi|"Pavilion 22xi 54.6 cm (21.5"") Diagonal IPS LED Backlit Monitor"||LCD Monitor|Yes|Plastic|7 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare||||60 Hz|500 mW||||||||||178°|||Yes||3 kg||499 mm|
|247E6QDSD/00, 3173325, Philips, LCD Monitor, IML Direct Italy||Yes||Yes|16:9|LED|Philips|250 cd/m²||BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307 UL/cUL|Glossy Black Cherry|16.7 Million Colours|||20,000,000:1||43 mm|212 mm|||Yes||||['SmartImage', 'Flicker-free', 'Security Lock', 'Touch Controls', 'SmartContrast', 'SmartControl Lite', 'TrueVision', 'Mobile High-Definition Link (MHL)']|||['TCO Certified Displays 5.2', 'WEEE', 'EPEAT Silver', 'ENERGY STAR 6.0', 'RoHS']|Yes|Yes|||347 mm|429 mm||178°||['230 V AC', '120 V AC']||Philips Electronics|247E6QDSD/00||1920 x 1080|||1||300 mW|18.51 W|||In-plane Switching (IPS) Technology|['Mac', 'PC']|65%||247E6QDSD|LED Backlit LCD Monitor|E|LCD Monitor|Yes|Plastic|5 ms|Full HD|"61 cm (24"")"|||||60 Hz|500 mW||||||-5°to20°||||178°|||Yes||3.27 kg|3.65 kg|561 mm|561 mm
|E9Q82A4#ABU, HP, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|HP|350 cd/m²|USB Hub|WHQL FCC CE UL TUV-GS TUVKC-Ergonomics C-Tick S-Mark for Argentina VCCI CCC PSB for Singapore EAC (Russia) NOM (Mexico)|Black|1.07 Billion Colors|||5,000,000:1||66.5 mm|238 mm||Yes|Yes||||Security Lock|||['CECP', 'China Energy Label (CEL)', 'RoHS', 'WEEE', 'EPEAT Gold', 'REACH', 'TCO Certified Displays', 'TCO Certified Displays 6.0', 'ENERGY STAR']|Yes|Yes|Yes||365 mm|525 mm||178°||['230 V AC', '120 V AC']|3 Year|Hewlett-Packard|E9Q82A4#ABU||1920 x 1200|||1|||84 W|DreamColor Z24x Professional Display (E9Q82A8) Stand AC Power Cord USB Cable DisplayPort 1.2 Cable DVI-D Cable DVD Documentation Kit Factory Calibration Report||In-plane Switching (IPS) Technology|PC||Business|Z24x|DreamColor Z24x Professional Display (E9Q82A4)|Z|LCD Monitor|||12 ms|WUXGA|"61 cm (24"")"|Anti-glare||||||||45°|||-5°to20°|Yes|USB 3.0||178°||||||6.98 kg|559.4 mm|559.40 mm
|R28LBUK, S602WG0, Lenovo, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Lenovo|250 cd/m²|['USB Hub', 'Speaker', 'Microphone']|TUV Green MarkUL Environment Gold|Raven Black|16.77 Million Colors|||1,000:1||56.4 mm|||Yes|||||['Ambient Light Sensor', 'Security Lock']|||['EPEAT Gold', 'TCO Certified Edge Displays 1.1', 'ENERGY STAR 6.0']|Yes||||387.2 mm|||178°||['110 V AC', '220 V AC']|3 Year|Lenovo Group Limited|R28LBUK||1920 x 1080|||1|2||40 W|||Enhanced In-plane Switching (E-IPS) Technology|PC||ThinkVision|LT2323z|LT2323z Wide 23inch e-IPS Flat Panel Monitor||LCD Monitor||||Full HD|"58.4 cm (23"")"||||Yes||500 mW|||||||Yes|USB 3.0||178°|Yes|100 x 100||Yes|6.16 kg||545.3 mm|
|9H.L7CLA.4BE, 3150179, BenQ, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|BenQ|250 cd/m²|Speaker|||16.7 Million Colours|||12,000,000:1|||213 mm|||Yes||||['Eco Mode', 'Flicker-free', 'Senseye 3', 'Security Lock']|||['TCO Certified Displays 5.2', 'ENERGY STAR 6.0']|Yes|Yes|Yes|Yes||502 mm||170°||['230 V AC', '120 V AC']||BenQ Corporation|9H.L7CLA.4BE|110 mm|1920 x 1080|Wall Mountable||1|2|||||Twisted Nematic Film (TN Film)|PC|||GL2450HT|GL2450HT Widescreen LCD Monitor|GL|LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||Yes|||||45°|||-5°to15°||||160°|Yes|100 x 100|Yes||5.10 kg|||579 mm
|LH22UDBPLBB/EN, 2514217, Samsung, LCD Monitor, IML Direct Italy|||||1:1|Edge LED|Samsung|450 cd/m²||||16.7 Million Colours|||4,000:1||79.5 mm|||Yes|Yes||||||||||Yes||393.3 mm|||178°||||Samsung|LH22UDBPLBB/EN||960 x 960|Wall Mountable|Yes|1|||67 W||||PC||SyncMaster|UD22B|SyncMaster UD22B Widescreen LCD Monitor||LCD Monitor|||6 ms||"55.9 cm (22"")"||||||1 W||||||||||178°|Yes|300 x 300|Yes||5.80 kg||393.3 mm|
|XB2779QS-B1, 2883685, Iiyama, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|iiyama|440 cd/m²|Speaker|CE TUV-Bauart GOST-R VCCI-B PSE|Black|16.77 Million Colors|||1,000:1||230 mm||Landscape/Portrait|Yes|Yes||||['Security Lock', 'i-Style-Color', 'Eco Mode', 'OverDrive', 'Display Power Management Signaling (DPMS)']|||ENERGY STAR|Yes|Yes|Yes|Yes|564.5 mm|||178°||['220 V AC', '110 V AC']||iiyama North America, Inc|XB2779QS-B1|130 mm|2560 x 1440|Wall Mountable||1|2||55 W|||Advanced High Performance In-plane Switching (AH-IPS) Technology|['PC', 'Mac']||ProLite|XB2779QS|"ProLite XB2779QS-B1 27"" LED AH-IPS Monitor"||LCD Monitor|||5 ms|WQHD|"68.6 cm (27"")"||||Yes|75 Hz|500 mW|||45°|||0°Up to17°||||178°|Yes|100 x 100|Yes|No|8.20 kg||650 mm|
|LS24C45KMSV/EN, 2846723, Samsung, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Samsung|250 cd/m²|Speaker|Eco label certification: UL (USA): UL 60950-1CSA (Canada): CSA C22.2 No. 60950-1 TUV (Germany): EN60950-1NEMKO (Norway): EN60950-1 KC (Korea): K60950-1 CCC (China): GB 4943-2001PSB (Singapore): IEC60950-1GOST (Russia): IEC60950-1, EN55022SIQ (Slovenia): IEC60950-1, EN55022PCBC (Poland): IEC60590-1, EN55022NOM (Mexico): NOM-019-SCFI-1993IRAM (Argentina): IEC60950-1SASO (Saudi Arabia): IEC60950-1 EMC: FCC (USA) FCC Part 15, Subpart B class ACE (Europe) EN55022, EN55024VCCI (Japan) V-3 (CISPR22) KCC (Korea): KN22, KN24C-Tick (Australia): AS / NZS3548 (CISPR22) CCC(China): GB 9254-2008, GB 17625.1-2003|Matte Black|16.7 Million Colours|||1,000:1||56.7 mm|224 mm||No|Yes||||['MultiScreen', 'MagicRotation', 'Eco Saving', 'MagicTune', 'Off Timer', 'MagicBright 3', 'MagicAngle']|||['ENERGY STAR', 'EPEAT Gold', 'TCO Certified Displays 6.0']|Yes||No||333.2 mm|486.75 mm||170°||['220 V AC', '110 V AC']|3 Year|Samsung|LS24C45KMSV/EN||1920 x 1080|Wall Mountable||1|2||30 W|"24"" S24C450M Series 4 LED Business Monitor D-sub Cable Audio Cable 1.5m Power Cable Length E-manual Install CD Quick Setup Guide"||Twisted Nematic Film (TN Film)|PC||Business|S24C450M|"24"" S24C450M Series 4 LED Business Monitor"|450|LCD Monitor|Yes|Plastic|5 ms|Full HD|"61 cm (24"")"||||Yes||100 mW||||Included Software: Samsung MultiScreen||||||160°|Yes|100 x 100|Yes||3.50 kg|5.20 kg|565.4 mm|565.40 mm
|XB2779QS-S1, IIYXB2779QSS, Iiyama, LCD Monitor, IML Direct Italy||Yes|Yes||16:9|LED|iiyama|440 cd/m²|Speaker|CE TUV-Bauart GOST-R VCCI-B PSE||16.77 Million Colors|||1,000:1||230 mm|||Yes|Yes||||Security Lock|||ENERGY STAR|Yes|Yes|Yes|Yes|435.5 mm|||178°||['220 V AC', '110 V AC']||iiyama North America, Inc|XB2779QS-S1||2560 x 1440|Wall Mountable||1|2||55 W|ProLite XB2779QS Widescreen LCD Monitor Power cable DVI-D cable DisplayPort cable Audio cable Stand 3 x screws Quick start guide Safety guide||Advanced High Performance In-plane Switching (AH-IPS) Technology|['Mac', 'PC']||ProLite|XB2779QS|ProLite XB2779QS Widescreen LCD Monitor||LCD Monitor|||5 ms|WQHD|"68.6 cm (27"")"||||Yes|75 Hz|500 mW||||||||||178°|Yes|100 x 100|Yes||8.20 kg||650 mm|
|857-BBCD, 0912946, Dell, LCD Monitor, IML Direct Italy|||||5:4|LED|Dell|250 cd/m²|USB Hub||Silver|16.7 Million Colours|||2,000,000:1||46.5 mm|||Yes|Yes|||"Built to comply with
the latest environmental and regulatory standards, and protected by a
Premium Panel Guarantee and 3 years Advanced Exchange Service."||"Fully adjustable stand and a comprehensive set of analog and
digital ports and cables."|Click to view|['TCO Certified Displays', 'ENERGY STAR 6.0', 'EPEAT Gold', 'RoHS', 'China Energy Label (CEL)']|Yes||||336.3 mm|336.30 mm|||||3 Year|Dell, Inc|857-BBCD||1280 x 1024|||1|||37 W|||||25%||P1914S|19 Monitor - P1914S||LCD Monitor|||8 ms|SXGA|"48.3 cm (19"")"||||No|||||||||Yes||||Yes||Yes||2.76 kg||411.5 mm|411.48 mm
|244E5QHAD/00, PHI-244E5QHAD/00, Philips, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Philips|250 cd/m²|Speaker|BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV/ISO9241-307|Glossy Black Cherry|16.7 Million Colours|||1,000:1||45 mm|213 mm|||||||['SmartImage', 'TrueVision', 'Sync on Green', 'Security Lock', 'Mobile High-Definition Link (MHL)', 'SmartContrast', 'SmartResponse']|||['ENERGY STAR 6.0', 'RoHS', 'TCO Certified Displays 6.0', 'WEEE', 'EPEAT Silver']|Yes|Yes|Yes|Yes|338 mm|428 mm||178°||['220 V AC', '110 V AC']||Philips Electronics|244E5QHAD/00||1920 x 1080|Wall Mountable||1|2|300 mW|18.60 W|||Advanced High Performance In-plane Switching (AH-IPS) Technology|['PC', 'Mac']|||244E5QHAD|LCD Monitor with SmartImage Lite|E|LCD Monitor|||5 ms|Full HD|"60.5 cm (23.8"")"||||Yes|60 Hz|500 mW||||||-5°to20°||||178°|Yes|100 x 100|Yes||3.44 kg|3.80 kg|557 mm|557 mm
|LH46OLBPPGC/EN, Samsung, LCD Monitor, IML Direct Italy|||||16:9|LED|Samsung|1500 cd/m²||EN55022EN55024IEC 60529IP56||16.7 Million Colours||Yes|4,000:1||618.5 mm|||Yes|Yes||||Picture in Picture|||||Yes|Yes||1730 mm|||178°||||Samsung|LH46OLBPPGC/EN||1920 x 1080||Yes|1|||||||||SyncMaster|OL46B|SyncMaster OL46B Widescreen LCD Monitor||LCD Monitor|||8 ms|Full HD|"116.8 cm (46"")"||||||1 W||||||||||178°|||Yes||||614.2 mm|
|60003409, 3967929, NEC Display Solutions, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|NEC Display|350 cd/m²|['Speaker', 'USB Hub']||White|16.7 Million Colours|||1,000:1|||||Yes|Yes|||||||['TCO Certified Displays 5.2', 'EPEAT Gold']|Yes||Yes|||||178°|||3 Year|NEC Display Solutions|60003409||1920 x 1200|||1|||29 W|||In-plane Switching (IPS) Technology|||MultiSync|EA244WMi|MultiSync EA244WMi Widescreen LCD Monitor|EA|LCD Monitor|||14 ms|WUXGA|"61.2 cm (24.1"")"||||Yes||430 mW|||||||Yes|USB 2.0||178°|||Yes|||7.60 kg||
