<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altoparlante  cuffia  spinotto di uscita|altoparlanti|altoparlanti incorporati|angolo di inclinazione|angolo di rotazione|angolo di visione orizzontale|angolo di visione verticale|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|area di visualizzazione effettiva|blocco cavo|bluetooth|caratteristiche|caratteristiche sicurezza|cavi inclusi|cavo alimentazione incluso|certificato energy star|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del prodotto|colore piedi|colori del display|colori display|comandi  regolazioni|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|composite sync|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connettori di ingresso|consumi|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico annuo|consumo energetico in standby|consumo energetico max|controllo del volume|copertura schermo|dcin jack|descrizione prodotto|dettagli dimensioni e peso|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni lxpxh|dimensioni schermo|display surface|dot pitch|dot rate video|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|interfacce|interfaccia comune|interfaccia di montaggio schermo piatto|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità|luminosità schermo|lunghezza cavo|lunghezza diagonale|manuale dellutente|megapixel|microfono incorporato|microfono spinotto dingresso|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mtbf|number of simultaneous touchpoints windows 7|numero di altoparlanti|numero di lingue osd|numero di prodotti inclusi|on screen display osd|peso|peso incluso imballo|peso prodotto con supporto|pictureinpicture|pivot angle|pixel pitch|plug  play|porta dvi|porta rs232|porta usb|posizionamento supportato|potenza assorbita in esercizio|potenza di uscita  canale|potenza in uscita rms|profondità|profondità con supporto|profondità imballo|protezione per i bambini|quantità|quantità displayports|quantità porte dvid|quantità porte hdmi|quantità porte thunderbolt|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|range di scansione orizzontale|range di umidità di funzionamento|rapporto daspetto|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regolazione posizione display|regolazioni formato schermo|retroilluminazione a led|risoluzione|risoluzione massima|risoluzione nativa|risoluzioni grafiche supportate|rotazione|schermo srgb|sicurezza|sintonizzatore tv integrato|sistema operativo linux supportato|sistema operativo windows supportato|source datasheet|standard ambientali|standard di conformità|subwoofer incorporato|supporto colore|sync hv separato|syncongreen sog|tecnologia display|tecnologia retroilluminazione|tecnologia touchscreen|telecomando|tempo di risposta|tensione richiesta|thin client installato|tipi schede di memoria|tipo|tipo alimentazione|tipo di display|tipo di dispositivo|tipo di prodotto|tipo di schermo|tipo schermo|tipologia di retroilluminazione|tipologia display|tipologia hd|tipologia touch screen|umidità|uscita audio|velocità refresh orizzontale|velocità refresh verticale|voltaggio di ingresso|webcam girevole
IIyama LED 27 GB2773HS-GB2 Gaming 1ms DP DVI HDMI Speaker MON...||||41,55 cm|||||Si||-45 - 45°|||170°|160°||Kensington||||||||Si|Non specificato|||Nero||16,77M||||100 x 100 mm||||||||||38W|||0,5W||||||||||59,79 cm|33,63 cm|||||"['68,6 cm', '68,58 cm (27"")']"||0,311 x 0,311 mm||16:9|No|50/60 Hz|||||Si|||Si|||Si|||||||||55 - 145 Hz|||64,7 cm|||||||300 cd/m²|||||||||Si|||2||||7,3 kg|||||||Si||||||2,5W|23 cm|||||1|1|1|||||30 - 160 kHz|||1000:1|5000000:1|10,7 cm||||1920 x 1200 Pixels|||||||No||||||||Si||TN||||1 ms||No||||||||||LED|Full HD||||||100 - 240V|
AOC LED 21.5 AOC e2262Vwh MONITOR LED|Si||||385.3 mm||||N|||||170 °|160 °||||||AC|||CCC, CEL-1 ,China Rohs, FCC, CE/CB, cTUVus, TUV-S, TUV-Bauart, Windows 7, ISO9241-307, EPA, C-Tick , CKT, EU RoHS Doc, KCC, BSMI|Si|Non specificato|||Nero||16.77 M||||||||||||||18 W|||0.5 W||||||||||||||||"['546.1 mm (21.5 "")', '54.69 cm']"||0.248 x 0.248 mm||16:9|N|||||||||Si||-5 - 20 °|||||||||Si|55 - 75 Hz|||512.3 mm|512.3 mm||||||250 cd/m²|||Si|||||1080p|||||16||Si|3.25 kg||4.9 kg||||||||Orizzontale|||||196 mm||||||1||||1|30 - 83 kHz||||20000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||||||2 ms||N||||||||||LED|Full HD|||||||
AOC 28 AOC m2870Vq MONITOR LED|Si||||45,18 cm|49,2 cm|||Si|||||178°|178°||Kensington|No|||AC, Audio (3.5mm), HDMI, VGA|||CE, Energy Star 6.0, EPEAT Silver, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS|Si|Non specificato|No||Nero||16,77M||||100 x 100 mm|No|||||Argento||No||27W||0,5W|0,5W||||||||||59,789 cm|33,631 cm|||||"['71,1 cm', '71,12 cm (28"")']"||0,311 x 0,311 mm||16:9||50 Hz|30 - 83 kHz|50 - 76 Hz|||No||Si|Si||-5 - 25°|Si|Si|Si||||||Si||||66,51 cm|66,51 cm|73,8 cm|Si||||300 cd/m²||||||||1080p|Si||||||Si||7,3 kg|5,3 kg||||No|Si||||||||24,19 cm|13,7 cm|||1|1|1||||1||||1000:1|50000000:1|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|No|||||||||||||WVA||||5 ms||No|||||||||W-LED|LED|Full HD||||||100 - 240V|
IIyama LED 24 E2473HS-GB1 VGA.DVI.HDMI MONITOR LED||||418 mm|||||Si|||||170 °|160 °||Kensington||||||||Si||||Nero||16.77 M||||100 x 100 mm||||||||||22 W|||||||||||||521.3 mm|293.2 mm|||||"599.4 mm (23.6 "")"||0.2715 x 0.2715 mm||16:9|N|50/60 Hz||||||||Si||0 - 20 °||||||||||55 - 76 Hz|||556 mm|||||||300 cd/m²|||||||||Si|||2||||4.3 kg|||||||Si||||||2 W|218.5 mm||||||1|2||||1|24 - 82 kHz|||1000:1|5000000:1|N||||1920 x 1080 Pixels|||||||N|||.|||||Si||||||2 ms||N||||||||||LCD|Full HD||||||100 - 240 V|
IIyama LED 24 PL GE2488HS-B11ms VGA DVI HDMI Speaker MONITOR LED|Si||||40,9 cm||||Si|||||170°|160°||Kensington||||AC, Audio (3.5mm), DVI|||CE, TÜV-Bauart, VCCI-B, PSE, CU|Si|Non specificato|||Nero||16,77M||||100 x 100 mm|No|||||||||23W|||0,5W||||||||||53,136 cm|29,889 cm|||||"60,96 cm (24"")"||0,277 x 0,277 mm||16:9|No|50/60 Hz|30 - 80 kHz|55 - 75 Hz||||Si||Si|||Si|||||||||||||56,8 cm||||CHI (SIMPL), CHI (TR), DEU, DUT, ENG, FRE, JPN, POL, RUS||250 cd/m²||||||||1080p|Si|||2|9||Si|||3,5 kg||||Si|Si||||||2W||21,75 cm|||||1|1||||1||||1000:1|5000000:1|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||Windows 2000, Windows 7 Home Basic, Windows 8, Windows 95, Windows 98, Windows ME, Windows Vista Home Basic, Windows XP Home||||No||Si||TN||||1 ms||No||||||||||LED|Full HD||||||100 - 240V|
HannsG 19.5 HP205DJB MONITOR LED||||||||Integrato||||||||||||||||||||Nero||||||||||||||||DVI-D, VGA|||||||||Anti riverbero||"HANNS.
G HP205DJB - monitor a LED - 19,5"""||||||||46,55 cm x 21,72 cm x 36,18 cm||||||||||||||||||||||||||||||||||||250 cd/m2|||||||||||||||||3, 4 kg|||||0,27 mm|||||||||||||||||||||||Widescreen - 16:9|1000:1 / 80000000:1 (dinamico)|||Piano girevole, inclinazione|||||1600 x 900 A 60 Hz|||||||||Certificato ENERGY STAR|GS, CB, TCO Displays 6,0||16,7 milioni di colori|||||||5 ms|||||||"Monitor LCD con retroilluminazione a LED - 19,5"""|||||||||||||
LG 22 22M45D-B MONITOR LED||||31,6 cm|41,8 cm|11,6 cm||||||||170°|160°|||No||||||||Non specificato|No||Nero||16,77M||||75 x 75 mm|No|||||||No||25W|||0,3W||||||||||||||||"54,61 cm (21.5"")"|Matt|0,248 x 0,248 mm||16:9||50/60 Hz||||||||Si||||Si|Si||||||Si||||50,9 cm|50,9 cm|57,7 cm|Si||||250 cd/m²|||||||||Si||||||Si|||||||Si|Si|||||||6 cm|18,8 cm|38,1 cm|||||||||1||||1000:1|5000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||TN||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
Samsung LED 22 S22B420BW16:10 5ms VGA DVI Pivot MONITOR LED||||||||||||||||||||||||||||Nero opaco||||||||||||||||DVI-D, VGA|||||||||||"Samsung S22B420BW - monitor a LED - 22"""||||||||50,55 cm x 22 cm x 35,92 cm - con supporto||||||||||||||||||||||||||||||||||||250 cd/m2||||||||||||||||||||||0,282 mm|||||||||||||||||||||||Widescreen - 16:10|1000:1|||Snodo (rotazione), piano girevole, inclinazione|||||1680 x 1050 A 60 Hz|||||||||Certificato ENERGY STAR|||16,7 milioni di colori|||||||5 ms|||||||"Monitor LCD con retroilluminazione a LED - 22"""||TN|||||||||||
Asus LED 21.5 VS229HA IPS MONITOR LED|Si|||31,518 cm|38,722 cm|44,3 cm|1||No|||||178°|178°||Kensington||||AC, DVI, VGA||||Si|Non specificato|||Nero||16,77M||||100 x 100 mm|No||||||3.5 mm|||30W|0,5W|0,5W|||||||||||||||||"['54,6 cm', '54,61 cm (21.5"")']"||0,248 x 0,248 mm||16:9|No|50/60 Hz|50 - 75 kHz|30 - 83 Hz||||Si||Si||-5 - 20°|Si||||||||||||51,41 cm|51,41 cm|56,6 cm|||||250 cd/m²|||||||||Si||||||||5,4 kg|3,5 kg|||||Si|||||||4,84 cm|20,063 cm|13 cm||||1|1||||1|||||80000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||||||||||||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
ASUS LED 24 ML249HR MONITOR LED|||||431 mm|483 mm|||N|||||178 °|178 °||Kensington|N|||||||Si|Non specificato|N||Nero||16.77 M||||N|N||||||3.5 mm|N||39 W|0.5 W|0.5 W|0.5 W||||||||||||||||"609.6 mm (24 "")"||0.2768 x 0.2768 mm||16:9|N||30 - 83 kHz|50 - 76 Hz||||||Si||-5 - 20 °|Si|||||||||||||572 mm|650 mm|||||250 cd/m²|||||||||N||||||||6.5 g|4.2 g|||||N||||||||221 mm|171 mm|||||1||||1||||5000:1|50000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||||||5 ms||N||||||||||LED|Full HD|||||||
AOC MONITOR LED 29 AOC q2963Pm IPS|Si|||387.91 mm|||||Si|||||178 °|178 °||Kensington|N||||||TCO 6.0|Si|Non specificato|N||Nero||16.77 M||||100 x 100 mm|N|||||||N||30 W||0.5 W|0.5 W||||||||||694.6 mm|308.9 mm|||||"['736.6 mm (29 "")', '73.7 cm']"||0.876 x 0.876 mm|146 MHz|21:9|N|50/60 Hz|30 - 83 kHz|55 - 75 Hz|||N|||Si||-5 - 20 °|Si||||||||Si||||713.57 mm||||N|||250 cd/m²|||||N|N|||Si|||1|||Si|6.9 kg||9.79 kg||||Si||||||||211.99 mm|||||2|1|1||||1||||1000:1|50000000:1|N||||2560 x 1080 Pixels|||2560 x 1080|N|||N|||.|||||||||||5 ms||N|N|||||||||LED|||||||90 - 240 V|
AOC MONITOR LED 27 AOC e2752V|Si|||452 mm|||1||N|||||170 °|160 °|597.89 x 336.31 mm|Kensington||||AC, DVI, VGA|||FCC, CE, EPA, CCC, GOST, TÜV, ISO, TCO 5.0, EuP|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||Argento||||38 W|||1 W||||||||||||||||"['68.6 cm', '685.8 mm (27 "")']"||0.311 x 0.311 mm||16:9|N|50/60 Hz|30 - 83 kHz|55 - 75 Hz||||||Si||-3 - 19 °|Si|Si|||||||||||645.7 mm|||Si||||300 cd/m²||||||||1080p|Si||||14||Si|5.29 kg|||||||Si|||||||210 mm||||||1|||||1||||1200:1|2000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||||||5 ms||N|||||||||W-LED|LED|Full HD||||||90 - 240 V|
LG 24 24M35D-B MONITOR LED||||31,4 cm|43,8 cm|14,3 cm|||No||||||||||||||||||||Nero||16,77M||||100 x 100 mm|No|||||||||0,3W|||19W||||||||||||||||"59,94 cm (23.6"")"||||16:9|No|50/60 Hz||||||||Si|||||||||||||||55,6 cm|55,6 cm|62,5 cm|||||200 cd/m²|||||||||Si|||||||2,7 kg|4,24 kg|3 kg||||Si|Si|||||||9,5 cm|21,5 cm|41,4 cm||||1|||||1||||1000:1||||||1920 x 1080 Pixels|||||||No||||||||||TN||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
IIyama LED 24 PL XB2483HSU-B1 MONITOR LED|||||516.5 mm||1||Si||-45 - 45 °|||178 °|178 °||Kensington|N|||AC, Audio (3.5mm), USB, VGA||||Si|Non specificato|N||Nero||16.77 M||||100 x 100 mm|N|||||||N||27 W|||0.5 W||||||||||531.4 mm|298.9 mm|||||"609.6 mm (24 "")"||0.277 x 0.277 mm||16:9|||30 - 80 kHz|55 - 75 Hz|||Si|Si||Si||-5 - 22 °|Si|||||||||||||565.5 mm|||N|||250 cd/m²|||Si|||||1080p|Si|||2|10||Si|||5 kg||0 - 90 °|||Si||||||4 W||230 mm|||||1|1||2||1||||3000:1|5000000:1|130 mm||||1920 x 1080 Pixels|||1280 x 1024 (SXGA), 1920 x 1080 (HD 1080)|Si||||||.|||N||Si||A-MVA||||4 ms||||||||||||LED|Full HD|||||||
IIyama LED 22 PL T2253MTS-GB1 Touch MONITOR LED||||399 mm|||1||Si|||||170 °|160 °|||||Kensington-lock|AC, Audio (3.5mm), DVI, USB, VGA|||CE, TÜV/Bauart, GOST-R, VCCI-B, PSE|Si||||Nero|||16.7 M|||100 x 100 mm|N|||||||||19 W|||0.5 W|||||||||546 mm||||556 x 240 x 399 mm|||"['54.6 cm', '546.1 mm (21.5 "")']"||0.248 x 0.248 mm||16:9||50/60 Hz|24 - 80 kHz|55 - 75 Hz|Si|Si||||Si||-9 - 22 °||||||||||55 - 75 Hz|||556 mm|||||||220 cd/m²||||||||1080p|Si||5|2||1 pezzi|Si|5.9 kg||||||||9|||||2 W|240 mm||||||1|1||1||1|24 - 80 kHz|||1000:1|5000000:1||||Si|1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8|.|||||Si||||Immagini ottiche||2 ms|||||AC|LED||||||TN+Film|||||||100 - 240 V|
LG LED 22 22MB65PY-W 16:10 VGA DVI DP Sp USB MONITOR LED|||||37,9 cm||||Si|||||170°|160°||||||AC, Audio (3.5mm), DVI, VGA||||Si|Non specificato|||Bianco|Bianco|16,77M||||||||||||||21W||0,3W|0,4W||||||||||47,386 cm|29,616 cm|||||"['55,88 cm', '55,88 cm (22"")']"||0,282 x 0,282 mm||16:10|No|47-63 Hz|30 - 83 kHz|56 - 75 Hz|||||Si|Si|||||||Si|||||||||50,6 cm||||||250 cd/m²|||Si||||||Si|||2|14||Si|||4,7 kg|||||Si||||||2W||23,9 cm||||1|1|||1||1||||1000:1|5000000:1|Si||||1680 x 1050 Pixels||||Si|||No||||||||||TN||||5 ms||No||||||||||LED|||||||90 - 264V|
LG LED 29 29UB65-P 21:9 DVI HDMI DP Sp Lift Pivot MONITOR LED||||32,82 cm|41,82 cm||1||Si|||||178°|178°|||||||||||Non specificato|||Nero||16,77M||||Si|No||Si|||||||38W|||0,5W||||||||||||||||"73,66 cm (29"")"|Matt|||21:9|No|||||||||Si||-5 - 20°|||||||||||||70,25 cm|70,25 cm||||||300 cd/m²||||||||1080p|Si|||2||||||||0 - 90°||Si|Si||||||7W|6,38 cm|18,1 cm||||1|1|2|1|1|||||||1000:1|11 cm||||2560 x 1080 Pixels|||2560 x 1080, 1920 x 1080 (HD 1080)|Si|||No||Si||||No||||IPS||||14 ms||||||||||||LED|Full HD|||||||
LG 24 24MB35PM-B IPS||||34,2 cm|43,2 cm||1||Si|||||178°|178°||||||AC, Audio (3.5mm), DVI, VGA||||Si|Non specificato|||Nero||16,77M||||100 x 100 mm|No|||Si||||||24W||0,3W|0,3W||||||||||52,688 cm|29,637 cm|||||"['60,45 cm (23.8"")', '60,4 cm']"||0,274 x 0,274 mm||16:9|No|47-63 Hz|||||||Si|Si||-5 - 20°|Si|Si|||Si|||||56 - 75 Hz|-20 - 60 °C|10 - 35 °C|56,9 cm|56,9 cm||Si|No|DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SWE||250 cd/m²|||Si|||||1080p|Si|||2|14||Si|||5,1 kg||-90 - 90°||Si|Si||||||2W|6,3 cm|27,1 cm|||||1|||||1|30 - 83 kHz|10 - 80%||1000:1|5000000:1|Si||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||No||||||||Si|Si|IPS||||5 ms||No||||||||||LED|Full HD||5 - 90%||||90 - 240V|
IIyama LED 23 PL X2380HS-B1 IPS MONITOR LED||||388.5 mm|||||Si|||||178 °|178 °||Kensington||||AC, DVI, VGA|||CE, TUV-GS, TÜV-Bauart, VCCI-B, CU, TCO 6|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||||||26 W|||0.5 W||||||||||509.18 mm|286.41 mm|||||"584.2 mm (23 "")"||0.2652 x 0.2652 mm||16:9|N|50/60 Hz|24 - 80 kHz|56 - 75 Hz||||||Si|||Si||||||||||||548.5 mm|||||||300 cd/m²|||||||||Si|||2|||Si|5.8 kg||||||Si|Si||||||4 W|213.5 mm||||||1|1||||1||||1000:1|10000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||||||5 ms||N||||||||||LCD|Full HD||||||100 - 240 V|
Samsung 24 S24D590PL MONITOR LED||Si||34,49 cm|42,12 cm|13,2 cm|||No|||||178°|178°||No|No|||AC, HDMI||||Si|A|No||Nero||16,77M|||||No|||||||No||22W|||0,3W|32 kWh|||||||||||||||"['59,94 cm', '60,96 cm (24"")']"||0,272 x 0,272 mm||16:9|No|||||||||Si|||Si||||||||||||54,18 cm|54,18 cm|60,7 cm|||||250 cd/m²|||||||||||||||Si|4,16 kg|5,54 kg|||||Si|No|||||||5,85 cm|16,92 cm|39,7 cm|||||2||||1|||||Contrasto Mega|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||||||||||TFT/PLS||||5 ms||No||||||||||LED|Full HD|||||||
ASUS MONITOR LED 19.5 ASUS VS207DE||||355.5 mm|||||N|||||90 °|65 °||Kensington||||||||Si|Non specificato|||Nero||16.77 M||||75 x 75 mm|N|||||||||16.4 W|0.5 W|0.5 W|||||||||||||||||"['49.5 cm', '495.3 mm (19.5 "")']"||0.270 x 0.270 mm||16:9|N|||||||||||-5 - 20 °|Si||||||||||||468 mm|||||||200 cd/m²|||||||||Si|||||||2.59 kg|||||||N|||||||185 mm|||||||||||1|||||80000000:1|N||||1600 x 900 Pixels|||||||N|||.|||||||||||5 ms||N||||||||||LED||||||||
AOC LED 22 e2260Pdas MONITOR LED||||244.6 mm|||1||Si|||||170 °|160 °||Kensington||||AC, Audio (3.5mm)|||FCC GOST RoHS TÜV-Bauart TÜV-GS ISO 9241-307 TCO 5.0 cTUVus EuP||Non specificato|||Argento||16.77 M||||100 x 100 mm|N|||||Oro||||15.5 W|||0.4 W||||||||||||||||"['558.8 mm (22 "")', '55.8 cm']"||0.248 x 0.248 mm||16:10|N|50/60 Hz|||||Si|||Si||-5 - 15 °||||||||||55 - 75 Hz|||507.8 mm|||||||250 cd/m²|||||||||Si||||||Si|5.65 kg|||||||Si|||||||521.3 mm||||||1|||||1|30 - 83 kHz|||1000:1|20000000:1|130 mm||||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)|Si|||N|||.|||||||||||5 ms||N|||||||||W-LED|LED||||Si|||90 - 240 V|
AOC LED 24 e2460Phu2ms VGA DVI HDMI Sp Pivot MONITOR LED||||52,42 cm|||||Si||0 - 178°|||170°|160°||Kensington|No||||||CE, Energy Star 5.0, EPEAT Gold, FCC, ISO 9241-307, RoHS, TCO 5.0, TÜV-GS, Win7|Si||No||Nero||16,77M|||No|100 x 100 mm||||||||||||||||||||||60,97 cm|53,136 cm|29,889 cm|||||"60,96 cm (24"")"||0,276 x 0,276 mm|148,5 MHz|16:9|No|50/60 Hz||||||||Si|Si|-5 - 15°|||||||No|||55 - 75 Hz|||56,54 cm||||No|||250 cd/m²|||||||||Si||||||Si|6,54 kg||||-2 - 92°||Si|||5|||||24,458 cm||||||1|1||||1|30 - 83 kHz|||1000:1|20000000:1|13 cm||||1920 x 1080 Pixels|1920 x 1080 Pixels||1920 x 1080 (HD 1080)|Si||UkraineSafety|||||||||||||||2 ms||No|No||||||||W-LED|LED|Full HD||||||90 - 240V|
LG LED 24 24MB35PY-W IPS 16:9 VGA DVI DP Sp USB MONITOR LED|Si|||34,3 cm|43,2 cm||||Si|||||178°|178°||Si||||AC, DVI, VGA|||||Non specificato|||Bianco||16,77M||||100 x 100 mm|No|||||Oro||||24W|19W|0,3W|0,3W||||||||||||||||"60,45 cm (23.8"")"|Matt|0,275 x 0,275 mm||16:9|No|50/60 Hz||||||||Si||-5 - 20°|Si|Si|||Si||||Si|56 - 75 Hz|||56,9 cm|56,9 cm||Si||||250 cd/m²||||||||1080p|Si|||2|||Si|4,72 kg||5,08 kg||0 - 90°||Si|No||||||2W|6,35 cm|27,17 cm||||1|1|1||2||1|30 - 83 kHz|||1000:1|5000000:1|12 cm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||No||||||||||IPS||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
AOC LED 21.5 e2260Pwhu MONITOR LED||||511 mm|||||Si||0 - 178 °|||170 °|160 °||Kensington|N||||||CE, Energy Star 5.0, EPEAT Gold, FCC, ISO 9241-307, RoHS, TCO 5.0, TÜV-GS, Win7|Si||N||Nero||16.77 M|||N|100 x 100 mm||||||||||||||||||||||547 mm|477.5 mm|268.5 mm|||||"546.1 mm (21.5 "")"||0.248 x 0.248 mm|148.5 MHz|16:9|N|50/60 Hz||||||||Si|Si|-5 - 15 °|||||||N|||55 - 75 Hz|||523.7 mm||||N|||250 cd/m²|||||||||Si||||||Si|6.49 kg||||-2 - 92 °||Si|||5|||||244.5 mm||||||1|1||||1|30 - 80 kHz|||1000:1|20000000:1|130 mm||||1920 x 1080 Pixels|1920 x 1080 Pixels||1920 x 1080 (HD 1080)|Si||UkraineSafety||||.|||||||||||2 ms||N|||||||||W-LED|LED|Full HD||||||90 - 240 V|
Samsung LED 24 S24C200BL16:9 5ms VGA DVI MONITOR LED|Si|||33,05 cm|41,235 cm|14 cm|||No|||||170°|160°|521,28 x 293,22 mm|No|No|||AC, VGA||||No|Non specificato|No||Nero||16,77M||||100 x 100 mm|No||Si|||Oro||No||30W|||20W||||||||||52,128 cm|29,322 cm|632 x 421 x 140 mm|554,6 x 77 x 330,5 mm|554,6 x 185 x 412,35 mm||"59,94 cm (23.6"")"||0,2715 x 0,2715 mm||16:9|No|50/60 Hz||||Si|No|Si||||-1 - 20°|Si|Si|Si|No|||||Si||||55,46 cm|55,46 cm|63,2 cm|Si||||250 cd/m²|||Si||||||Si|||||1 pezzi||3,75 kg|5,45 kg|4,1 kg|No|||Si||||Orizzontale||||7,7 cm|18,5 cm|42,1 cm|No|||1|||||1||||1000:1|Contrasto Mega|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|No|||No|Si|Si||||||||TN+Film||||5 ms||No||||||||||LED|Full HD|||No|||100 - 240V|
AOC LED 27 q2770Pqu Quad-HD MONITOR LED||||24,5 cm||28,6 cm|||Si|||||178°|178°||Kensington||||DisplayPort, DVI, HDMI, VGA||||||||Nero||16,77M||||100 x 100 mm|N|||||||||65W|||0,5W||||||||||59,789 cm|33,631 cm|||||"68,58 cm (27"")"||0,233 x 0,233 mm||16:9|N|50/60 Hz||||||||Si||||||||||||50 - 76000 Hz|-25 - 55 °C|0 - 40 °C|64,22 cm||75,9 cm|||||300 cd/m²|||Si||||||Si||||16||Si||||||||Si|||||||55,8 cm||48,6 cm|||1|1|1||||1|30 - 99000 kHz|10 - 85%||1000:1|80000000:1|13 cm||||2560 x 1440 Pixels|||2560 x 1440, 1920 x 1080 (HD 1080)||||N||||||||||||||5 ms||N||||||||||LED|||5 - 93%||||100 - 240V|
IIyama LED 21.5 PL E2280HS VGA.DVI.HDMI MONITOR LED||||365.5 mm|||||Si|||||160 °|160 °||Kensington||||||||Si||||Nero||16.77 M||||100 x 100 mm||||||||||21 W|||||||||||||476.64 mm|268.11 mm|||||"546.1 mm (21.5 "")"||0.2482 x 0.2482 mm||16:9|N|50/60 Hz||||||||Si||-4 - 21 °||||||||||56 - 75 Hz|||509.5 mm|||||||250 cd/m²|||||||||Si|||2||||3.3 kg|||||||||||||1 W|189.5 mm||||||1|1||||1|24 - 80 kHz|||1000:1|5000000:1|N||||1920 x 1080 Pixels|||||||N|||.|||||Si||TN+Film||||5 ms||N||||||||||LCD|Full HD||||||100 - 240 V|
AOC LED 17 e719Sda 5:4 MONITOR LED|Si|||326.7 mm|||||Si|||||170 °|160 °||Kensington|||||||CE, EuP, GOST, RoHS, TCO´06, TÜV-Bauart||Non specificato|||Nero, Argento||16.77 M||||100 x 100 mm|N|||||Argento||||25 W||0.5 W|0.5 W|||||||||432 mm|337.9 mm|270.3 mm|||||"['431.8 mm (17 "")', '43.2 cm']"||0.264 x 0.264 mm|140 MHz|5:4|N|50/60 Hz|30 - 83 kHz|50 - 76 Hz|||N|||Si||-5 - 20 °|Si||||||||||||371.6 mm|||||||250 cd/m²|||||||||Si|||1|||Si|3.06 kg|4.61 kg||||||Si|||||||58.9 mm||||||1|||||1||||1000:1|20000000:1|N||||1280 x 1024 Pixels|||1280 x 1024 (SXGA)|N|||N|||.|||||||||||5 ms||N||||||||||LED|N|||Si|||110 - 240 V|
