3d compatibility|<page title>|ac adapter included|ac power in|active display area w x h|annual energy consumption|aspect ratio|audio input|audio output|audio system|backlight type|bezel width bottom|bezel width side|bezel width top|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable length|cable lock slot|cables included|camera included|card reader integrated|certification|child lock|color gamut|colour of product|common interface ci|common interface plus ci|compatibility|compatible memory cards|compatible operating systems|compliance industry standards|component video ypbprycbcr in|composite sync|composite video in|connection to pc|contrast ratio dynamic|contrast ratio typical|current rating|dcin jack|depth|depth max|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h with stand|dimensions wxdxh|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display type|display viewable area hxv|displayports quantity|dvi port|dvid ports quantity|effective viewing area|electromagnetic compatibility|energy efficiency class|energy star certified|epeat compliance|ethernet lan|ethernet lan data rates|ethernet lan rj45 ports|feet colour|full hd|glass thickness|glossy display|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|hdready|headphone connectivity|headphone out|headphone outputs|height|height adjustment|height adjustment range|height max|height with stand|horizontal scan range|input current|input frequency|input voltage|interface type|led backlight|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum analog resolution|maximum resolution|maximum screen size compatibility|maximum weight capacity|mean time between failures mtbf|megapixel|microphone in|mini displayport quantity|minimum screen size compatibility|mobile highdefinition link mhl|mounting interface|native resolution|nonoperating altitude|number of colours|number of displays supported|number of loudspeakers|number of osd languages|number of products included|number of simultaneous touchpoints windows 7|omnitapps multitouch compatibility|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pan range|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption active|power consumption average|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|power supply type|product type|quantity|quick start guide|recyclable material|relative humidity|response time|rms rated power|rohs compliance|rotating|rotation|rs232 ports|safety|screen format adjustments|screen saving functions|screen size compatibility|security features|separate hv sync|speakers|standby led|storage relative humidity hh|storage temperature tt|supported graphics resolutions|supported video modes|swivel angle|swivel angle range|swivel webcam|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|touch screen type|touch sensitive screen|touchscreen technology|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|usb powered|usb required|usb version|user guide on cdrom|vertical scan range|vesa mounting interfaces compatibility|vga dsub input ports|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle|viewing angle horizontal|viewing angle vertical|voltage tolerance|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported
No|Benq PG2401PT - MBE||Yes|||16:10|||||||||['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']|['AC, DisplayPort, DVI, HDMI, Mini DisplayPort, USB, VGA', 'AC, DisplayPort, DVI, HDMI, Mini DisplayPort, USB, VGA']||['Yes', 'Yes']|TCO 6.0, CE||99%|['Black', 'Black']||||['SD, SDHC, SDXC', 'SD, SDHC, SDXC']|||||||20000000:1|1000:1|||7.46 cm||25.4 cm|||||LCD|350 cd/mÂ²|"54.36 cm (21.4"")"|61.21 cm|1070M|1920 x 1200 pixels|||IPS|||1|Yes|1|||||||||['Black', 'Black']|||||Full HD|Yes||1||3.5 mm||1|55.54 cm|['Yes', '15 cm']|||55.54 cm|30 - 83 kHz||47-63 Hz|90 - 264V|||||['Yes', 'Yes']|['Yes', 'Yes']||||||||1|||||||||['17', '17']||||||['Yes', 'Yes']||20 - 90%|5 - 40 Â°C||['12400g', '12400g']||||||||Yes|0 - 90Â°|0.27 x 0.27 mm|||||||42W|0.5W|74.6W|||||||['Yes', 'Yes']|||5 ms||||||||||||||10 - 90%|-20 - 60 Â°C|1920 x 1200 (WUXGA)|||-45 - 45Â°||Yes||No|Yes|-5 - 20Â°||||['No', 'No']||3|||||50 - 76 Hz|100 x 100 mm||1||61.2 cm|51.84 cm|32.4 cm||178Â°|178Â°|||Yes|7 kg||36.55 cm|54.26 cm||['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64']
No|Iiyama ProLite P2252HS-B1 - MBE|||||16:9||||||||No|['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|['No', 'No', 'No']||['Yes', 'Yes']|['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']||||||['Black', 'Black']|||||||||||5000000:1|1000:1|||||19.5 cm|24 - 80 kHz|55 - 75 Hz|||LCD|225 cd/mÂ²|"54.61 cm (21.5"")"||16.77M|1920 x 1080 pixels|||TN+Film|||||1|||Unspecified|Yes||||||||||Full HD|Yes||1||3.5 mm||1|||||38.25 cm|||50/60 Hz|100 - 240V||||||['Yes', 'Yes']||||||||||||||||['2', '2', '2']|['8', '8']||||['Yes', 'Yes']|||||||||||||||||0.248 x 0.248 mm||['Yes', 'Yes']||||||0.5W|18W|||||||['Yes', 'Yes']|||5 ms|['2W', '2W', '2W']||||||||||Yes|||||1280 x 1024 (SXGA), 1920 x 1080 (HD 1080)|1080p||||||No|Yes|0 - 20Â°||||['No', 'No']||||||||100 x 100 mm||1|||47.664 cm|26.811 cm||170Â°|160Â°|||Yes||4.5 kg||51.65 cm||
No|Philips LCD monitor, LED backlight 273E3LHSB - MBE||Yes|||16:9||||W-LED|||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|['No', 'No', 'No']||['Kensington', 'Kensington']||||RoHS, BSMI, CE, FCC B, GOST, PSB, SASO, SEMKO, TUV Ergo, TUV/GS, TCO certified, UL/cUL, WEEE|||['Black', 'Black']|||||||||||20000000:1|1200:1|||6.4 cm||22.7 cm|30 - 83 kHz|56 - 75 Hz|||LED|300 cd/mÂ²|"68.58 cm (27"")"|68.6 cm|16.77M|1920 x 1080 pixels|Yes||||||Yes|1||||Yes|Silver|||||||||Full HD|Yes||1||||1|39.1 cm|No|||44 cm||||100 - 240V|||['Progress, Stand-by', 'Progress, Stand-by']||['Mac OS X 10.0 Cheetah, Mac OS X 10.1 Puma, Mac OS X 10.2 Jaguar, Mac OS X 10.3 Panther, Mac OS X 10.4 Tiger, Mac OS X 10.5 Leopard, Mac OS X 10.6 Snow Leopard, Mac OS X 10.7 Lion', 'Mac OS X 10.0 Cheetah, Mac OS X 10.1 Puma, Mac OS X 10.2 Jaguar, Mac OS X 10.3 Panther, Mac OS X 10.4 Tiger, Mac OS X 10.5 Leopard, Mac OS X 10.6 Snow Leopard, Mac OS X 10.7 Lion']||||||['30000h', '30000h']|||||||||||['2', '2', '2']|['9', '9']|['1 pc(s)', '1 pc(s)']|||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POL, RUS, TUR', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POL, RUS, TUR']|['Yes', 'Yes']|||0 - 40 Â°C||['8.82 kg', '8.82 kg']|['13.8 cm', '13.8 cm']|['52.5 cm', '52.5 cm']|['70 cm', '70 cm']||Yes||['No', 'No']|||0.311 x 0.311 mm|['Horizontal', 'Horizontal']|['Yes', 'Yes']||||0.3W||0.5W|20.4W||['Yes', 'Yes']|||||||20 - 80%|3.5 ms|['4W', '4W', '4W']||||||['4:3, 16:9', '4:3, 16:9']|['Yes', 'Yes']|||Yes||['Yes', 'Yes']||-20 - 60 Â°C|1920 x 1080 (HD 1080)|1080p|||||Yes|No||-5 - 20Â°||||['No', 'No']||||||||100 x 100 mm||1|||59.76 cm|33.62 cm||178Â°|170Â°|||Yes|6.5 kg|8.2 kg|64.2 cm|64.2 cm||['Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64', 'Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64']
|NEC E201W - MBE|||||16:9|||||||||['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']||||EPEAT Gold; CE; ErP; TCO 5.0; TÃœV Ergonomics; TÃœV GS; GEEA/Energy Label; Energy Star 5.0; FCC Class B; PCT/Gost; UL/C-UL or CSA; CCC; ISO 9241-307 (pixel failure class I); MPR II/ MPR III|||['Black', 'Black']|||||||||||25000:1|1000:1|||5.5 cm||21.39 cm|31.5 - 82.3 kHz|56 - 75 Hz||||250 cd/mÂ²|"50.8 cm (20"")"|||1600 x 900 pixels||||||1||1||||Yes|||||||||||Yes|||||||28.56 cm|11 cm|||35.93 cm||||||||||['Yes', 'Yes']||['1920 x 1080 pixels', '1920 x 1080 pixels']|||||||||||||||||||||||20 - 80%|5 - 35 Â°C||||||||||||0.267 mm||['Yes', 'Yes']||||||0.34W|25W|||100-120 V/220-240 V; 0.6 A/0.35 A|||||||5 ms|||||||||||||||||||-45 - 45Â°||||||-5 - 20Â°||||||||||||100 x 100 mm||1||||||170Â°|160Â°||||5.4 kg||47.7 cm|44.7 cm||
|Iiyama ProLite E2280HS-B1 - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|||||||['Black', 'Black']|||||||||||5000000:1|1000:1|||18.95 cm|||||||LCD|250 cd/mÂ²|"54.61 cm (21.5"")"||16.77M|1920 x 1080 pixels|||TN+Film|||||1||||Yes||||||||||Full HD|Yes||1|||||36.55 cm|No||||24 - 80 kHz||50/60 Hz|100 - 240V||||||||||||||||||||||['2', '2', '2']||||||||||||||||||||||0.2482 x 0.2482 mm|||||||||21W||||||||||5 ms|['1W', '1W', '1W']||||||||||Yes||||||||||||No||-4 - 21Â°||||['No', 'No']|||||||56 - 75 Hz|100 x 100 mm||1|||47.664 cm|26.811 cm||160Â°|160Â°|||Yes|3.3 kg||50.95 cm|||
No|Philips LCD monitor with SmartControl Lite 223V5LHSB - MBE||Yes|||16:9||||||||No|['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']|||['No', 'No']|RoHS, BSMI, CE, FCC B, GOST, PSB, SASO, SEMKO, TCO, TUV/ISO9241-307, cETLus, WEEE|||['Black', 'Black']||||['No', 'No']|||||||10000000:1|1000:1|||5 cm||21.3 cm|30 - 83 kHz|56 - 76 Hz|503 x 213 x 376 mm||LED|250 cd/mÂ²|"54.61 cm (21.5"")"|54.6 cm|16.77M|1920 x 1080 pixels|Yes||||||No||['476.64 x 268.11 mm', '476.64 x 268.11 mm']||Unspecified|Yes|Silver|No||||||||Full HD|Yes||1|||||31.6 cm|No|||37.6 cm|||50/60 Hz|100 - 240V|||['Yes', 'Yes']||['Yes', 'Yes']||||||['30000h', '30000h']||||||||0 - 12192m||||['19', '19']||||['Yes', 'Yes']|['CZE, DEU, DUT, ENG, ESP, FIN, FRE, HUN, ITA, JPN, KOR, POL, POR, SWE, TUR, UKR', 'CZE, DEU, DUT, ENG, ESP, FIN, FRE, HUN, ITA, JPN, KOR, POL, POR, SWE, TUR, UKR']|['Yes', 'Yes']|0 - 3658m|20 - 80%|0 - 40 Â°C|555 x 107 x 414 mm|['3.87 kg', '3.87 kg']|['10.7 cm', '10.7 cm']|['41.4 cm', '41.4 cm']|['55.5 cm', '55.5 cm']||||['No', 'No']|No||0.248 x 0.248 mm||['Yes', 'Yes']||||0.5W||0.5W|15.85W||['Yes', 'Yes']||||||||5 ms|||||||['4:3, 16:9, Auto', '4:3, 16:9, Auto']||||Yes||['Yes', 'Yes']||-20 - 60 Â°C|1920 x 1080 (HD 1080)|||||No|Yes|No|Yes|-5 - 20Â°||||['No', 'No']||||||||100 x 100 mm||1||54.6 cm|47.664 cm|26.811 cm||170Â°|160Â°|||Yes|2.35 kg|2.61 kg|50.3 cm|50.3 cm|No|['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64']
|Iiyama ProLite T1731SAW-B1 - MBE|||||5:4|||||||||||||||||||||['Black', 'Black']||||||||||||1000:1|||||||||['387 x 201 x 342 mm', '387 x 201 x 342 mm']|TN+Film|230 cd/mÂ²|"43.18 cm (17"")"|||1280 x 1024 pixels|||||270 x 338 mm|||1|||||||||||||||||||||||||||31.5 - 80 kHz||50/60 Hz|100 - 240V|||||['Yes', 'Yes']|||||||||||||||16.7M||||||['Yes', 'Yes']||||||||||||||||||0.264 x 0.264 mm|||||||||20W||||['AC', 'AC']||||||5 ms|||||1|||||||['2 x 1 W', '2 x 1 W']|||||||||||||['-5 - 90Â°', '-5 - 90Â°']|['Tabletop', 'Tabletop']||Surface acoustic wave||1||||||56 - 75 Hz|100 x 100 mm||1||||||170Â°|160Â°|||Yes|5.8 kg|||||
No|AOC 28'' M2870VHE VGA/DVI/HDMI LED Monitor - MBE||Yes|||16:9||||W-LED||||No|||['No', 'No', 'No']|||['Kensington', 'Kensington']|['AC, DVI, VGA', 'AC, DVI, VGA']|||CE, Energy Star 6.0, EPEAT Silver, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÃœV-GS, Ukrain Safety|||['Black', 'Black']|||||||||||50000000:1|3000:1|||||24.19 cm|30 - 83 kHz|50 - 76 Hz|||LED|300 cd/mÂ²|"71.12 cm (28"")"|71.1 cm|16.77M|1920 x 1080 pixels|||WVA||||Yes|1|||Unspecified|Yes|Silver|No||||||||Full HD|Yes||1||||||No|||44.93 cm|||50/60 Hz|100 - 240V|||['Yes', 'Yes']||||||||||||||||||||||||['Yes', 'Yes']||['Yes', 'Yes']|||||['6.8 kg', '6.8 kg']|['14.5 cm', '14.5 cm']|['50 cm', '50 cm']|['73 cm', '73 cm']|||||No||0.32 x 0.32 mm||['Yes', 'Yes']||||0.5W||0.5W|27.7W||['Yes', 'Yes']||||||||5 ms|||||||||||||['Yes', 'Yes']|||1920 x 1080 (HD 1080)|1080p||||No||No|Yes|-5 - 25Â°||||||||||['Yes', 'Yes', 'Yes']||100 x 100 mm||1|||62.09 cm|34.12 cm||178Â°|178Â°|||Yes||4.8 kg|64.24 cm|64.24 cm|No|
No|Asus VX279Q 27 Widescreen Super-Slim Bezel LED Monitor - Black - MBE|['Yes', 'Yes']|Yes|||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['AC, Audio (3.5mm), VGA', 'AC, Audio (3.5mm), VGA']|||BSMI, CB, CCC, CE, CEL 1, C-Tick, CU, ErP, FCC, Gost-R, UL/cUL, VCCI, WHQL|||['Black', 'Black']|||||||||||80000000:1||||21.01 cm|||30 - 80 kHz|56 - 76 Hz|||LED|250 cd/mÂ²|"68.58 cm (27"")"|68.6 cm|16.77M|1920 x 1080 pixels|||IPS|||1|No||||Unspecified|||No||||||||Full HD|Yes||1||3.5 mm||1|44.13 cm|||||30 - 80 kHz||50/60 Hz|100 - 240V|||['Yes', 'Yes']|['Yes', 'Yes']||['Yes', 'Yes']||||||||||Yes||||||['2', '2', '2']|||||['Yes', 'Yes']||||20 - 80%|0 - 40 Â°C|||||||Yes|||||||['Yes', 'Yes']||||||0.5W|46W||['Yes', 'Yes']|||||['Yes', 'Yes']|||5 ms|['3W', '3W', '3W']|||||RoHS, WEEE|||||||['Yes', 'Yes']||-20 - 60 Â°C|1920 x 1080 (HD 1080)|1080p||||||No|Yes|-5 - 20Â°||||['No', 'No']|||||||56 - 76 Hz|||1||||||178Â°|178Â°||||4.6 kg||62.26 cm||No|['Yes', 'Yes']
No|HP Z23i - MBE|['Yes', 'Yes']|Yes|||16:9||||||||No|['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']|['AC', 'AC']|||CB, CE, CEL Grade 1, TUV, GS, TCO, GOST, CUL, FCC, E-Star 5.0, CSA, NOM, S-Mark, VCCI, MIC, PSB, ISC, CCC, BSMI, C-Tick, ICES, Microsoft WHQL, TCO|||['Black', 'Black']|||||||||||5000000:1|1000:1|||5.1 cm||24.29 cm|||||LED|250 cd/mÂ²|"58.42 cm (23"")"|58.42 cm|16.77M|1920 x 1080 pixels||Matt|IPS|||1|Yes|1|||Unspecified|Yes|Gold|||||||||Full HD|Yes|||||||32.9 cm|['Yes', '15 cm']|||46.99 cm|24 - 94 kHz||50/60 Hz|100 - 240V|||['Yes', 'Yes']|||['Yes', 'Yes']|||||['30000h', '30000h']||||||||0 - 12192m||||||||['Yes', 'Yes']||['Yes', 'Yes']|0 - 5000m|20 - 80%|5 - 35 Â°C||['8.4 kg', '8.4 kg']|['18.3 cm', '18.3 cm']|['51.8 cm', '51.8 cm']|['62 cm', '62 cm']|||||Yes|0 - 90Â°|0.265 x 0.265 mm||['Yes', 'Yes']|||36W||22W|0.5W|28W||['Yes', 'Yes']|||||['Yes', 'Yes']|||8 ms|||||||||||Yes||['Yes', 'Yes']|5 - 95%|-20 - 60 Â°C|720 x 400, 1600 x 900, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1440 x 900 (WXGA+), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)|1080p||0 - 360Â°||Yes||No|Yes|-5 - 30Â°||||['No', 'No']|3||||||50 - 76 Hz|||1||||||178Â°|178Â°|||Yes|4.19 kg|6.4 kg|54.4 cm|54.4 cm|No|['Yes', 'Yes']
No|AOC E2770SHE 27 LED HDMI Widescreen Monitor 5ms - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||||||CE, FCC, TUV-GS, GOST, RoHS|||['Black', 'Black']|||||||||||20000000:1|1000:1||||||||||LED|250 cd/mÂ²|"68.58 cm (27"")"||16.77M|1920 x 1080 pixels|||TN+Film||||No||||Unspecified|Yes|Silver|||||||||Full HD|Yes||2||||||No||||30 - 83 kHz||50/60 Hz|90 - 240V||||||||||||||||||||||||||||||||||||||||||No|||||||||||||||||||||5 ms|['2W', '2W', '2W']|||||||||||||||1920 x 1080 (HD 1080)|||||No||No|Yes|-5 - 15Â°||||['No', 'No']|||||||55 - 75 Hz|100 x 100 mm||1|||59.789 cm|33.631 cm||170Â°|160Â°|||Yes||||||
No|Samsung S23C650D - MBE||Yes|||16:9|||||||||['No', 'No', 'No']||['No', 'No', 'No']||||['USB, VGA', 'USB, VGA']|||TCO, UL, CSA, TUV, NEMKO, KC, CCC, PSB, GOST, SIQ, PCBC, NOM, IRAM, SASO, FCC, C-Tick, VCCI|||['Black', 'Black']|||||||||||Mega Contrast|1000:1|||5.54 cm||22.4 cm|||||LED|250 cd/mÂ²|"58.42 cm (23"")"||16.77M|1920 x 1080 pixels|||AD-PLS||||Yes|1|||Unspecified|Yes|Gold|||||||||Full HD|No|||||||32.14 cm|['13 cm', 'Yes']||||||50/60 Hz|100 - 240V||||||['Yes', 'Yes']|||||||||||||||||||||['Yes', 'Yes']|||||10 - 40 Â°C||['6.95 kg', '6.95 kg']|['39.7 cm', '39.7 cm']|['18.6 cm', '18.6 cm']|['62 cm', '62 cm']|||||Yes|-1 - 95Â°|0.2655 x 0.2655 mm|||||||21W|0.3W|25W|['Yes', 'Yes']||||||['Yes', 'Yes']||10 - 80%|5 ms||||||||||||||||1920 x 1080 (HD 1080)|||-45 - 45Â°||Yes||No|Yes|-3 - 25Â°||||['No', 'No']|2|||||||100 x 100 mm||1|||50.976 cm|28.674 cm||178Â°|178Â°|||Yes|3.8 kg|5.45 kg|54.29 cm|54.29 cm||
|Elo TouchSystems 1915L - MBE|||||5:4||||||||||||||||['No', 'No']||['UL/cUL, TÃœV-GS, CE, FCC/IC/VCCI, C-Tick Class B', 'UL/cUL, TÃœV-GS, CE, FCC/IC/VCCI, C-Tick Class B']|||['Grey', 'Grey']||||||||||||1000:1||||||||429 x 207 x 379 mm|||270 cd/mÂ²|"48.26 cm (19"")"|||1024 x 768 pixels||||LCD|376.3 x 301.1 mm|||||||||||||No||||||||No|||||||||31.5 - 80 kHz||||||||||||||['50000h', '50000h']|||||||['1280 x 1024', '1280 x 1024']||16.7M|||||||['Yes', 'Yes']||||20 - 80%|0 - 40 Â°C|['540 x 495 x 285 mm', '540 x 495 x 285 mm']|['11700g', '11700g']|||||||||||||||||||50W|||['85 - 265 VAC, 47 â€“ 63 Hz', '85 - 265 VAC, 47 â€“ 63 Hz']|['AC', 'AC']||||||5 ms|||||1|||||||||10 - 90%|-20 - 60 Â°C|||||||||||||||1||||||56.3 - 75 Hz|100 x 100 mm||1||||||160Â°|155Â°|||Yes|7.9 kg|||||
|Iiyama ProLite B2280HS-B1 - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['AC, DVI, VGA', 'AC, DVI, VGA']||||||['Black', 'Black']|||||||||||5000000:1|1000:1|||24.45 cm|||||||LCD|250 cd/mÂ²|"54.61 cm (21.5"")"||16.77M|1920 x 1080 pixels|||TN+Film||||Yes|1||||Yes||||||||||Full HD|Yes||1|||||39.3 cm|['Yes', '13 cm']||||24 - 80 kHz||50/60 Hz|100 - 240V||||||['Yes', 'Yes']||||||||||||||||['2', '2', '2']||||||||||||||||||||Yes|0 - 90Â°|0.2482 x 0.2482 mm||||||||1W|21W||||||||||5 ms|['2W', '2W', '2W']||||||||||Yes||||||||-160 - 160Â°||||No||-5 - 22Â°||||['No', 'No']|||||||56 - 75 Hz|100 x 100 mm||1|||47.664 cm|26.811 cm||160Â°|160Â°|||Yes|5.1 kg||50.95 cm|||['Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 98, Windows 98SE, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64', 'Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 98, Windows 98SE, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64']
No|Benq BL2411PT - MBE||Yes|||16:10|Yes||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|||||||['Black', 'Black']|||||||||||20000000:1|1000:1|||6.3 cm||23.6 cm|||||LCD|300 cd/mÂ²|"60.96 cm (24"")"|60.96 cm|16.77M|1920 x 1200 pixels|||IPS|||1||1|||Unspecified|Yes|Gold|||||||||Full HD|Yes||||3.5 mm|||36.6 cm|['13 cm', 'Yes']|||57.4 cm||||||||||||||||||||||||||['2', '2', '2']|['17', '17']||||['Yes', 'Yes']||['Yes', 'Yes']|||||['9 kg', '9 kg']|['25 cm', '25 cm']|['43.6 cm', '43.6 cm']|['66 cm', '66 cm']|||||Yes||||['Yes', 'Yes']|||||0.3W||23W||||||||||5 ms|['2W', '2W', '2W']|||||||||||||||1920 x 1200 (WUXGA)|||-45 - 45Â°||Yes||No|Yes|-5 - 20Â°||||['No', 'No']||||||||100 x 100 mm||1||||||178Â°|178Â°|||Yes||6.7 kg|55.5 cm|55.5 cm||['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64']
|Philips Brilliance LCD monitor, LED backlight 19B4LCS5 - MBE|||||5:4|||||||||||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|||||||['Silver, White', 'Silver, White']|||||||||||20000000:1|1000:1|||34.6 cm||50.6 cm|||||LCD|250 cd/mÂ²|"48.26 cm (19"")"|48.3 cm|16.77M|1280 x 1024 pixels|Yes||TFT||||Yes|1|['376.32 x 301.06 mm', '376.32 x 301.06 mm']||Unspecified||Gold||||['Black', 'Black']||||||||||||1|6.1 cm|['Yes', '11 cm']|||22.7 cm|30 - 83 kHz||50/60 Hz|100 - 240V|||||||||||['30.000h', '30.000h']|||||||||||['2', '2', '2']|||||||||20 - 80%|0 - 40 Â°C|460 x 448 x 159 mm|['6.48 kg', '6.48 kg']|['44.8 cm', '44.8 cm']|['15.9 cm', '15.9 cm']|['46 cm', '46 cm']||Yes|||Yes|90 - 90Â°|0.294 x 0.294 mm||['Yes', 'Yes']|['14W', '14W']|||0.1W||0.1W|14W||['Yes', 'Yes']||||||['25%', '25%']||5 ms|['1.5W', '1.5W', '1.5W']||||||||||||['Yes', 'Yes']||-20 - 60 Â°C||||65 - 65Â°||Yes|||Yes|5 - 20Â°|||||||||||56 - 75 Hz|100 x 100 mm||1||||||170Â°|160Â°|||Yes|2.71 kg|4.61 kg|40.4 cm|40.4 cm||
