3d capable|<page title>|aspect ratio|brightness|builtin devices|bundled with|character resolution|colour|colour support|compliant standards|contrast ratio|designed for|device type|diagonal size|diagonal size cm|digital tv tuner|dimensions wxdxh|display format|display position adjustments|energy class|energy consumption per year|environmental standards|features|hdcp compatible|hdmi ports qty|height rack units|image aspect ratio|input connectors|kvm switch|lcd backlight technology|localisation|manufacturer selling program|manufacturer warranty|microsoft certification|native resolution|panel type|pc interface|pixel pitch|power|power consumption operational|product description|product type|remote control|resolution|response time|screen coating|speaker system|speakers|targeting|technology|tv tuner|usb port|video interface|video wall components qty|weight
|OHC24 Shop : Monitor > Monitor search help > NEC SPECTRAVIEWREFERENCE 301 1000:1 350CD/QM 178 6MS 60002929|Widescreen - 16:10|350 cd/m2|USB Hub|||Black|1.07 billion colours|TCO '03, FCC Class B certified, MPR II, CSA, UL, TUV GS, C-Tick, GOST, cUL, DDC-2B, DDC-2Bi, MPR III, PCBC, PCT, VESA EDID, CCC, TUV Ergo, PSB, DDC/CI, RoHS, ISO 9241-307, GEEA|1000:1||"LCD monitor - 29.8"""||||68.8 cm x 30.2 cm x 46.6 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||2xDVI-D, 2xDisplayPort|||||3 years warranty||2560 x 1600 at 85 Hz|P-IPS||0.251 mm|||"NEC SpectraView Reference 301 - LCD monitor - 29.8"""||||12 ms (typical); 6 ms (grey-to-grey)||||||||||18.8 kg
|OHC24 Shop : Monitor > Monitor search help > BenQ GL2460HM 61CM 24IN LED FULL HD 12MIO:1 250CD/QM 9H.LA7LB.RBE|Widescreen - 16:9|250 cd/m2||||Glossy black|16.7 million colours|TCO Displays 6.0|1000:1 / 12000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||56.5 cm x 19.4 cm x 43.4 cm - with stand||Tilt|||ENERGY STAR Qualified , EPEAT Silver||||||HDMI, DVI, VGA|||||||FullHD 1920 x 1080|TN||0.276 mm|||"BenQ GL2460HM - LED monitor - 24"""||||2 ms (gray-to-gray)|||Integrated|||||||4.3 kg
|"OHC24 Shop : Monitor > Monitor search help > AOC E960SRDA 48.26CM 19"" WLED 48.3 cm (19 "")/ 1.280"|5:4|250 cd/m2||||Black with hairline texture|16.7 million colours|TUV GS, FCC, RoHS, TCO Displays 5.0, EuP, NRTL|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 19"""||||40.92 cm x 21 cm x 40.51 cm||Tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty||1280 x 1024 at 75 Hz|||0.294 mm|||"AOC Professional e960Srda - LED monitor - 19"""||||5 ms|||Integrated|||||||2.85 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions ET1717L TOUCHDISPLAY E877820|5:4|250 cd/m2|Touch-screen|||Black|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, S Mark, China RoHS|800:1||"LED-backlit LCD monitor - 17"""||||39.2 cm x 21.5 cm x 36.1 cm - with stand|||||||||||VGA|||Worldwide||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo Desktop Touchmonitors 1717L AccuTouch - LED monitor - 17"""||||5 ms (tr - tf)|Anti-glare|||||||||5.4 kg
|OHC24 Shop : Monitor > Monitor search help > HP Z Display - Z23i D7R00A4#UUZ|Widescreen - 16:9|250 cd/m2|USB Hub|||Black|1.07 billion colours|Plug and Play, VCCI, BSMI, NOM, TUV S, WHQL, CB, CCC, PSB, FCC, KCC, KC, CEL, EPA, TCO Displays, ISC, CEL Grade 2|1000:1||"LED-backlit LCD monitor - 27"""||||64.1 cm x 24.24 cm x 42.04 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||HDMI, 2xDisplayPort|||German, French, Italian / Switzerland||3 years warranty||2560 x 1440 at 60 Hz|AH-IPS||0.2331 mm|||"HP DreamColor Z27x Professional - LED monitor - 27"""||||7 ms (grey-to-grey)|Anti-glare|||||||||8.8 kg
|OHC24 Shop : Monitor > Monitor search help > Avocent 1U 17IN LCDCONSOLE USB TOUCHPA  KB PREMOUNT ECS17KMM8-202||250 cd/m2|Keyboard, touchpad , 8 port KVM switch||||16.7 million colours|UL, VCCI, BSMI, GOST, GS, NOM, CB, EMC, FCC, ULC, RoHS, KCC|1000:1||"KVM console - 17"""||||44.5 cm x 65.1 cm x 4.4 cm|||||||||1U||VGA|USB - 8 ports||Europe||||1280 x 1024 at 60 Hz||||||"Avocent LCD Console and KVM over IP Switch Integrated Tray - KVM console - 17"""||||||||||||||12.8 kg
|OHC24 Shop : Monitor > Monitor search help > HP EliteDisplay - E231e G7D45AA#UUZ|Widescreen - 16:9|250 cd/m2|USB Hub|||Ergo grey||Plug and Play, CSA, UL, TUV GS, VCCI, C-Tick, NOM, WHQL, CCC, PSB, MIC, FCC, ICES, S Mark, TCO Certified Edge, CEL Grade 1, ISC|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 23"""||||54.4 cm x 24.29 cm x 46.99 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||German, French, Italian / Switzerland||3 years warranty||1920 x 1080|IPS||0.265 mm|||"HP EliteDisplay E231e - LED monitor - 23"""||||8 ms (grey-to-grey)|Anti-glare|||||||||6.4 kg
|"OHC24 Shop : Monitor > Monitor search help > Samsung LCD S24D300H 24/"" black LS24D300HS/EN"|Widescreen|250 cd/m2||||High glossy black|16.7 million colours||1000:1||"LED-backlit LCD monitor - 24"""||||56.9 cm x 19.7 cm x 41.72 cm - with stand|||Class A||ENERGY STAR Qualified , EPEAT Gold||||||HDMI, VGA|||||||1920 x 1080|TN|||||"Samsung S24D300H - LED monitor - 24"""||||2 ms (gray-to-gray)||||||||||3.15 kg
|"OHC24 Shop : Monitor > Monitor search help > NEC EA234WMI 58.4 cm (23 "")/ 1.920 x 1.080/ Wide 60003587"|Widescreen - 16:9|250 cd/m2||||White|16.8 million colours|FCC Class B certified, CSA, UL, TUV GS, GOST, cUL, MPR III, PCT, TUV Ergo, RoHS, ISO 9241-307, TCO Displays 6.0, TCO Certified Edge 1.2|1000:1 / 25000:1 (dynamic)||"LED-backlit LCD monitor - 23"""||||54.38 cm x 21.8 cm x 38.04 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA, DisplayPort|||||3 years warranty||1920 x 1080 at 60 Hz|IPS||0.265 mm|||"NEC MultiSync EA234WMi - LED monitor - 23"""||||6 ms (grey-to-grey)|||Integrated|||||||6.4 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions ET1517L TOUCHDISPLAY 1517L E532051|4:3|250 cd/m2|Touch-screen|||White|16.2 million colours|UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, S Mark, China RoHS|700:1||"LED-backlit LCD monitor - 15"""||||35.8 cm x 19.7 cm x 31.9 cm - with stand|||||||||||VGA|||Worldwide||3 years warranty||1024 x 768 at 75 Hz||||||"Elo Desktop Touchmonitors 1517L AccuTouch - LED monitor - 15"""||||16 ms|Anti-glare|||||||||4.3 kg
|OHC24 Shop : Monitor > Monitor search help > ASUS - VS278Q 90LMF6101Q01081C-|Widescreen - 16:9|300 cd/m2||||Black|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, CCC, PSB, FCC, RoHS, WEEE, GOST-R, ErP Ready|1000:1 / 80000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||64.886 cm x 5 cm x 47.011 cm - without stand||Tilt|||ENERGY STAR Qualified||||||2xHDMI, VGA, DisplayPort|||||3 years warranty||FullHD 1920 x 1080|TN||0.311 mm|||"ASUS VS278Q - LED monitor - 27"""||||1 ms (grey-to-grey)|||Integrated|||||||
|OHC24 Shop : Monitor > Monitor search help > Belkin - Widescreen Rack-Mount Console with PRO3 F1DC116HDE|Widescreen||Keyboard, touchpad, keypad||||16.7 million colours||1000:1||"KVM console - 19"""||||48.3 cm x 69.9 cm x 4.3 cm|||||ENERGY STAR Qualified||||1U||VGA|PS/2 - 16 ports||||2 years warranty||1440 x 900 at 65 Hz|||0.2835 mm|||"Belkin Widescreen Rack-Mount Console with PRO3 - KVM console - 19"""||||5 ms||||||||||11.3 kg
|OHC24 Shop : Monitor > Monitor search help > Epson Display DM-D110 BC >  white A61B133ECW||700 cd/m2||||White||FCC Class A certified, CSA, UL, TUV, EN 60950, VCCI-I||TM H5000II, H5000IIP|Customer display||||16.5 cm x 17 cm x 32.9 cm||||||||||||||||||||||||Epson DMD110BC - customer display||||||||||||||0.6 kg
|OHC24 Shop : Monitor > Monitor search help > AOC - g2460Pg G2460PG|Widescreen - 16:9|350 cd/m2||||Black|16.7 million colours|Plug and Play, TUV GS, GOST, RoHS, TCO Displays 6.0|1000:1 / 80000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||56.54 cm x 24.46 cm x 39.36 cm - with stand||Tilt|||ENERGY STAR Qualified||||||DisplayPort|||||3 years warranty||1920 x 1080 at 144 Hz|TN||0.276 mm|||"AOC g2460Pg - LED monitor - 24"""||||1 ms (grey-to-grey)||||||||||6.54 kg
|"OHC24 Shop : Monitor > Monitor search help > Samsung Monitor 22"" S.master S22C450MW LS22C45KMWV/EN"|Widescreen - 16:10|250 cd/m2||||Matte black|16.7 million colours||1000:1||"LED-backlit LCD monitor - 22"""||||50.24 cm x 21 cm x 45.35 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty|Compatible with Windows 7|1680 x 1050|TN||0.282 mm|||"Samsung S22C450MW - LED monitor - 22"""||||5 ms||||||||||5 kg
|"OHC24 Shop : Monitor > Monitor search help > Philips 271S4LPYEB/00 27"" LED Powersensor"|Widescreen - 16:9|300 cd/m2||||Textured black with black stand|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Displays 6.0|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||63.9 cm x 24.2 cm x 58 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||||3 years warranty||FullHD 1920 x 1080 at 60 Hz|||0.311 mm|||"Philips S-line 271S4LPYEB - LED monitor - 27"""||||5 ms||||||||||7.5 kg
|"OHC24 Shop : Monitor > Monitor search help > Dell S2240T touch >  21.5"" 16:9 1920x1080 >  12ms >  861-10414"|Widescreen - 16:9|280 cd/m2|Touch-screen||||16.7 million colours|Plug and Play|3000:1 / 8000000:1 (dynamic)||"LED-backlit LCD monitor - 21.5"" - Multi-Touch"||||52.25 cm x 20.57 cm x 37.08 cm - with stand||Tilt|||ENERGY STAR Qualified , EPEAT Silver||||||HDMI, DVI-D, VGA|||Switzerland||3 years warranty ( United States, Latin America - 1 year )|Compatible with Windows 7|FullHD 1920 x 1080 at 60 Hz|VA||0.248 mm|||"Dell S2240T - LED monitor - 21.5"""||||25 ms (On/Off); 12 ms (Overdrive)||||||||||5.8 kg
|"OHC24 Shop : Monitor > Monitor search help > Philips 298X4QJAB/29"" LED IPS Monitor 2560x1080 298X4QJAB/00"|Widescreen - 21:9|300 cd/m2||||Textured black with black stand|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Displays 6.0|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 29"""||||70 cm x 19.7 cm x 42.6 cm - with stand||Tilt|||ENERGY STAR Qualified||||||2xHDMI, DVI-D, DisplayPort|||||3 years warranty||2560 x 1080 at 60 Hz|AH-IPS||0.262 mm|||"Philips Brilliance 298X4QJAB - LED monitor - 29"""||||14 ms (typical); 5 ms (grey-to-grey)|||Internal|||||||6.36 kg
|"OHC24 Shop : Monitor > Monitor search help > NEC PA242W LED 61 cm (24 "")/ 1.920 x 1.200/ 60003490"|Widescreen - 16:10|350 cd/m2|USB Hub|||Black|1.07 billion colours|FCC Class B certified, MPR II, CSA, UL, TUV GS, C-Tick, GOST, cUL, DDC-2B, MPR III, PCBC, PCT, VESA EDID, CCC, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, ERP|1000:1||"LED-backlit LCD monitor - 24.1"""||||55.68 cm x 22.76 cm x 37.8 cm - with stand||Height, pivot (rotation), swivel, tilt|||||||||HDMI, DVI-D, VGA, DisplayPort|||||3 years warranty||1920 x 1200 at 60 Hz|AH-IPS|||||"NEC MultiSync PA242W - LED monitor - 24.1"""||||16 ms (On/Off); 6 ms (grey-to-grey)||||||||||10.6 kg
|"OHC24 Shop : Monitor > Monitor search help > Lenovo ThinkVision LT2423 60A8KAT2 24"" TN W-LED 16:9 60A8KAT2CH"|Widescreen - 16:9|250 cd/m2||||Business black||FCC Class B certified, MPR II, VESA FPMPMI, RoHS, ISO 9241-307, WEEE, DDC-2B/CI, TCO Displays 6.0, UL Environmental SPC Gold, TCO Certified Edge 1.2|1000:1||"LCD monitor - 24"""||||56.71 cm x 21.67 cm x 41.43 cm||Tilt|||ENERGY STAR Qualified , EPEAT Gold|||||||||Liechtenstein, Switzerland|||Compatible with Windows 7|1920 x 1080|TN||0.278 mm|||"Lenovo ThinkVision LT2423 - LCD monitor - 24"""||||5 ms|||Integrated|||||||3.76 kg
|"OHC24 Shop : Monitor > Monitor search help > AOC E2070SWN - LED-Monitor - 49.5cm/19.5"" 1600 x 900 >"|Widescreen - 16:9|200 cd/m2||||Black|16.7 million colours|C-Tick, BSMI, DDC-2B, CCC, FCC, DDC/CI, RoHS, ISO 9241-307, cTUVus, CECP|20000000:1 (dynamic)||"LED-backlit LCD monitor - 19.5"""||||46.5 cm x 15.6 cm x 34.4 cm||Tilt|||||||||VGA|||||3 years warranty||1600 x 900 at 60 Hz|||0.271 mm|||"AOC E2070SWN - LED monitor - 19.5"""||||5 ms||||||||||2.27 kg
|OHC24 Shop : Monitor > Monitor search help > Samsung - S24C750P LS24C750PS/EN|Widescreen - 16:9|250 cd/m2||||Metallic silver, glossy black|16.7 million colours||3000:1||"LED-backlit LCD monitor - 24"""||||55.58 cm x 20 cm x 46.35 cm - with stand||Pivot (rotation), tilt|Class B||ENERGY STAR Qualified , EPEAT Gold||||||2xHDMI, VGA|||||||FullHD 1920 x 1080||||||"Samsung S24C750P - LED monitor - 24"""||||5 ms (grey-to-grey)||||||||||4.95 kg
|"OHC24 Shop : Monitor > Monitor search help > Iiyama B2780HSU-W2 69CM 27IN LED 68.6 cm (27"")/"|Widescreen - 16:9|300 cd/m2|USB Hub|||White|16.7 million colours|DDC-2B, VESA DPMS, TUV Bauart, TCO Displays 6.0|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||64.2 cm x 25 cm x 43.8 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA|||||||FullHD 1920 x 1080|TN||0.3113 mm|||"Iiyama ProLite B2780HSU-W2 - LED monitor - 27"""||||1 ms|||Integrated|||||||8 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions ET2440L-OPEN FRAME E000415|Widescreen - 16:9|300 cd/m2|Touch-screen|||Black|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, E-Standby, China RoHS|1000:1||"LED-backlit LCD monitor - 24"""||||56.16 cm x 4.22 cm x 32.58 cm|||||||||||DVI-D, VGA|||Worldwide||3 years warranty||FullHD 1920 x 1080 at 75 Hz||||||"Elo Open-Frame Touchmonitors 2440L IntelliTouch Plus - LED monitor - 24"""||||5 ms||||||||||5.7 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 1717L iTouch Zero-Bezel E017030|5:4|250 cd/m2|Touch-screen|||Black|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, S Mark, China RoHS|800:1||"LED-backlit LCD monitor - 17"""||||39.2 cm x 21.5 cm x 36.1 cm - with stand|||||||||||VGA|||Worldwide||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo Desktop Touchmonitors 1717L iTouch Zero-Bezel - LED monitor - 17"""||||5 ms (tr - tf)|Anti-glare|||||||||5.4 kg
|"OHC24 Shop : Monitor > Monitor search help > Philips 272P4QPJKEB/00 27"" LED PLS >  Quad HD"|Widescreen - 16:9|300 cd/m2|USB Hub, 2.0 megapixel camera|||Textured black with black stand|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Certified Edge, TCO Displays 6.0|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||63.9 cm x 24.2 cm x 58 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||2xHDMI, DVI-D, DisplayPort|||||3 years warranty||QHD 2560 x 1440 at 60 Hz|Plane to Line Switching (PLS)||0.233 mm|||"Philips Brilliance 272P4QPJKEB - LED monitor - 27"""||||12 ms (typical); 6 ms (grey-to-grey)|||Integrated|||||||8.5 kg
|"OHC24 Shop : Monitor > Monitor search help > Samsung S24C65UPC 24IN 1920X1080 61 cm (24 "")/ LS24C65UPC/EN"|Widescreen - 16:9|250 cd/m2|USB Hub|||Black|16.7 million colours||1000:1||"LED-backlit LCD monitor - 23.6"""||||55.46 cm x 22.4 cm x 35.73 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||HDMI, VGA, DisplayPort|||||3 years warranty||1920 x 1080|AD-PLS||0.2715 mm|||"Samsung S24C650PL - LED monitor - 23.6"""||||5 ms (grey-to-grey)||||||||||5.45 kg
|OHC24 Shop : Monitor > Monitor search help > Elo - 1515L IntelliTouch E399324|4:3|225 cd/m2|Touch-screen|||Dark grey|16.7 million colours|UL, VCCI, C-Tick, cUL, MPR III, SEMKO, IC, FCC, RoHS|500:1||"LCD monitor - 15"""||||35 cm x 17.5 cm x 31 cm|||||||||||VGA|||||||1024 x 768 at 75 Hz||||||"Elo 1515L IntelliTouch - LCD monitor - 15"""||||11.7 ms|Anti-glare|||||||||4.8 kg
|OHC24 Shop : Monitor > Monitor search help > Avocent ECS17KMM-215|||Keyboard, trackball||||16.7 million colours|UL, TUV GS, VCCI, C-Tick, BSMI, GOST, NOM, CB, EMC, FCC, ULC, RoHS, UL-AR|||"KVM console - 17"""||||44.5 cm x 65.1 cm x 4.4 cm|||||||||1U||VGA|USB||United States||||1280 x 1024 at 60 Hz||||||"Avocent LCD Console Tray - KVM console - 17"""||||||||||||||12.8 kg
|OHC24 Shop : Monitor > Monitor search help > NEC 60002933|Widescreen|250 cd/m2||||White, silver|16.7 million colours|FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2Bi, MPR III, PCT, CCC, TUV Ergo, TCO Displays 5.0, ISO 9241-307, GEEA, ErP Ready|1000:1 / 25000:1 (dynamic)||"LED-backlit LCD monitor - 23"""||||55 cm x 21.4 cm x 38.1 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||||3 years warranty|Certified for Windows Vista|1920 x 1080 at 60 Hz|TN||0.265 mm|||"NEC MultiSync E231W - LED monitor - 23"""||||5 ms||||||||||6.2 kg
|"OHC24 Shop : Monitor > Monitor search help > Samsung S19C45KBW/19"" 1440x900 VGA/DVI/HAS LS19C45KBW/EN"|Widescreen|250 cd/m2||||Matte black|16.7 million colours||1000:1||"LED-backlit LCD monitor - 19"""||||43.94 cm x 21 cm x 32.32 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty|Compatible with Windows 7|1440 x 900|TN||0.2835 mm|||"Samsung S19C450BW - LED monitor - 19"""||||5 ms||||||||||4.25 kg
|OHC24 Shop : Monitor > Monitor search help > AOC E2260PDA 55 > 8CM 22IN WLED 250CD/QM 1000:1 5MS|Widescreen - 16:10|250 cd/m2|USB Hub||||16.7 million colours|DDC-1, DDC-2B, DDC/CI, TCO Displays 5.2|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 22"""||||50.78 cm x 52.13 cm x 24.46 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty||1680 x 1050 at 60 Hz|||0.248 mm|||"AOC e2260Pda - LED monitor - 22"""||||5 ms||||||||||
|"OHC24 Shop : Monitor > Monitor search help > Dell S2740L 27"" Full HD >  7ms >  270cd >  1920x1080 >  210-40905"|Widescreen - 16:9|270 cd/m2|USB Hub||||16.7 million colours|Plug and Play|1000:1 / 8000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||64.19 cm x 21.58 cm x 45.87 cm - with stand||Tilt|||ENERGY STAR Qualified , EPEAT Silver||||||HDMI, DVI-D, VGA|||||||FullHD 1920 x 1080 at 60 Hz|IPS||0.311 mm|||"Dell S2740L - LED monitor - 27"""||||7 ms (grey-to-grey)|3H Hard Coating|||||||||7.56 kg
|OHC24 Shop : Monitor > Monitor search help > Avocent 1U 17IN LCD CONSOLE W/USB TOUC UK ECS17KMM-202||250 cd/m2|Keyboard, trackball||||16.7 million colours|UL, TUV GS, VCCI, C-Tick, BSMI, GOST, NOM, CB, EMC, FCC, ULC, RoHS, UL-AR|1000:1||"KVM console - 17"""||||44.5 cm x 65.1 cm x 4.4 cm|||||||||1U||VGA|USB||Europe||||1280 x 1024 at 60 Hz||||||"Avocent LCD Console Tray - KVM console - 17"""||||||||||||||12.8 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 1723L iTouch Plus E924166|5:4|225 cd/m2||||White|16.7 million colours|FCC Class A certified, UL, VCCI, C-Tick, cUL, SEMKO, VESA DPMS, DDC|800:1||"LED-backlit LCD monitor - 17"" - Multi-Touch"||||39.1 cm x 20.9 cm x 36 cm - with stand||Tilt|||||||||DVI, VGA|||||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo Desktop Touchmonitors 1723L iTouch Plus - LED monitor - 17"""||||30 ms|Anti-glare||Internal|||||||5.21 kg
|"OHC24 Shop : Monitor > Monitor search help > AG Neovo TM-27 68.6CM 27IN LED 68.6 cm (27"")/ TM270011E0100"|Widescreen|270 cd/m2|Camera, touch-screen , 2.0 megapixel camera||||16.7 million colours|VESA FPMPMI, CB, FCC, RoHS, WEEE, GOST-R, REACH|1000:1||"LED-backlit LCD monitor - 27"" - Multi-Touch"||||66 cm x 32.85 cm x 45.4 cm - with stand||Tilt|||||||||HDMI, VGA, DisplayPort|||||||FullHD 1920 x 1080|MVA||0.311 mm|||"Neovo TM-27 - LED monitor - 27"""||||6 ms (grey-to-grey)|||Integrated|||||||11 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama PL T1531SR-B1|4:3|200 cd/m2|Touch-screen , stereo speakers|||Black|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV, VCCI Class B ITE, cUL|500:1||"LCD monitor - 15"""||||35.1 cm x 30.6 cm x 20.2 cm||Tilt|||||||||DVI-D, VGA|||||||1024 x 768|TN||0.297 mm|||"Iiyama ProLite T1531SR-B1 - LCD monitor - 15"""||||8 ms|||Integrated|||||||4.1 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Open-Frame Touchmonitors - 2244L Projected Capacitive E485927|Widescreen - 16:9|225 cd/m2|Touch-screen|||Black|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, NOM, CB, CCC, IC, FCC, RoHS, KCC, WEEE, S Mark|1000:1||"LED-backlit LCD monitor - 22"" - Multi-Touch"||||51.2 cm x 4.3 cm x 29.8 cm|||||||||||DVI-D, VGA|||Worldwide||3 years warranty||1920 x 1080 at 60 Hz||||||"Elo Open-Frame Touchmonitors 2244L Projected Capacitive - LED monitor - 22"""||||14 ms||||||||||4.8 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Open-Frame Touchmonitors - 1939L IntelliTouch E215546|5:4|225 cd/m2|Touch-screen|||Black, steel|16.7 million colours|FCC Class B certified, UL, VCCI Class B ITE, cUL, CB, C-Tick Class B, RoHS|1000:1||"LCD monitor - 19"""||||41.5 cm x 5.1 cm x 34.3 cm|||||||||||VGA|||||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo Open-Frame Touchmonitors 1939L IntelliTouch - LCD monitor - 19"""||||25 ms|Anti-glare|||||||||5.2 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Open-Frame Touchmonitors - 1739L IntelliTouch E012584|5:4|276 cd/m2|Touch-screen|||Black, steel|16.7 million colours|FCC Class B certified, UL, VCCI Class B ITE, cUL, SEMKO, CB, C-Tick Class B, RoHS|1000:1||"LCD monitor - 17"""||||36.8 cm x 4.9 cm x 30.6 cm|||||||||||VGA|||||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo Open-Frame Touchmonitors 1739L IntelliTouch - LCD monitor - 17"""||||30 ms|Anti-glare|||||||||4 kg
|OHC24 Shop : Monitor > Monitor search help > Barco MDSC-2226  1920X1080 RS232      K9307906|Widescreen - 16:9|450 cd/m2||||White|1 billion colours|cUL, DEMKO, DVI DMPM, IEC 60601-1-2, EMC, UL 60601-1, WEEE, EN 55011, FCC CFR47 Part 15 B, cULus, REACH, CISPR 11, IP21, IPX5, RoHS2, IEC 60601-1, CAN/CSA C22.2 No. 60601-1-08|1400:1||"LED-backlit LCD monitor - 2MP - colour - 26"""||||63.3 cm x 9 cm x 41.1 cm - without stand|||||||||||DVI-I, DisplayPort , S-Video, composite video, component video|||||3 years warranty||FullHD 1920 x 1080|P-IPS||0.3 mm|||"Barco MDSC-2226 - LED monitor - 2MP - colour - 26"""||||18 ms|Anti-reflective|||||||||9.5 kg
|"OHC24 Shop : Monitor > Monitor search help > NEC E223W BLACK 55 > 9CM 22IN 55.9 cm (22 "")/ 1.680 60003334"|Widescreen - 16:10|250 cd/m2||||Black|16.7 million colours|FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2B, DDC-2Bi, MPR III, PCT, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, GEEA, ERP, TCO Displays 6.0|1000:1 / 25000:1 (dynamic)||"LED-backlit LCD monitor - 22"""||||50.35 cm x 21.8 cm x 38.4 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||||3 years warranty||HD 1680 x 1050 at 60 Hz|TN||0.282 mm|||"NEC MultiSync E223W - LED monitor - 22"""||||5 ms||||||||||5.6 kg
|OHC24 Shop : Monitor > 80 Zoll and greater > LG Electronics 84WS70MS 213CM 84IN ANA/DIG 84WS70MS-B.AEU||||||||||||"84"""|213 cm||192.3 cm x 10.1 cm x 110.9 cm - without stand|4K UHDTV (2160p)|||||Smart Energy Saving, temperature sensor, Image Sticking Minimization (ISM), auto brightness sensor||1 port(s)||16:9|||LED backlight - edge-lit|||||||DVI, VGA (HD-15), DisplayPort||AC 120/230 V ( 50/60 Hz )|350 Watt|"LG 84WS70MS-B - 84"" LED-backlit LCD flat panel display"|LED-backlit LCD flat panel display|Remote control|3840 x 2160||||||IPS|No tuner|Yes , 2 port(s)|Composite, HDMI||72.9 kg
