3d technology|3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|features|firewireilink|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product code|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
||i2367Fm, AOCI2367FM, AOC, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|AOC|250 cd/m²|Speaker|CCC FCC CB / CE cTUVus TUV-BAUART|['Black', 'Silver']|16.7 Million Colours|||50,000,000:1||120 mm||||No|||Security Lock|||['China Energy Label (CEL)', 'China RoHS', 'ENERGY STAR', 'EPA', 'TCO Certified Displays 6.0']|Yes|Yes|Yes||394 mm|||178°|['220 V AC', '110 V AC']||AOC|I2367FM||1920 x 1080|||1|2||26 W|I2367FM Widescreen LCD Monitor Audio (3.5mm) Cable HDMI Cable|||In-plane Switching (IPS) Technology|PC||||I2367FM|I2367FM Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"||||Yes|60 Hz|500 mW||||||||178°|No||Yes|No|3.75 kg||531.4 mm|
||T28LNWL, S602WH2, Lenovo, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Lenovo|250 cd/m²|['USB Hub', 'Microphone', 'Speaker']|Microsoft Lync CertifiedTUV Green Mark UL Environment GoldFCC Class B certifiedTUVBSMIGOSTIEC950NEMKOISO 9241-307NOMSABSSASOTUV SCCCICPSBJEITAICEScULusTUV BauartE-StandbyKCKvalitetSONCAPKEBSEMI|Raven Black|16.7 Million Colours|||1,000:1||56.4 mm|||Yes|Yes|||['Security Lock', 'Ambient Light Sensor']|||['WEEE', 'EPEAT', 'RoHS', 'CECP', 'REACH', 'TCO Certified Edge Displays 1.1', 'EuP', 'ENERGY STAR 6.0']|Yes||||387.2 mm|||||3 Year|Lenovo Group Limited|T28LNWL||1920 x 1080|||1|2||||||Enhanced In-plane Switching (E-IPS) Technology|PC|||ThinkVision|LT2323z|LT2323z Wide 23inch e-IPS Flat Panel Monitor|Wide|LCD Monitor|||7 ms|Full HD|"58.4 cm (23"")"|Anti-glare|||Yes|75 Hz|||||||Yes|USB 3.0||||Yes|Yes|6.16 kg||545.3 mm|
||VG248QE, ASUNOT702, ASUSTeK COMPUTER, LCD Monitor, JR Linton|||||||Asus||||Black||||||||||Yes|||||||||Yes||||||||ASUS Computer International|VG248QE||1920 x 1080|||1||||||||||||VG248QE|VG248QE Widescreen LCD Monitor||LCD Monitor|||1 ms|Full HD|"61 cm (24"")"||||Yes||||||||||||||||||
||U3014, Dell, LCD Monitor, JR Linton||Yes|Yes||16:10|LED|Dell|350 cd/m²|['Card Reader', 'USB Hub']|||1.07 Billion Colors|||2,000,000:1||61 mm|201.42 mm||Yes|Yes|||['Cable Management', 'Security Lock']|||['CECP', 'TCO Certified Displays', 'EPEAT Gold', 'ENERGY STAR']|Yes|Yes|Yes||449.3 mm|572.77 mm|113 kHz|178°|['110 V AC', '220 V AC']|3 Year|Dell, Inc|U3014||2560 x 1600|Wall Mountable||1|||120 W|UltraSharp U3014 Widescreen LCD Monitor Power Cable DVI-D Cable (Dual Link) DisplayPort Cable (Mini DP to DP) USB3.0 upstream Cable Cable Tie Drivers and Documentation media Factory Color Calibration Report Quick Setup Guide Safety Information|||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC|25%||UltraSharp|U3014|UltraSharp U3014 Widescreen LCD Monitor||LCD Monitor|Yes||6 ms|WQXGA|"76.2 cm (30"")"|Anti-glare||||60 Hz|500 mW||||||Yes|USB 3.0|178°|Yes||||10.84 kg||689.6 mm|689.61 mm
||190P7EG/10, Philips, LCD Monitor, JR Linton|Kensington lock compatible||||||Philips|300 cd/m²|USB Hub||Grey|16.7 Million Colours|||1,300:1||66 mm|215.90 mm|||Yes|||||||||||348 mm|414.02 mm||178°|['220 V AC', '110 V AC']||Philips Electronics|190P7EG/10||1280 x 1024|||1||||Brilliance 190P7EG LCD MonitorAC power cordDVI-D cableUSB cableVGA cableUser manual||||PC|||Brilliance|190P7EG|Brilliance 190P7EG LCD Monitor||LCD Monitor|||8 ms|SXGA|"48.3 cm (19"")"|Anti-glare||||75 Hz|||||||Yes||178°||||||8.21 kg|426.7 mm|426.72 mm
||FWD-46B2, SONCAS019, Sony, LCD Monitor, JR Linton||||||LED|Sony|500 cd/m²|Speaker||||Yes|Yes|4,000:1||85.7 mm||Landscape/Portrait||Yes|||Screen Saver||||||Yes||609.6 mm|||178°|['110 V AC', '220 V AC']||Sony Corporation|FWD46B2||1920 x 1080||Yes|1|2||130 W|||||||||FWD46B2|"46"" Pro Display w/ LED Backlight 500 CD/M2"||LCD Monitor||||Full HD|"116.8 cm (46"")"||||Yes||||||||||178°|Yes|400 x 400|Yes||||1054.1 mm|
||LS27C570HS/EN, Samsung, LCD Monitor, JR Linton||Yes||||LED|Samsung|300 cd/m²|||High Glossy Black|16.7 Million Colours|||1,000:1||103 mm|200 mm||No|No|||['Eco Saving', 'MagicTune', 'MagicBright3', 'MultiScreen', 'Magic Upscale']||||||Yes||389 mm|480.40 mm||178°|['220 V AC', '110 V AC']||Samsung|LS27C570HS/EN||1920 x 1080|||1|||20 W|||||['Mac', 'PC']||||S27C570H|S27C570H Widescreen LCD Monitor|570|LCD Monitor|||5 ms||"68.6 cm (27"")"||||No||300 mW||||||No||178°|||Yes||4.85 kg|5.30 kg|642 mm|642 mm
||288P6LJEB/00, 3089024, Philips, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Philips|300 cd/m²|['Speaker', 'USB Hub']|BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV Ergo TUV/GS|Textured Black|1.07 Billion Colors|||50,000,000:1||49 mm|273 mm||Yes|Yes|||['SmartControl', 'Mobile High-Definition Link (MHL)', 'Multiview', 'Picture in Picture', 'Security Lock', 'Picture by Picture', 'SmartImage', 'SmartErgoBase', 'Eco Mode']|||['RoHS', 'TCO Certified Displays 6.0', 'WEEE', 'ENERGY STAR 6.0', 'TCO Certified Edge', 'EPEAT Gold']|Yes|Yes|Yes|Yes|395 mm|573 mm||170°|['110 V AC', '220 V AC']||Philips Electronics|288P6LJEB/00|150 mm|3840 x 2160|||1|2||50.50 W|||||['Mac', 'PC']|65%||Brilliance|288P6LJEB|Brilliance 4K Ultra HD LED Backlit Monitor|P|LCD Monitor|Yes||1 ms|Ultra HD|"71.1 cm (28"")"||||Yes|60 Hz|500 mW||65°|||-5°to20°|Yes|USB 3.0|160°|Yes|100 x 100|Yes||5.24 kg|8.04 kg|659 mm|659 mm
||RX-W22, AGRXW22, AG Neovo, LCD Monitor, JR Linton|Plug & PlayKensington Security Socket||||||AG Neovo|300 cd/m²||||16.7 Million Colours|||1,000:1||155 mm||||Yes||||||['RoHS', 'WEEE']|Yes||||392 mm|||170°|['220 V AC', '110 V AC']||AG Neovo Technology Corporation|RX-W22||1680 x 1050|Wall Mountable||1||||RX-W22 Widescreen LCD MonitorQuick GuideCD ROM (user manual and drivers)Power CordPower Adaptor15-Pin D-Sub Cable24-Pin DVI-D CableCVBS BNC Connector Cable||||PC||||RX-W22|RX-W22 Widescreen LCD Monitor|RX|LCD Monitor|||3 ms|WSXGA+|"55.9 cm (22"")"||||||||||||||160°|||Yes||6.90 kg||512 mm|
||U-23, 53385, AG Neovo, LCD Monitor, JR Linton||Yes||||LED|AG Neovo|250 cd/m²|Speaker|CBFCCCE||16.7 Million Colours|||1,000,000:1||174 mm||||Yes||||||['ENERGY STAR', 'RoHS', 'WEEE', 'REACH', 'TCO Certified Displays 5.2']|Yes||Yes|Yes|403 mm|||170°|['220 V AC', '110 V AC']|3 Year|AG Neovo Technology Corporation|U-23||1920 x 1080|['Wall Mountable', 'Arm-mountable']||1|2|500 mW|30 W|CD ROM (user manual and drivers)Power Cord15-Pin D-Sub CableAudio Cable||||||||U-23|U-23 Widescreen LCD Monitor|U|LCD Monitor|||3 ms|Full HD|"58.4 cm (23"")"|Anti-scratch|||Yes|75 Hz|500 mW||||||Yes||160°|Yes|100 x 100|Yes||5.80 kg||572 mm|
||60003430, NECX551SPG, NEC Display Solutions, LCD Monitor, JR Linton|||||16:9|Edge LED|NEC Display|600 cd/m²||UL/C-ULCSACETUV GSC-tickFCC Class APSBVCCI|Black|||Yes|4,000:1||48.3 mm|||Yes|Yes|||['TileMatrix Support', 'Screen Saver', 'Ambient Light Sensor']|||['RoHS', 'ENERGY STAR 5.1']|Yes|Yes|Yes||726.3 mm|||178°||3 Year|NEC Display Solutions|60003430||1920 x 1080||Yes|1|||250 W||||Super Patterned Vertical Alignment (S-PVA) Technology|PC|||MultiSync|X551S PG|MultiSync X551S PG (Protective Glass)||LCD Monitor|||8 ms|Full HD|"139.7 cm (55"")"|Anti-reflective||||60 Hz|1 W|Yes|||||||178°|Yes|300 x 300|Yes||33 kg||1254 mm|
||BDL3210Q/00, Philips, LCD Monitor, JR Linton|||||16:9|Edge LED|Philips|350 cd/m²|['Speaker', 'USB Hub']|CEFCC Class BCCCUL/cULC-Tick||16.7 Million Colours|Yes|Yes|1,200:1||56.8 mm||Landscape|||||3D Comb Filter|||RoHS|Yes||Yes||462.7 mm|||178°||3 Year|Philips Electronics|BDL3210Q/00||1366 x 768|||1|2||100 W|"LED Display BDL3210Q 80cm (31.5"") Edge LED HD ReadyRemote ControlBatteriesAC Power CordVGA CableUser Manual on CD-ROMQuick Start Guide"||||PC||||BDL3210Q|"LED Display BDL3210Q 80cm (31.5"") Edge LED HD Ready"||LCD Monitor|||8 ms|WXGA|"80 cm (31.5"")"||||Yes|60 Hz|500 mW||||||Yes|USB 2.0|178°|Yes|200 x 100|Yes||8.05 kg||745.2 mm|
||F3J72AT#ABU, 943ASGK, HP, LCD Monitor, JR Linton||Yes|No|Yes|16:9|LED|HP|250 cd/m²|['Microphone', 'Port Replicator', 'USB Hub']|CB CE TUV-S EAC CUL FCC CSA NOM S-mark VCCI PSB ISC CCC BSMI C-Tick E-standby KC|Black||||5,000,000:1||51 mm|242.40 mm||Yes||||Security Lock|||['REACH', 'WEEE', 'TCO Certified Displays', 'China Energy Label (CEL)', 'CECP', 'TCO Certified Edge', 'ENERGY STAR']|Yes|Yes||Yes|329 mm|469.90 mm||178°|['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|F3J72AT#ABU||1920 x 1080||Yes|1|||60 W|Business S231d Widescreen LCD Monitor USB Cable DC Power Cable VGA Cable DisplayPort Cable DC Jack Dongle Cable and Rubber Ring Webcam Rubber Cover Printed Documentation and CD HP Display Assistant Software Additional Signal Cables|||In-plane Switching (IPS) Technology||||Business|S231d|Business S231d Widescreen LCD Monitor||LCD Monitor|||7 ms|Full HD|"58.4 cm (23"")"|Anti-glare|||No||2.20 W||360°|||-5°to30°|Yes|USB 3.0|178°|||Yes|Yes||6.12 kg|544 mm|544 mm
||B2888UHSU-B1, 3173124, Iiyama, LCD Monitor, JR Linton||Yes|Yes||16:9|LED|iiyama|300 cd/m²|USB Hub|CE TÜV-Bauart VCCI-B CU PSE ISO-9241-307:2008|Black|1.07 Billion Colors|||5,000,000:1|||230 mm||Yes|Yes|||['Eco Mode', 'OverDrive', 'i-Style-Color', 'Picture in Picture', 'Mobile High-Definition Link (MHL)', 'Flicker-free', 'Picture by Picture', 'Security Lock', 'Display Power Management Signaling (DPMS)']|||||Yes|Yes|Yes||542 mm||170°|['230 V AC', '120 V AC']|3 Year|iiyama North America, Inc|B2888UHSU-B1|130 mm|3840 x 2160|||1|2||34.50 W|ProLite B2888UHSU Widescreen LCD Monitor Power cable DVI (dual-link) cable DisplayPort cable Audio cable Stand 3 x Screws Quick start guide Safety guide|||Twisted Nematic Film (TN Film)|['Mac', 'PC']|||ProLite|B2888UHSU|ProLite B2888UHSU Widescreen LCD Monitor||LCD Monitor|||1 ms|QFHD|"71.1 cm (28"")"||||Yes|60 Hz|500 mW||90°|||0°to17°|Yes|USB 3.0|160°|Yes|100 x 100|Yes||7.70 kg|||663 mm
||AS17LED-W, VIGAS17LEDWHITE, Vigilant Vision, Ltd, LCD Monitor, JR Linton|||||4:3|LED|Vigilant|300 cd/m²|Speaker|CE FCC|White|16.7 Million Colours|||10,000:1||162 mm|||||||3D Comb Filter|||RoHS|Yes||Yes||378 mm|||170°|['220 V AC', '110 V AC']||Vigilant Vision, Ltd|AS17LED-W||1280 x 1024|['Wall Mountable', 'Desk Mountable', 'Rack-mountable']||1|2||15 W|"17"" LED Monitor Plastic White Case Power Supply Kettle Lead VGA Cable User Manual"||||PC||||AS17LED-(W)|"17"" LED Monitor Plastic White Case"||LCD Monitor|||5 ms|SXGA|"43.2 cm (17"")"||||Yes|75 Hz|||||||||160°|Yes|75 x 75|Yes||3.17 kg||379 mm|
||24MB35PM-B, 4065873, LG Electronics, LCD Monitor, JR Linton|||||16:9|LED|LG|250 cd/m²|Speaker||Black||||5,000,000:1||||||Yes|||||||||||||||||LG Electronics|24MB35PM-B||1920 x 1080|||1|||||||In-plane Switching (IPS) Technology|||||24MB35PM-B|24MB35PM-B Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"61 cm (24"")"||||Yes||||||||Yes|||Yes||Yes|||||
||PA248Q, ASUNOT615, ASUSTeK COMPUTER, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|Asus|300 cd/m²|USB Hub||Black|16.7 Million Colours|||80,000,000:1||235 mm|||Yes|Yes|||['Security Lock', 'Picture in Picture', 'Splendid Video Intelligence Technology']|||||Yes|Yes|Yes|416.3 mm|||178°|||ASUS Computer International|PA248Q||1920 x 1200|Wall Mountable||1|||75 W||||In-plane Switching (IPS) Technology|['Mac', 'PC']|||ProArt|PA248Q|ProArt PA248Q Widescreen LCD Monitor|PA|LCD Monitor|||6 ms|WUXGA|"61 cm (24"")"||||||1 W||||||Yes|USB 3.0|178°|Yes|100 x 100|Yes||||557.3 mm|
||LU28D590DS/EN, 886M834, Samsung, LCD Monitor, JR Linton||Yes||||LED|Samsung|370 cd/m²|||['Metal Silver', 'Matte Black']|1 Billion Colors|No|No|1,000:1||64.7 mm|169.40 mm||Yes|No|||['Picture by Picture', 'Magic Upscale', 'Picture in Picture', 'Eco Saving', 'Off Timer', 'MagicBright3', 'MagicAngle']|||ENERGY STAR|Yes||Yes|Yes|410 mm|486.30 mm||170°|['220 V AC', '110 V AC']|2 Year|Samsung|LU28D590DS/EN||3840 x 2160|||1|||32 W||||Twisted Nematic Film (TN Film)|['Mac', 'PC']||||U28D590D|U28D590D Widescreen LCD Monitor|590|LCD Monitor|||1 ms|QFHD|"71.1 cm (28"")"||||No|75 Hz|300 mW||||No||No||160°|||No||5.05 kg|5.65 kg|660.9 mm|660.90 mm
||XB2483HSU-B1, IIYXB2483HSUB, Iiyama, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|iiyama|250 cd/m²|['Speaker', 'USB Hub']|CE TÜV-GS VCCI-B PSE CU|Black|16.7 Million Colours|||3,000:1|||230 mm|||Yes|||Security Lock|||['ENERGY STAR', 'TCO Certified Displays 6.0']|Yes|Yes|Yes|Yes||516.50 mm||178°||3 Year|iiyama North America, Inc|XB2483HSU-B1||1920 x 1080|Wall Mountable||1|2||27 W|"High-end 24"" AMVA+ Monitor Featuring Height Adjustable Stand Power cable D-Sub signal cable DVI-D cable USB cable Audio cable Stand Stand-base Quick start guide Safety guide"|||Advanced-Multi-domain Vertical Alignment Plus (A-MVA+)|PC|||ProLite|XB2483HSU|"High-end 24"" AMVA+ Monitor Featuring Height Adjustable Stand"||LCD Monitor|||4 ms|Full HD|"61 cm (24"")"||||Yes|75 Hz|500 mW||||||Yes|USB 2.0|178°|Yes|100 x 100|Yes||5 kg|||565.50 mm
||LS24A350HS/EN, 2158916, Samsung, LCD Monitor, JR Linton||Yes|||16:9|LED|Samsung|250 cd/m²|||Rose Black|16.7 Million Colours|||1,000:1||59.2 mm|239.20 mm|||||||||||Yes|Yes||359.1 mm|438.70 mm||170°|||Samsung|LS24A350HS/EN||1920 x 1080|||1|||27 W|||||['PC', 'Mac']||||S24A350H|S24A350H Widescreen LCD Monitor|350|LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||||300 mW||||||||160°|||Yes||3.90 kg||578.6 mm|578.60 mm
||221B3LPCB/02, 2541424, Philips, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Philips|250 cd/m²|['USB Hub', 'Speaker']|CEBSMIFCC Class BGOSTSEMKOTUV/GSTUV ErgoUL/cUL|Black|16.7 Million Colours|||1,000:1||59 mm|227 mm|||Yes|||['SmartTouch', 'SmartImage', 'PowerSensor', 'Security Lock']|||['ENERGY STAR 5.0', 'EPEAT Gold', 'RoHS', 'TCO Certified Displays 5.1']|Yes|Yes||Yes|323 mm|480 mm||176°|['110 V AC', '220 V AC']||Philips Electronics|221B3LPCB/02||1920 x 1080|||1|2||17.80 W|||||['PC', 'Mac']|||Brilliance|221B3LPCB|LCD Monitor, LED Backlight with PowerSensor|B|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||Yes|60 Hz|100 mW||||||Yes|USB 2.0|170°|Yes|100 x 100|Yes||3.40 kg|5.30 kg|507 mm|507 mm
||DSM5WGF, VIGDSM5WGF, Vigilant Vision, Ltd, LCD Monitor, JR Linton|||||||Vigilant|300 cd/m²|Speaker|FCCCE||||Yes|300:1||28 mm||||||||||RoHS|Yes||||120 mm|||120°|['220 V AC', '110 V AC']||Vigilant Vision, Ltd|DSM5WGF||800 x 600|Wall Mountable||1|||10 W|||||||||DSM5WGF|DSM5WGF CCTV LCD Monitor||LCD Monitor|||20 ms|SVGA|"12.7 cm (5"")"||||Yes||||||||||100°|Yes|100 x 100|||800 g||150 mm|
Film-type Patterned Retarder (FPR)|3D|236G3DHSB/00, Philips, LCD Monitor, JR Linton||Yes|||16:9|LED|Philips|250 cd/m²||BSMICE MarkFCC Class BGOSTPSBSASOSEMKOTUV ErgoTUV/GSUL/cUL|Glossy Black|16.7 Million Colours|||1,000:1||54 mm|219 mm||||||['SmartImage', 'Security Lock']|||['EPEAT Silver', 'WEEE', 'ENERGY STAR 5.0', 'RoHS']|Yes||Yes||355 mm|426 mm||170°|['220 V AC', '110 V AC']|2 Year|Philips Electronics|236G3DHSB/00||1920 x 1080|||1||300 mW|23.85 W|||||['PC', 'Mac']||||236G3DHSB|3D LCD Monitor, LED Backlight with Easy 3D|G|LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|||||60 Hz|500 mW||||||||160°|||Yes||3.03 kg|3.26 kg|566 mm|566 mm
||9H.LA7LB.RBU, 3035116, BenQ, LCD Monitor, JR Linton||Yes|||16:9|LED|BenQ|250 cd/m²|Speaker||Glossy Black|16.7 Million Colours|||12,000,000:1||194 mm||||Yes|||['Senseye 3', 'Eco Mode', 'Security Lock', 'Advanced Motion Accelerator (AMA)', 'Reading Mode', 'Ultra Slim', 'Flicker-free']|||['ENERGY STAR 5.1', 'TCO Certified Displays 6.0']|Yes|Yes|Yes|Yes|434 mm|||170°|['220 V AC', '110 V AC']||BenQ Corporation|9H.LA7LB.RBU||1920 x 1080|Wall Mountable||1|2||23 W||||Twisted Nematic Film (TN Film)|PC||||GL2460HM|GL2460HM Widescreen LCD Monitor|GL|LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||Yes||300 mW|||||-5°to20°|||160°|Yes|100 x 100|Yes||4.30 kg||565 mm|
||B7M13AA#ABB, HP, LCD Monitor, JR Linton||Yes|||16:9|LED|HP|200 cd/m²|||Black||||600:1||47.5 mm|170.20 mm|||Yes|||Security Lock|||['EPEAT Silver', 'ENERGY STAR']|Yes|Yes|||281.5 mm|339.50 mm||90°|['110 V AC', '220 V AC']|1 Year|Hewlett-Packard|B7M13AA#ABB||1366 x 768|||1|||24 W|"W1972a 47 cm (18.5"") LED Backlit LCD MonitorVGA CableAudio CableAC Power Cord"||1||PC||||W1972a|"W1972a 47 cm (18.5"") LED Backlit LCD Monitor"||LCD Monitor|||5 ms|WXGA|"47 cm (18.5"")"|Anti-reflective|||||||||||||50°|||Yes|||2.70 kg|446.1 mm|446.10 mm
||T28LNUK, S602KC4, Lenovo, LCD Monitor, JR Linton||Yes||Yes||LED|Lenovo|250 cd/m²|['Microphone', 'USB Hub', 'Speaker']|TUV|Raven Black||||1,000:1||56.4 mm|||||||Security Lock|||['TCO Certified Edge Displays 1.1', 'ULE Gold', 'ENERGY STAR 6.0', 'EPEAT Gold']|Yes||||387.2 mm|||||3 Year|Lenovo Group Limited|T28LNUK||1920 x 1080|||1|2||||||Enhanced In-plane Switching (E-IPS) Technology|PC||Product Description Stock Price||LT2323z|"LT2323z Wide 23"" E-IPS Flat Panel Monitor"||LCD Monitor|||||"58.4 cm (23"")"||||Yes||||||||Yes|USB 3.0||||Yes|Yes|6.16 kg||545.3 mm|
||9H.LAWLA.TPE, BENQGW2320, BenQ, LCD Monitor, JR Linton||Yes|||16:9|LED|BenQ|250 cd/m²|||Black|16.7 Million Colours|||1,000:1||||||Yes|||['Security Lock', 'Eco Mode', 'Senseye 3']|||['TCO Certified Displays 6.0', 'ENERGY STAR 6.0']|Yes|||||||178°|||BenQ Corporation|9H.LAWLA.TPE||1920 x 1080|||1|||22 W||||In-plane Switching (IPS) Technology|PC||||GW2320|GW2320 Widescreen LCD Monitor|GW|LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"||||||300 mW||||||||178°|||Yes||4.40 kg|||
||CDX4650-L, B921374, ViewSonic, LCD Monitor, JR Linton|||||16:9|LED|Viewsonic|700 cd/m²|Speaker||||Yes|Yes|4,000:1||127 mm|330.20 mm|||Yes|||['Picture in Picture', 'Digital Signage Ready', 'Video Wall']||||||Yes||579.1 mm|622.30 mm||178°|||Viewsonic Corporation|CDX4650-L||1920 x 1080||Yes|1|2||220 W|||||||||CDX4650-L|"46"" Full HD LED Commercial Display"||LCD Monitor|||6.50 ms|Full HD|"116.8 cm (46"")"|Anti-glare|||Yes|||Yes|||||||178°|Yes|200 x 400|Yes||24.31 kg|25.99 kg|1023.6 mm|1023.62 mm
||60002820, 3967436, NEC Display Solutions, LCD Monitor, JR Linton||Yes|||16:9|LED|NEC Display|250 cd/m²||CEErPTUV ErgonomicsTUV GSGEEA/Energy LabelFCC Class BPCT/GostUL/C-UL or CSACCCISO 9241-307 (pixel failure class I)|Black|16.7 Million Colours|||1,000:1||71 mm|213.90 mm||Yes|Yes||||||['MPR III', 'MPR II']|Yes||||329 mm|380.10 mm||178°||3 Year|NEC Display Solutions|60002820||1600 x 900|||1|||25 W|MultiSync E201W Widescreen LCD MonitorPower CableUser ManualVGA CableDVI-D Cable|||||||MultiSync|E201W|MultiSync E201W Widescreen LCD Monitor||LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|||||60 Hz|340 mW||||||||178°|Yes|100 x 100|Yes||5.40 kg||550.1 mm|550.10 mm
||60003397, 3967995, NEC Display Solutions, LCD Monitor, JR Linton|||||16:9|LED|NEC Display|450 cd/m²|Speaker|CETÜV GSC-tickFCC Class BUL/C-ULCSAPSBVCCI|Black|||Yes|1,300:1||68.3 mm||Landscape/Portrait|Yes|Yes|||['Picture in Picture', 'Digital Daisy Chain', 'Eco Mode', 'Ambient Light Sensor', 'Digital Signage Ready', 'TileMatrix (10x10)', 'Screen Saver']|||RoHS|Yes|Yes|Yes||565.4 mm|||178°||3 Year|NEC Display Solutions|60003397||1920 x 1080|Wall Mountable|Yes|1|2|500 mW||"LCD 42"" Public DisplayDVI-D CablePower CableRemote Control"|||Super In-plane Switching (S-IPS) Technology|PC|||MultiSync|V423|"LCD 42"" Public Display"|V|LCD Monitor|||12 ms||"106.7 cm (42"")"||||Yes|60 Hz|1 W||||||||178°|Yes|300 x 300|Yes||16.80 kg||972.5 mm|
||K9307907, 2655424, Barco, LCD Monitor, JR Linton|||||16:9|LED|Barco|450 cd/m²||IEC60601 3rd Edition CE C-UL-US DEMKO IEC60601-1 UL60601-1 CAN/CSA C22.2 No. 60601-1-08 EMC Medical IEC60601-1-2 EN55011 /CISPR 11 FCC CFR47 part 15 & 18/Class B IP21 IPX5|White|||Yes|1,400:1||90 mm|||Yes|Yes|||['Splash Proof', 'Cable Management', 'Picture in Picture', 'Picture and Picture (PAP)']|||['RoHS 2', 'WEEE', 'REACH']|Yes||Yes||411 mm|||178°|['220 V AC', '110 V AC']|3 Year|Barco|K9307907||1920 x 1080|||1|||120 W|26-inch Full HD Surgical Display User Manual Mains Cables External Power Supply|||In-plane Switching (IPS-Pro) Technology|||||MDSC-2226|26-inch Full HD Surgical Display||LCD Monitor||||Full HD|"66 cm (26"")"|Anti-reflective|Yes|3G-SDI||||Yes|||||||178°|Yes|100 x 100|Yes||9.50 kg||633 mm|
||VX248H, 3169953, ASUSTeK COMPUTER, LCD Monitor, JR Linton||Yes|||16:9|LED|Asus|250 cd/m²||BSMI CB CCC CE C-Tick CU FCC UL/cUL VCCI WHQL|Black|16.7 Million Colours|||80,000,000:1|||210.10 mm|||Yes|||['QuickFit', 'GamePlus', 'Security Lock', 'VividPixel Technology', 'Splendid Video Intelligence Technology', 'Trace Free Technology']|||['WEEE', 'RoHS', 'ENERGY STAR 6.0', 'ErP', 'China Energy Label (CEL)']|Yes|Yes|Yes|Yes||338 mm||170°|['230 V AC', '120 V AC']|3 Year|ASUS Computer International|VX248H||1920 x 1080|||1|2|||VX248H Widescreen LCD Monitor VGA Cable Audio Cable Power Cord Power Adapter Quick Start Guide HDMI-to-DVI Cable HDMI Cable Warranty Card||||PC||||VX248H|VX248H Widescreen LCD Monitor|VX|LCD Monitor|||1 ms|Full HD|"61 cm (24"")"||||Yes|76 Hz||||||-5°to20°|||160°|||Yes||3.20 kg|||535.40 mm
||X-15W, AGX15W, AG Neovo, LCD Monitor, JR Linton||Yes|No||4:3||AG Neovo|320 cd/m²||TUV/BauartCBFCCCECCCGOST-R|White|16.7 Million Colours||Yes|3,000:1||155 mm||||Yes|||Security Lock|||['REACH', 'RoHS', 'WEEE']|Yes||||359 mm|||140°||3 Year|AG Neovo Technology Corporation|X-15W||1024 x 768|Wall Mountable||1||1 W|36 W|X-15 LCD MonitorQuick GuideCD ROMPower CordPower Adaptor15-Pin D-Sub Cable24-Pin DVI-D CableS-Video CableCVBS Cable||||PC||||X-15|X-15 LCD Monitor|X|LCD Monitor|||4 ms|XGA|"38.1 cm (15"")"||||No|75 Hz|2 W|Yes|||||||125°|Yes|100 x 100|Yes|No|4.80 kg||380 mm|
