<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altitudine di funzionamento|altitudine di nonfunzionamento|altoparlante  cuffia  spinotto di uscita|altoparlanti incorporati|altre caratteristiche|altre caratteristiche quantità 1 source datasheet|altre caratteristiche source datasheet|angolo di rotazione|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|angolo visuale|area di visualizzazione effettiva|blocco cavo|bluetooth|cable lock slot type|capacità totale hard disk|cavi inclusi|cavo alimentazione incluso|certificati di sicurezza|certificati di sicurezza certificazione energy star si|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del piede|colore del prodotto|colori del display|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|condizioni ambientali|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connessioni audio|consumi|consumi modalità attivo|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico max|consumo energia modalità economica|contenuto dellimballo cavi inclusi ac vga|controllo del volume|convenienza|dcin jack|design colore del prodotto nero|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni altoparlante centrale l x a x p|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni schermo|dimensioni schermo cm|display surface|dot pitch|dot rate video|famiglia processore|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|ingresso segnale|intel antitheft technology|intel hyperthreading technology|intel identity protection technology|intel my wifi technology|intel rapid start technology|intel small business advantage sba|intel smart connect technology|intel smart response technology|intel turbo boost technology|intel visual technologies|intel vpro technology|intel wireless display technology|interfaccia comune|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità schermo|lunghezza cavo|manuale dellutente|materiale riciclabile|materiali della confezione riciclabili|megapixel|megapixel totali|mhl specification|microfono incorporato|microfono spinotto dingresso|miglioramento dellimmagine|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mouse incluso|mtbf|networking connessione wlan n collegamento ethernet lan n|numero di altoparlanti|numero di core del processore|numero di lingue osd|numero di prodotti inclusi|on screen display osd|performance|peso|peso contenzione inclusa|peso incluso imballo|peso prodotto con supporto|peso schermo con supporto|pictureinpicture|pivot angle|plug  play|porta dvi|posizionamento supportato|potenza in uscita rms|processore|prodotto senza piedistallo kg|profondità|profondità con supporto|profondità imballo|quantità|quantità displayports|quantità porte dvid|quantità porte ethernet lan rj45|quantità porte hdmi|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|ram installata|range di scansione orizzontale|range di umidità di funzionamento|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regulatory approvals|retroilluminazione a led|risoluzione|risoluzione consigliata|risoluzione massima|risoluzioni grafiche supportate|rotazione|schermo srgb|segnale ingresso sincronizz video|sicurezza|sintonizzatore tv integrato|sistema operativo incluso|sistema operativo linux supportato|sistema operativo windows supportato|smartcontrast|smartresponse|source datasheet|specificazioni ambientali|subwoofer incorporato|supporto di memoria|supporto lingue|sync hv separato|syncongreen sog|tecnologia display|tecnologia touch|tempo di risposta|thin client|thin client installato|thin client thin client installato n|thin client thin client installato no|tipi schede di memoria|tipo di prodotto|tipo di ram|tipologia di retroilluminazione|tipologia display|tipologia hd|touch screen|umidità|umidità relativa|uscita audio|velocità processore|voltaggio di ingresso|webcam girevole|wifi
Philips Philips 226V4LAB V-line 54,6 cm  21,5   Monitor LCD con retroilluminazione a LED 226V4LAB 00 Planet Computer.it||||320 mm|388 mm|396 mm||||Si|||||170 °|160 °|||Kensington|||||||||Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N|||||Argento||||19.15 W||||0.5 W|||||||||476.64 mm|268.11 mm|||||54.6 cm|||0.248 x 0.248 mm|||16:9|N|50/60 Hz||||||||Si||-5 - 20 °||Si|||Si||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|514 mm|514 mm|567 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR|250 cd/m²|||||||||||||Si||30000 h||2||9||Si||3 kg||4.55 kg|3.34 kg||||Si|Si||4 W|||48 mm|213 mm|124 mm|||1|||||1||30 - 83 kHz||1000:1|10000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||Si|||N||||||.|||||Si|Si|||5 ms||N||||||W-LED|LED|Full HD|||20 - 80 %|||100 - 240 V||
Samsung Samsung S24C450M LS24C45KMSV EN Planet Computer.it|Si|||33,32 cm||18,8 cm||||Si|||"Thin Client
Thin client installato No"|-45 - 45°|170°|160°|||||||AC, VGA|||"Ergonomia
Montabile a parete Si
Regolazione altezza Si
Angolo di rotazione -45 - 45°
Inclinazione -3 - 25°
Rotazione Si
Indicatore (LED) alimentazione Si
LED Stand-by Si
Compatibile con montaggio VESA 100 x 100 mm
Girevole Si
Pivot angle -1 - 95°
Inclinazione regolabile Si"||Si|Non specificato||||Nero|16,77M||100 x 100 mm|No|||||||||30W||||0,1W|||||||"Connettività
Ingresso audio Si
Uscita audio Si
Porta DVI Si
Quantità porte VGA (D-Sub) 1
AC (power) in Si"||||||||"60,96 cm (24"")"|||0,27 x 0,27 mm|||16:9|No|50/60 Hz|||||Si|Si||||-3 - 25°|Si|Si||Si|||||||||||||||||||10 - 40 °C|56,54 cm|56,54 cm|63,9 cm|Si|||250 cd/m²|||||||||||||Si||||2||||||3,5 kg||6,6 kg|5,2 kg|||-1 - 95°||Si||2W|||5,67 cm|22,4 cm|40,7 cm||||||||1|||10 - 80%|1000:1|Contrasto Mega|Si|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si||||No|||||||||||||TN||5 ms||No|||||||LED|Full HD||||Si||100 - 240V||
Samsung Samsung S27C650D LS27C65UDS EN Planet Computer.it||||378.1 mm|532.8 mm|187 mm||||N||||-45 - 45 °|178 °|178 °||597.6 x 336.15 mm|N|N|||USB, VGA||||UL, CSA, TUV, NEMKO, KC, CCC, GB, GOST, IEC60950-1, SIQ, PCBC, NOM, SASO|Si|Non specificato|N|||Nero|16.77 M||100 x 100 mm|N|FCC, V-3, KCC, C-Tick, CCC||"Intervallo temperatura di funzionamento 0 - 40 °C
Range di umidità di funzionamento 10 - 80 %"||Oro||N|||||||||||||||597.6 mm|336.15 mm||722 x 461 x 187 mm|639 x 56.7 x 378.1 mm|639 x 224 x 532.8 mm|68.6 cm|||0.31125 x 0.31125 mm|||16:9|N|50/60 Hz||||Si|Si|Si||||-3 - 25 °|Si|Si|Si|N||||||||||||||||Si|||0 - 40 °C|639 mm|639 mm|722 mm|Si|||300 cd/m²|1.5 m|Si|||||||N||||Si|||||||1 pezzi|||4.5 kg||8.05 kg|6.2 kg||N|-1 - 95 °|Si||Orizzontale/Verticale||||56.7 mm|224 mm|461 mm||1|1|||1||1|||10 - 80 %|5000:1|Contrasto Mega|['130 mm', 'Si']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si||||N||||||.|||||||MVA||4 ms||N|"Altre caratteristiche
Source data-sheet .
Numero di prodotti inclusi 1 pezzi
Funzione risparmio Si
Posizionamento supportato Orizzontale/Verticale
Dimensioni (LxPxA) con base 639 x 224 x 532.8 mm
Dimensioni imballo (LxPxA) 722 x 461 x 187 mm
Area di visualizzazione effettiva 597.6 x 336.15 mm
Dimensioni (LxPxA) 639 x 56.7 x 378.1 mm"||||||LED|Full HD||||N||100 - 240 V||
Lg Electronics LG 23MP65HQ-P 23MP65HQ-P.AEU Planet Computer.it|||||||||||||||178°|178°||||||||||||||||||16,77M|||No||||||||||||||||||||||||||||"58,42 cm (23"")"|||0,24795 x 0,24795 mm|||16:9||||||||||Si|||||||||||||||||||||||56 - 75 Hz|||||||||250 cd/m²||||||||||||||||||||||||||||||||||||||||||||||||30 - 83 kHz|||5000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||IPS||5 ms|||||||||LED|Full HD||||||||
Philips Philips 244E5QHSD E-line 23.8  60.5 cm MHL LCD monitor with SmartImage lite 244E5QHSD 00 Planet Computer.it|||Esterna 100-240 V CA, 50/60 Hz||||||||||||||178º / 178º|527.04 x 296.46 mm|||||||||||||Black Cherry||||||||||||||Uscita audio HDMI||18.2 W||||||||blocco Kensington Montaggio VESA (100 x 100 mm) Accensione/spegnimento Menu 4:3 / panoramico Ingr. SmartImage Lite||||||557 x 338 x 45 mm|599 x 478 x 99 mm||557 x 428 x 213 mm|||||||||||||||||||||||||HDMI (digitale, HDCP) MHL-HDMI (digitale, HDCP) VGA (analogico)||||||||||||||||||||||||||||100 %|||1080p @ 30 Hz|||SmartImage Lite||||||||||||||5.34 kg (11.8 lbs)|||3.80 kg (8.38 lbs)||||||||3.44 kg (7.58 lbs)||||||||||||||||||BSMI marchio CE FCC Class B GOST SASO SEMKO TCO 6 TUV/ISO9241-307 cETLus WEEE|||1920 x 1080 a 60 Hz|||||Sincronizzazione separata Sync su verde||||||20.000.000:1|5 ms (grigio su grigio)|.|EnergyStar 6.0 EPEAT Silver RoHS Senza piombo Senza mercurio|||Portoghese brasiliano Cecoslovacco Olandese Italiano Finlandese Francese Tedesco Greco Ungherese Italiano Giapponese Coreano Polacco Portoghese Russo Cinese semplificato Spagnolo Svedese Cinese tradizionale Turco Ucraino|||||||||||||||||||||||
Philips Philips 221B3LPCB 02 LED display 221B3LPCB 02 Planet Computer.it||||323 mm|480 mm|361 mm|||1|Si|||||176 °|170 °|||Kensington||||||||BSMI, CE-Zeichen, FCC, GOST, SEMKO, TCO 5.1, TÜV/GS, TÜV Ergo, UL/cUL RoHS|Si|Non specificato|N|||Nero|16.77 M|N|100 x 100 mm||||"Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %"||Oro||N||17.8 W||||0.1 W|||||||||476.6 mm|268.1 mm|||||54.6 cm|||0.248 x 0.248 mm||||N|50/60 Hz||||||||Si|N|-5 - 20 °|Si|||Si|Si||||||||||||||N||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|507 mm|507 mm|568 mm||N|CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²|||||||||||||Si||30000 h||2||8||Si||3.4 kg||7.12 kg|5.3 kg||||Si|||3 W|||59 mm|227 mm|186 mm|||1|||2||1||30 - 83 kHz|20 - 80 %|1000:1|20000000:1|['110 mm', 'Si']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|Si|||N||||||.|||||Si|Si|||5 ms||N|"Connettività
Common interface Plus (CI+) N
Interfaccia comune N
Ingresso audio per PC Si
Quantità porte DVI-D 1
Quantità porte VGA (D-Sub) 1
Altoparlante / Cuffia / spinotto di uscita 1
Quantità porte USB 2.0 2
Uscita audio Si
Ingresso audio Si"||N|||W-LED|LED|Full HD||||Si||100 - 240 V|N|
Philips Philips 231P4QPYEB Display IPS Full HD P-line 58,4 cm  23   Monitor LCD|Si|||343 mm|515 mm|400 mm|||1|Si||||-65 - 65 °|178 °|178 °||509.18 x 286.41 mm|Kensington|N|||||||RoHS, BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE|Si|Non specificato|N|||Nero|16.77 M||100 x 100 mm|N|||||Oro|3.5 mm|N||29.1 W||18 W||0.3 W|||||||||509.18 mm|286.41 mm||600 x 400 x 263 mm|547 x 60 x 343 mm|547 x 515 x 220 mm|58.4 cm|||0.265 x 0.265 mm|||16:9|N|50/60 Hz|30 - 83 kHz|56 - 75 Hz||Si|Si|||Si||-5 - 20 °|Si|Si|Si||Si|||||||||||||||Si||-20 - 60 °C|0 - 40 °C|547 mm|547 mm|600 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²|||||||||||||Si||30000 h||2||8|1 pezzi|Si||3.09 kg||7.7 kg|5.23 kg||N|0 - 90 °|Si||Orizzontale/Verticale|3 W|||60 mm|220 mm|263 mm||1|1|||4||1||||1000:1|20000000:1|['130 mm', 'Si']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|Si|||N|||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64|||.||N|||Si|Si|IPS||14 ms|Thin client installato N|N||||||W-LED|LCD|Full HD|||20 - 80 %|||100 - 240 V||
Acer Acer G G246HYLbmjj UM.QG6EE.005 Planet Computer.it|||||||||||||||178 °|178 °||||||||||||||||||16.77 M|||N||||||||||||||||||||||||||||"604.5 mm (23.8 "")"||||||16:9||||||||||Si||||||||||||||||||||||||||||||||250 cd/m²|||||||||||Si||||||||||||||||||||||||||||||||||||||||100000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||IPS||6 ms|||||||||LED|Full HD||||||||
Philips Philips 247E4LHSB 247E4LHSB 00 Planet Computer.it||||348 mm|434 mm|505 mm|0 - 12192 m|||N|||"Dimensioni e peso
Profondità (con supporto) 193 mm
Altezza (con supporto) 434 mm
Larghezza (con supporto) 557 mm
Larghezza imballo 605 mm
Altezza imballo 505 mm
Profondità imballo 104 mm
Peso prodotto con supporto 3.44 kg
Profondità 39 mm
Larghezza 557 mm
Altezza 348 mm
Peso incluso imballo 5.6 kg
Peso 3.16 kg"||178 °|170 °|||Kensington||||AC||||RoHS, BSMI, CE Mark, FCC B, GOST, PSB, SASO, SEMKO, TCO 6.0, TUV/ ISO9241-307, UL/cUL, WEEE|Si||N|||Nero|16.77 M|||N|||||Argento||N||17.2 W|||0.3 W|0.5 W|||||||"Condizioni ambientali
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %
Altitudine di funzionamento 0 - 12192 m"||521.28 mm|293.22 mm|||||59.9 cm|||0.272 x 0.272 mm|||16:9|N|50/60 Hz||||||Si||||-5 - 20 °|Si|Si|Si||||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|557 mm|557 mm|605 mm|Si|||250 cd/m²||Si|||||||||||||30000 h|"Gestione energetica
Frequenza di ingresso 50/60 Hz
Consumi (modalità stand-by) 0.5 W
Consumi (modalità spento) 0.3 W
Voltaggio di ingresso 100 - 240 V
Consumi 17.2 W"|||||Si||3.16 kg||5.6 kg|3.44 kg||||Si|N|||||39 mm|193 mm|104 mm|||||2|||1||30 - 83 kHz|20 - 80 %|1000:1|20000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||||N||Si|Si|||.|||||Si|Si|||5 ms||N||||||W-LED|LED|Full HD||||Si||100 - 240 V||
Samsung Samsung S19C450MR LS19C45KMRV EN Planet Computer.it||||336 mm||187 mm||||Si||||-45 - 45 °|170 °|160 °||||||||||||Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N|||||Oro||||19 W||||0.1 W|||||||"Connettività
Ingresso audio Si
Uscita audio Si
Porta DVI Si
Quantità porte VGA (D-Sub) 1"||||||||"482.6 mm (19 "")"|||0.294 x 0.294 mm|||5:4|N|50/60 Hz|||||Si|||N||-3 - 25 °|Si|||Si|||||||||||||||||||10 - 40 °C|407 mm|407 mm|525 mm||||250 cd/m²|||||||||||||Si||||2||||||2.95 kg||6 kg|4.45 kg|||||Si||2 W|||55 mm|210 mm|447 mm||||||||1|||10 - 80 %|1000:1|Contrasto Mega|['Si', '100 mm']|||1280 x 1024 Pixels||||||||N||||||.|||||||||5 ms|||||||||LED|||||Si||100 - 240 V||
Hp Hewlett Packard HP Z22i D7Q14AT ABB Planet Computer.it|Si|||309 mm|460 mm|||||N|||"Connettività
Quantità DisplayPorts 1
AC (power) in Si
Quantità porte DVI-D 1
Quantità porte VGA (D-Sub) 1
Porta DVI Si
Quantità porte USB 2.0 3"|0 - 360 °|178 °|178 °|||Si||||AC, DisplayPort, USB, VGA|||||Si|Non specificato|N|||Nero|16.77 M|||N|||||||N||26 W||||0.5 W|31 W||||||||||||||54.6 cm||Matt|0.248 x 0.248 mm|||16:9|N|50/60 Hz|||||Si|Si||Si||-5 - 30 °|Si|Si|Si|||||||||||||||||Si|||5 - 35 °C|509 mm|509 mm||Si|||250 cd/m²||Si||||||||||1080p||||"Design
Colore del prodotto Nero"|||||Si||5.82 kg|||||||Si|Si|||||51 mm|237 mm|||1|1|||3||1|||20 - 80 %|1000:1|5000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||||N||Si|Si|||.|||||||IPS||8 ms||N|||||||LED|Full HD||||||90 - 264 V||
Philips Philips 223V5LSB2 223V5LSB2 10 Planet Computer.it||||316 mm|376 mm|414 mm|0 - 3658 m|0 - 12192 m||N|||"Dimensioni e peso
Profondità (con supporto) 213 mm
Altezza (con supporto) 376 mm
Larghezza (con supporto) 503 mm
Larghezza imballo 555 mm
Altezza imballo 414 mm
Profondità imballo 107 mm
Peso prodotto con supporto 2.61 kg
Profondità 50 mm
Larghezza 503 mm
Altezza 316 mm
Peso incluso imballo 3.87 kg
Peso 2.35 kg"||90 °|65 °|||Kensington|N|||||"Certificazione Energy Star Si
Conforme agli standard BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TUV/ISO9241-307, cETLus, WEEE
Certificazione RoHS
Conformità EPEAT Argento"||RoHS|Si||N||Nero|Nero|16.77 M||100 x 100 mm|N||Si||BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TUV/ISO9241-307, cETLus, WEEE|Argento||N||15.61 W|||0.5 W|0.5 W|||||||||476.64 mm|268.11 mm|||||54.6 cm|||0.248 x 0.248 mm|||16:9|N|50/60 Hz||||||||||-5 - 20 °|Si|Si|Si|||||||||||||||||Si|56 - 76 Hz|-20 - 60 °C|0 - 40 °C|503 mm|503 mm|555 mm|Si||CHI (SIMPL), CZE, DEU, DUT, ENG, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, TUR, UKR|200 cd/m²|||||||||||||Si||30000 h||||18||Si||2.35 kg||3.87 kg|2.61 kg||||Si|N|||||50 mm|213 mm|107 mm||||||||1||30 - 83 kHz||600:1|10000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||Si|||N|||Si|||.|||||Si|Si|TFT/S-PVA||5 ms||N||||||W-LED|LED|Full HD|||20 - 80 %|||100 - 240 V||
Philips Philips 273P3LPHES P-line 68,6 cm  27   Monitor LCD, retroilluminazione a LED 273P3LPHES 00 Planet Computer.it|Si|||391 mm|528 mm|446 mm||||Si||||-65 - 65 °|178 °|170 °|||Kensington||||||||"BSMI, CE Mark, FCC ""B"", GOST, PSB, SASO, SEMKO, TUV Ergo, TUV/GS, TCO, UL/cUL, WEEE"|Si|||||Argento|16.77 M||100 x 100 mm|N||Mac OS X 10.0 Cheetah, Mac OS X 10.1 Puma, Mac OS X 10.2 Jaguar, Mac OS X 10.3 Panther, Mac OS X 10.4 Tiger, Mac OS X 10.5 Leopard, Mac OS X 10.6 Snow Leopard, Mac OS X 10.7 Lion|"Umidità relativa 20 - 80 %
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C"||Oro||||20.4 W||16.7 W|0.3 W|0.5 W||||||||686 mm|597.6 mm|336.2 mm|||||"685.8 mm (27 "")"|||0.311 x 0.311 mm|||16:9||50/60 Hz|30 - 83 kHz|56 - 75 Hz||Si||||||-5 - 20 °||||Si||||||||||||||||Si||-20 - 60 °C|0 - 40 °C|642 mm|642 mm|750 mm|||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|300 cd/m²|||||||||||||Si||30000 h||2||8|1 pezzi|Si||6.38 kg||1.157 kg|8.74 kg|||0 - 90 °|Si||Orizzontale||||65 mm|244 mm|300 mm|||1|||3||1||||1200:1|20000000:1|['110 mm', 'Si']|||1920 x 1080 Pixels||||Si|Si||||||Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64|||.|||||Si|Si|||3.5 ms||||||||W-LED|LCD|Full HD|||20 - 80 %|Si||100 - 240 V||
Lg Electronics LG 22MP65HQ-P monitor piatto per PC 22MP65HQ-P.AEU Planet Computer.it||Si||32,6 cm|42,6 cm|39,4 cm|||1|No|||||178°|178°|||Si||||AC||||||Non specificato||||Nero|16,77M||75 x 75 mm|No|||||Oro|3.5 mm|||20W|||0,3W|0,3W||||||Si|||||||||"54,61 cm (21.5"")"||Matt|0,24795 x 0,24795 mm|||16:9|No|50/60 Hz||||||||Si||5 - 20°|Si|Si||||||||||||||||||Si|56 - 75 Hz|||53,3 cm|53,3 cm|60,1 cm|Si|||250 cd/m²||||||||||||1080p|Si||||||||Si||2,6 kg|||3 kg||||Si|No|||||6,8 cm|18,8 cm|12,5 cm|||||1|||1||30 - 83 kHz|||5000000:1|No|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||||No|||||||||||||IPS||5 ms||No||"Certificati di sicurezza
Conformità EPEAT Oro"|||||LED|Full HD||||||100 - 240V||
Philips Philips 243V5LSB 243V5LSB 00 Planet Computer.it||||344 mm|420 mm|415 mm|||||||||170 °|160 °||521.28 x 293.22 mm|Kensington||||||||RoHS, Lead-free, Mercury Free|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|||||BSMI, CE Mark, cETLus, FCC Class B, GOST, PSB, SASO, SEMKO, TCO certified, TUV/ISO9241-307, WEEE|Argento||||16.7 W|||0.5 W|0.5 W|||||||||521.28 mm|293.22 mm|||||60 cm|||0.272 x 0.272 mm|||16:9||50/60 Hz|||||||||||Si||Operation, Stand-by|||||||||||||||||Si|56 - 75 Hz|-20 - 60 °C|0 - 40 °C|551 mm|551 mm|600 mm|||CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR|250 cd/m²|||||||||||||Si||30.000 h||||||Si||3.22 kg||5 kg|3.66 kg||||Si|Si|||||52 mm|220 mm|118 mm|1||1|||||1||30 - 83 kHz|20 - 80 %|1000:1|10000000:1||||1920 x 1080 Pixels|||||Si|||||||||.|||||Si|Si|LCD/TFT||5 ms||||||||W-LED|LED|Full HD||||||100 - 240 V||
Philips Philips 220P4LPYES 220P4LPYES 00 Planet Computer.it||||349 mm|517 mm|395 mm|0 - 3658 m||1|Si||||-65 - 65 °|170 °|160 °||473.76 x 296.1 mm|Kensington||||||||RoHS, BSMI, CE, FCC B, GOST, SASO, SEMKO, TUV Ergo, TUV/GS, TCO 5.2, UL/cUL, WEEE|Si|Non specificato|||||16.77 M||100 x 100 mm|N||Si|"Umidità relativa 20 - 80 %
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Altitudine di funzionamento 0 - 3658 m"||Oro||||16.8 W||12.6 W||0.3 W|||||||||||||||55.9 cm|||0.282 x 0.282 mm|||16:10|N|50/60 Hz|||||Si|||Si||-5 - 20 °|Si|Si|Si||Si||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|504 mm|504 mm|565 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²|||||||||||||Si||30000 h||2||||Si||3.38 kg||7.5 kg|5.5 kg|||0 - 90 °|Si|||3 W|||59 mm|220 mm|263 mm||1|1|||4||1||30 - 83 kHz||1000:1|20000000:1|['Si', '130 mm']|||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)|Si|Si|||N|||Si|||.|||||Si|Si|||5 ms||N||||||W-LED|LCD|N|||20 - 80 %|||100 - 240 V||
Hp Hewlett Packard HP Z22i D7Q14A4 ABB Planet Computer.it|Si|||309 mm|460 mm|||||N|||"Connettività
Quantità DisplayPorts 1
AC (power) in Si
Quantità porte DVI-D 1
Quantità porte VGA (D-Sub) 1
Porta DVI Si
Quantità porte USB 2.0 3"|0 - 360 °|178 °|178 °|||Si||||AC, DisplayPort, USB, VGA|||||Si|Non specificato|N|||Nero|16.77 M|||N|||||||N||26 W||||0.5 W|31 W||||||||||||||54.6 cm||Matt|0.248 x 0.248 mm|||16:9|N|50/60 Hz|||||Si|Si||Si||-5 - 30 °|Si|Si|Si|||||||||||||||||Si|||5 - 35 °C|509 mm|509 mm||Si|||250 cd/m²||Si||||||||||1080p||||"Design
Colore del prodotto Nero"|||||Si||5.82 kg|||||||Si|Si|||||51 mm|237 mm|||1|1|||3||1|||20 - 80 %|1000:1|5000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||||N||Si|Si|||.|||||||IPS||8 ms||N|||||||LED|Full HD||||||90 - 264 V||
Asus ASUS VS197DE 90LMF1001T02201C- Planet Computer.it|Si||||346 mm|421 mm||||N|||"Thin Client
Thin client installato N"||90 °|50 °|||Kensington||||||||BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSB, RoHS, UL/cUL, VCCI, WEEE, WHQL|Si|Non specificato||||Nero|16.77 M||75 x 75 mm|N|||||||||17 W||0.5 W|0.5 W||||||||||||||||47 cm|||0.3 x 0.3 mm|||16:9|N|||||||||N||-5 - 20 °|Si||||||||||||||||||||55 - 75 Hz||||447 mm|495 mm||||200 cd/m²|||||||||||||Si||||||||Si||||3.9 kg|2.6 kg|||||||||||185 mm|114 mm||||||||1||30 - 80 kHz|||50000000:1|N|||1366 x 768 Pixels|||1366 x 768|||||N||||||.|||||||||5 ms||N|||||||LED|||||||||
Hp Hewlett Packard HP W1972a B7M13AT ABB Planet Computer.it|Si|||28,15 cm|33,95 cm|||||No|||||90°|50°|||Kensington|No|||||||CB, CE, TUV-GS, ISO9241-307, UL/CAS, FCC, EPA, GOST, NOM, TUV-S, VCCI, KC/KCC, PSB, ISC, CCC, BSMI, C-TICK, CCC, CECP, S EPA, CEL 1|Si|Non specificato|No|||Nero|16,77M|||No|||||Argento||||18W|||||24W||||||||||||||"46,99 cm (18.5"")"|47 cm|Matt||||16:9|No|47-63 Hz||||||Si||||-5 - 19°|Si|Si|Si|||||||||||||||||Si|||5 - 35 °C|44,61 cm|44,61 cm||Si|||200 cd/m²||Si|||||||||||||||||||Si||2,7 kg|||||||Si|Si|||||4,75 cm|17 cm||||1|||||1|||20 - 80%|600:1|300000:1||||1366 x 768 Pixels|||1366 х 768|||||No||Si|Si||||||||||||5 ms||No||"Performance
Sistema operativo Windows supportato Si
Sistema operativo Linux supportato Si"|||||LED|HD-ready||||||100 - 240V||No
