3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|color|color supported|compatibility|component video|composite video|contrast ratio|country of origin|depth|depth with stand|digital zoom|display orientation|displayport|dvi|features|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|image sensor|input voltage|interfacesports|limited warranty|manufacturer|manufacturer part number|manufacturer website address|maximum adjustable height|maximum resolution|mount type|multitouch screen|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|resolution|response time|screen mode|screen size|screen surface|serial port|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|tilt angle|touchscreen|touchscreen type|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|"Hp Business P231 23"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Full Hd - Dvi - Vga - 31 W - Black - China Energy Label (cel), Epeat Gold, Energy Star, Tco Certified Edge, It Eco Declaration, Rohs, Weee, Eu Weee, Reach, Cecp - (E4S07A8#ABA) - SoftwareCity.ca - Canada"||Yes|No||16:9|LED|HP|250 cd/mÂ²||CE CB KC KCC NOM PSB ICE TUV-S RCM CCC ISC VCCI FCC BMSI SmartWay Transport Partnership (NA) Microsoft WHQL Certification|Black|16.7 Million Colors||||1,000:1|China|"2"" (51.1 mm)"|"6.5"" (165.6 mm)"||Landscape||Yes|Security Lock, Multiview||China Energy Label (CEL), EPEAT Gold, ENERGY STAR, TCO Certified Edge, IT Eco Declaration, RoHS, WEEE, EU WEEE, REACH, CECP|Yes|Yes|||"13"" (328.9 mm)"|"15.6"" (395 mm)"|94 kHz|170Â°||110 V AC, 220 V AC||3 Year|Hewlett-Packard|E4S07A8#ABA|http://www.hp.com/ca||1920 x 1080|Desk Mountable, Wall Mountable, Arm-mountable|||1|||31 W||||Twisted Nematic Film (TN Film)|PC|14.8%|Business|P231|ProDisplay P231 23-inch LED Backlit Monitor (ENERGY STAR) (E4S07A8)|Essential|LCD Monitor|Yes|Plastic||5 ms|Full HD|"23"""|Anti-glare|||60 Hz|500 mW||||||||160Â°|Yes|100 x 100|Yes||3.25 kg||"21.4"" (544.1 mm)"|"21.4"" (544.1 mm)"
|"3m Microtouch 17"" Lcd Touchscreen Monitor - 25 Ms - Capacitive - 1280 X 1024 - 16.7 Million Colors (24-bit) - 215 Cd/mÂ² - Usb - Vga - 3 Year - (11-4945-225-00) - SoftwareCity.ca - Canada"|||||||3M|215 cd/mÂ²||||16.7 Million Colors (24-bit)||||350:1||"1.9"" (49 mm)"|||||||||||||"13.2"" (334.8 mm)"|||||12 V DC||3 Year|3M|11-4945-225-00|http://www.3m.com||1280 x 1024||||||||||||||MicroTouch||MicroTouch CT Touch Screen Monitor||LCD Touchscreen Monitor||||25 ms|SXGA|"17"""|||||||||Yes|Capacitive|Yes|||||Yes||4.60 kg||"16"" (405.9 mm)"|
|"Panasonic Professional Th-42lf5u 42"" Lcd Monitor - 16:9 - 9 Ms - 1920 X 1080 - 500 Nit - 1200:1 - Full Hd - Dvi - Hdmi - Vga - 260 W - Black - Energy Star 5.1 - (TH42LF5U) - SoftwareCity.ca - Canada"|||||16:9||Panasonic|500 cd/mÂ²||UL60065CAN/CSA-22.2 No60065:03FCC Part 15 Class-BICES-003|Black|||||1200:1||"4.6"" (116.8 mm)"|||Landscape/Portrait||Yes|Video Wall, Screen Saver, Eco Mode, Button Lock||ENERGY STAR 5.1|Yes|Yes|Yes||"22.1"" (561.3 mm)"|||178Â°||110 V AC||1 Year|Panasonic|TH42LF5U|http://www.panasonic.com||1920 x 1080||||1||300 mW|260 W|42-inch Class Full HD LCD Display TH-42LF5UAC CordOperating Instructions BookletCD-ROMRemote ControlBatteries|||In-plane Switching (IPS) Technology|||Professional|TH-42LF5U|42-inch Class Full HD LCD Display TH-42LF5U|LF5|LCD Monitor||||9 ms|Full HD|"42"""||||60 Hz|500 mW||||||||178Â°|Yes|400 x 400|Yes||20 kg||"38.2"" (970.3 mm)"|
|"Planar Pjt195rw 19"" Lcd Touchscreen Monitor - 16:10 - 5 Ms - 5-wire Resistive - 1440 X 900 - Adjustable Display Angle - 16.7 Million Colors - 1,000:1 - 250 Cd/mÂ² - Speakers - Usb - Vga - Rohs - 1 Year - (997-6378-00) - SoftwareCity.ca - Canada"||Yes|||16:10||Planar|250 cd/mÂ²|Speaker|UL/cUL FCC-B CB||16.7 Million Colors||||1,000:1||"2.4"" (61 mm)"|"7.8"" (198.1 mm)"|||||||RoHS|Yes||||"11.8"" (299.7 mm)"|"13.7"" (348 mm)"||160Â°||110 V AC, 220 V AC||1 Year|Planar Systems, Inc|997-6378-00|http://www.planar.com||1440 x 900|Desk Mountable||||||42 W|"19"" Touch Screen Monitor Power Cord VGA Cable USB Cable (A to B) Audio-in Cable User's Guide"||||PC|||PJT195RW|"19"" Touch Screen Monitor"||LCD Touchscreen Monitor||||5 ms|WXGA+|"19"""|||Yes|75 Hz|||||Yes|5-wire Resistive|Yes||160Â°|Yes|100 x 100|Yes||5.99 kg||"17.3"" (439.4 mm)"|"17.3"" (439.4 mm)"
|"Hp Business Z30i 30"" Led Lcd Monitor - 16:10 - 8 Ms - Adjustable Display Angle - 2560 X 1600 - 350 Cd/mÂ² - 1,000:1 - Wqxga - Dvi - Hdmi - Vga - Displayport - Usb - 125 W - Black - Energy Star, Epeat Gold, Tco Certified Edge - (D7P94A4#ABA) - SoftwareCity.ca - Canada"||||||LED||350 cd/mÂ²||||||||1,000:1||"2.6"" (66.3 mm)"|"10.5"" (266.4 mm)"|||||||TCO Certified Edge|||||"17.7"" (449.8 mm)"|"23.7"" (601 mm)"||||||||D7P94A4#ABA|||2560 x 1600||||||||Business Performance Z30i Widescreen LCD Monitor AC Power Cord USB Cable DisplayPort Cable DVI-D Cable Documentation CD HP Display Assistant Software||||||Business|Z30i|Business Performance Z30i Widescreen LCD Monitor|Performance||||||WQXGA||||||||||||||||||||9.96 kg|"27.2"" (690.3 mm)"|"27.2"" (690.3 mm)"
|"3m Microtouch M1700ss 17"" Lcd Touchscreen Monitor - 9 Ms - Capacitive - 1280 X 1024 - 16.2 Million Colors - 800:1 - 300 Cd/mÂ² - Dvi - Vga - Black - 3 Year - (11-91378-227) - SoftwareCity.ca - Canada"|||||||3M|300 cd/mÂ²|||Black|16.2 Million Colors||||800:1||"9.7"" (247 mm)"|||||Yes|||RoHS|Yes||||"16.3"" (413.3 mm)"|||160Â°||12 V DC||3 Year|3M|11-91378-227|http://www.3m.com||1280 x 1024|Wall Mountable|||||||MicroTouch M1700SS Touchscreen LCD MonitorVideo CableTouch CablePower Supply||||||MicroTouch|M1700SS|MicroTouch M1700SS Touchscreen LCD Monitor||LCD Touchscreen Monitor||||9 ms|SXGA|"17"""|||||||||Yes|Capacitive|||160Â°|||Yes||8.60 kg||"15.9"" (405 mm)"|
|"Hp Business V241 23.6"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Full Hd - Dvi - Vga - 30 W - Black - It Eco Declaration, Rohs, Energy Star, Epeat Silver, Tco Certified Displays, Weee, Eu Weee, Reach - (E5Z68A8#ABA) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|HP|250 cd/mÂ²||CB FCC ICES TUV TUV-GS ETL S-mark|Black|16.7 Million Colors||||1,000:1|China|"1.9"" (47 mm)"|"8"" (204.2 mm)"||Landscape||Yes|Security Lock, Ultra Slim||IT Eco Declaration, RoHS, ENERGY STAR, EPEAT Silver, TCO Certified Displays, WEEE, EU WEEE, REACH|Yes|Yes|||"13.7"" (348 mm)"|"16.3"" (412.8 mm)"||170Â°||110 V AC, 220 V AC||3 Year|Hewlett-Packard|E5Z68A8#ABA|http://www.hp.com/ca||1920 x 1080|Desk Mountable, Wall Mountable, Arm-mountable|||1|||30 W|V241 23.6-inch LED Backlit Monitor (ENERGY STAR) (E5Z68A8) VGA Cable AC Power Cord Printed Documentation and CD|||Twisted Nematic Film (TN Film)||0%|Business|V241|V241 23.6-inch LED Backlit Monitor (ENERGY STAR) (E5Z68A8)|Value|LCD Monitor|Yes|Plastic||5 ms|Full HD|"23.6"""|Anti-glare|||60 Hz|500 mW|||-5Â°to20Â°|||||160Â°|Yes|100 x 100|Yes||3.72 kg||"22.2"" (563.6 mm)"|"22.2"" (563.6 mm)"
|"Panasonic Panaboard Ub-t880 Interactive Whiteboard - 83"" - (UBT880WC) - SoftwareCity.ca - Canada"|Capacitance Touch Sensor||||||Panasonic|||||||||||"4.6"" (116.8 mm)"|||||||||||||"52"" (1320 mm)"||||||1 x 4-pin Type B - USB 2.0, 1 x 4-pin Type A - USB 2.0||Panasonic|UBT880WC|http://www.panasonic.com||||||||||Panaboard UB-T880 Interactive WhiteboardPower Cord (10 ft)Electronic PenBattery (LR03 AAA Alkaline)USB Cable (16 ft)Replacement Pen PointWall Mounting KitOperating Instructions||||||Panaboard|UB-T880|Panaboard UB-T880 Interactive Whiteboard||Interactive Whiteboard||||||"83"""||||||||||||||||||36.02 kg||"65.2"" (1657.1 mm)"|
|"Acer B193wl 19"" Led Lcd Monitor - 16:10 - 5 Ms - Adjustable Display Angle - 250 Nit - 100,000,000:1 - Speakers - Dvi - Vga - Black - Tco '05, Epeat Silver, Energy Star - (UM.CB3AA.B02) - SoftwareCity.ca - Canada"||Yes|||16:10|LED|Acer|250 cd/mÂ²|||Black|||||100,000,000:1|||||||Yes|||TCO '05, EPEAT Silver, ENERGY STAR|Yes||||||||||||Acer, Inc|UM.CB3AA.B02|http://www.acer.ca||1440 x 900||||1|||13.50 W|B193WL Widescreen LCD Monitor1 x VGA Cable1 x DVI CablePower Cord|||Twisted Nematic Film (TN Film)||||B193WL|B193WL Widescreen LCD Monitor|B|LCD Monitor||||5 ms|WXGA+|"19"""|Anti-glare||Yes|||||||||||||Yes|||||
|"Hp Pavilion 25xi 25"" Led Lcd Monitor - 16:9 - 7 Ms - Adjustable Display Angle - 1920 X 1080 - 250 Cd/mÂ² - 10,000,000:1 - Full Hd - Dvi - Hdmi - Vga - 30 W - Iridium Silver, Jack Black - Erp, China Energy Label (cel), Cecp, Reach - (C3Z97AA#ABA) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|HP|250 cd/mÂ²||CB CE FCC ES 5.2 CSA C-UL C-ETL UL ETL-NRTL ICES S-Mark VCC CCC BSMI Bauart ISO9241-307 GOST 25861 HRN N N0.201 GOST R 50377-1992 EEI Certificate IS 1121 SASO SABS IEC 60950-1 NOM-019-SCFI-1998 KC Mark KCC Mark PSB mark ISC mark C-Tick|Iridium Silver, Jack Black|||||10,000,000:1||"7.6"" (192 mm)"|||||Yes|Noise Reduction, BrightView Technology, Security Lock||ErP, China Energy Label (CEL), CECP, REACH|Yes|Yes|Yes||"16.9"" (429 mm)"||94 kHz|178Â°||||1 Year|Hewlett-Packard|C3Z97AA#ABA|http://www.hp.com/ca||1920 x 1080||||1|||30 W||||In-plane Switching (IPS) Technology|PC||Pavilion|25xi|Pavilion 25xi Widescreen LCD Monitor||LCD Monitor||||7 ms|Full HD|"25"""||||76 Hz|500 mW||||||||178Â°|||Yes||4.40 kg||"22.8"" (578 mm)"|
|"Aoc E2752vh 27"" Led Monitor - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 300 Nit - 20,000,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - 40 W - Black - Energy Star - (e2752Vh) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|AOC|300 cd/mÂ²|Speaker||Black|16.7 Million Colors||||20,000,000:1|||"8.3"" (210 mm)"||||Yes|Off Timer||ENERGY STAR|Yes|Yes|Yes|||"17.8"" (452 mm)"||170Â°||||1 Year|AOC|E2752VH|http://us.aoc.com||1920 x 1080|Wall Mountable|||1|2||40 W|||||PC||ENTERTAINING|e2752Vh|e2752Vh 27 Inch LED Monitor|52|LCD Monitor||||5 ms|Full HD|"27"""|||Yes||600 mW||||||||160Â°|Yes|100 x 100|Yes||5.29 kg|||"25.4"" (645.7 mm)"
|"Lg 24mp76hm-s 23.8"" Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.77 Million Colors - 250 Cd/mÂ² - 1,000,000:1 - Full Hd - Speakers - Hdmi - Vga - 21 W - (24MP76HM-S) - SoftwareCity.ca - Canada"||Yes|||16:9||LG|250 cd/mÂ²|Speaker|||16.77 Million Colors||||1,000,000:1||"3"" (75 mm)"|"7.1"" (181 mm)"|||||Super Energy Saving, Flicker-free, Dual-screen Display|||||Yes|Yes|"12.7"" (322 mm)"|"16.9"" (429 mm)"||178Â°|||||LG Electronics|24MP76HM-S|http://www.lg.com/ca||1920 x 1080||||1|2|300 mW|21 W||||Advanced High Performance In-plane Switching (AH-IPS) Technology||||24MP76HM-S|24MP76HM-S Widescreen LCD Monitor||LCD Monitor||||5 ms|Full HD|"23.8"""|Anti-glare||Yes||300 mW|||5Â°to20Â°|||||178Â°|Yes|75 x 75|Yes||3.35 kg|4.30 kg|"21.3"" (540 mm)"|"21.3"" (540 mm)"
|"Hp Pavilion 23xi 23"" Led Lcd Monitor - 16:9 - 7 Ms - Adjustable Display Angle - 1920 X 1080 - 250 Cd/mÂ² - 10,000,000:1 - Full Hd - Dvi - Hdmi - Vga - Erp, Cecp, Reach - (C3Z94AA#ABA) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|HP|250 cd/mÂ²||||||||10,000,000:1||"6.7"" (171 mm)"|||||Yes|Security Lock||ErP, CECP, REACH|Yes|Yes|Yes||"15.9"" (404 mm)"||94 kHz|178Â°||||1 Year|Hewlett-Packard|C3Z94AA#ABA|http://www.hp.com/ca||1920 x 1080||||1|||||||In-plane Switching (IPS) Technology|PC||Pavilion|23xi|"Pavilion 23xi 58.4 cm (23"") Diagonal IPS LED Backlit Monitor"||LCD Monitor||||7 ms|Full HD|"23"""|Anti-glare|||60 Hz|||||||||178Â°|||Yes||3.50 kg||"20.9"" (532 mm)"|
|"Nec Display Multisync E223w-bk 22"" Led Lcd Monitor - 16:10 - 5 Ms - Adjustable Display Angle - 1680 X 1050 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Wsxga+ - Dvi - Vga - Displayport - 24 W - Black - Energy Star 6.0, Tco Certified Displays 6.0, Epeat Silver, Rohs - (E223W-BK) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:10|LED|NEC Display|250 cd/mÂ²||ISO 13406-2 Class II|Black|16.7 Million Colors||||1,000:1||"2.4"" (61 mm)"|"8.4"" (213.4 mm)"|||Yes|Yes|Touch Controls, Intelligent Power Manager (IPM) System, Off Timer, Eco Mode, Carbon Footprint Meter, Cable Management, AccuColor||ENERGY STAR 6.0, TCO Certified Displays 6.0, EPEAT Silver, RoHS|Yes|Yes|No||"13"" (330.2 mm)"|"19.4"" (492.8 mm)"|82.30 kHz|178Â°||||3 Year|NEC Display Solutions|E223W-BK|http://www.necdisplay.com||1680 x 1050||||1|||24 W|"22"" LED Backlit Widescreen Desktop Monitor Setup Sheet User Manual Power Cord 15-Pin D-Sub Cable DVI Cable"|||Twisted Nematic Film (TN Film)|||MultiSync|E223W-BK|"22"" LED Backlit Widescreen Desktop Monitor"||LCD Monitor||||5 ms|WSXGA+|"22"""|Anti-glare, Anti-reflective|||75 Hz|350 mW||||||||178Â°|Yes|100 x 100|Yes||3.20 kg|4.90 kg|"19.8"" (502.9 mm)"|"19.8"" (502.9 mm)"
|"Aoc I2267fw 22"" Led Lcd Monitor - 16:9 - 5 Ms - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 50,000,000:1 - Full Hd - Dvi - Hdmi - Vga - 45 W - Black, Silver - Energy Star, Epeat Silver, Epa, China Energy Label (cel), Reach, Mpr Ii - (i2267Fw) - SoftwareCity.ca - Canada"|||No||16:9|LED|AOC|250 cd/mÂ²||FCC cCSAus CE CTUVUS, CB CCC TUV-GS BSMI ISO 9241-307 KCC Eup VCCI C-TICK J-MOSS|Black, Silver|16.7 Million Colors||||50,000,000:1||"4.8"" (121 mm)"|"4.7"" (120.6 mm)"||||Yes|Off Timer||ENERGY STAR, EPEAT Silver, EPA, China Energy Label (CEL), REACH, MPR II|Yes|Yes|Yes||"14.8"" (375 mm)"||83 kHz|178Â°||110 V AC, 220 V AC||3 Year|AOC|i2267Fw|http://us.aoc.com||1920 x 1080||||1|||45 W||||In-plane Switching (IPS) Technology|PC|||I2267FW|I2267FW Widescreen LCD Monitor|67|LCD Monitor||||5 ms|Full HD|"22"""||||60 Hz|500 mW||||||||178Â°|||Yes||3.50 kg||"19.6"" (498 mm)"|
|"Samsung Ud55a 55"" Direct Led Lcd Monitor - 16:9 - 8 Ms - 1920 X 1080 - 16.7 Million Colors - 700 Nit - 3,500:1 - Full Hd - Dvi - Hdmi - Vga - Displayport - 250 W - Energy Star 5.0, Rohs - (LH55CPPLBB/ZA) - SoftwareCity.ca - Canada"|||||16:9|Direct LED|Samsung|700 cd/mÂ²||EMC:FCC: Part 15, Subpart B class BCE: EN55022, EN55024VCCI: V-3 (CISPR22)KCC: KN22, KN24BSMICNS13438 (CISPR22)C-TickAS / NZS3548 (CISPR22)CCC: GB9254-2008, GB17625.1-2003Safety:UL: UL 60950-1CSA: CSA C22.2 No.60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQIEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM: IEC60950-1SASO: IEC60950-1||16.7 Million Colors|||Yes|3,500:1||"3.8"" (96.5 mm)"|||Landscape/Portrait|Yes|Yes|Video Wall, Button Lock, Smart Scheduling, Lamp Error Detection, Anti-retention, Temperature Sensor, Picture in Picture||ENERGY STAR 5.0, RoHS|Yes||Yes||"27"" (685.8 mm)"|||178Â°||110 V AC, 220 V AC||3 Year|Samsung|LH55CPPLBB/ZA|http://www.samsung.ca||1920 x 1080|Wall Mountable||Yes|1||1 W|250 W|UD55A Widescreen LCD MonitorQuick Setup GuideWarranty CardApplication CDD-Sub CablePower CordRemote ControllerBatteries||||PC|||UD55A|UD55A Widescreen LCD Monitor|UD|LCD Monitor||||8 ms|Full HD|"55"""||||60 Hz|1 W||||||||178Â°|Yes|600 x 400|Yes||23.95 kg||"47.8"" (1214.1 mm)"|
|"Asus Pb298q 29"" Led Lcd Monitor - 21:9 - 5 Ms - Adjustable Display Angle - 2560 X 1080 - 16.7 Million Colors - 300 Cd/mÂ² - 80,000,000:1 - Uw-uxga - Speakers - Dvi - Hdmi - Displayport - 31.70 W - Black - Energy Star 6.0, Epeat Gold, Erp, Rohs, Tco Certified Displays 6.0, Weee - (PB298Q) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|21:9|LED|Asus|300 cd/mÂ²|Speaker|BSMI CB CCC CE C-Tick CU FCC PSE UL/cUL VCCI WHQL|Black|16.7 Million Colors||||80,000,000:1|||"8.6"" (218 mm)"|||Yes|Yes|Splendid Video Intelligence Technology, Security Lock||ENERGY STAR 6.0, EPEAT Gold, ErP, RoHS, TCO Certified Displays 6.0, WEEE|Yes|Yes|Yes|Yes||"14.8"" (376 mm)"||178Â°||110 V AC, 220 V AC||3 Year|ASUS Computer International|PB298Q|http://www.asus.com||2560 x 1080||||1|2|500 mW|31.70 W|PB298Q Widescreen LCD Monitor Cable Clamp Dual-link DVI cable Audio cable Power cord DisplayPort cable Quick start guide HDMI cable Warranty Card|||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC|||PB298Q|PB298Q Widescreen LCD Monitor||LCD Monitor||||5 ms|UW-UXGA|"29"""|||Yes|76 Hz|500 mW||||||||178Â°|Yes|100 x 100|||8.50 kg|||"27.6"" (700 mm)"
|"Acer G237hl 23"" Led Lcd Monitor - 16:9 - 6 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - Full Hd - Hdmi - Vga - 25 W - Black - Mpr Ii - (UM.VG7AA.001) - SoftwareCity.ca - Canada"||Yes|No|No|16:9|LED|Acer|250 cd/mÂ²|||Black|16.7 Million Colors||||100,000,000:1|||"7.3"" (185 mm)"|||||CrystalBrite||MPR II|Yes||Yes|||"15.8"" (402 mm)"||178Â°||110 V AC, 220 V AC|||Acer, Inc|UM.VG7AA.001|http://www.acer.ca||1920 x 1080||||1||450 mW|25 W|G237HL Widescreen LCD Monitor1 x VGA CablePower Cord|||In-plane Switching (IPS) Technology||||G237HL|G237HL Widescreen LCD Monitor|G|LCD Monitor||||6 ms|Full HD|"23"""|||||490 mW||No|-5Â°to15Â°|||||178Â°|||Yes|||||"20.9"" (532 mm)"
|"Viewsonic Vx2703mh-led 27"" Led Lcd Monitor - 16:9 - 3 Ms - Adjustable Display Angle - 1920 X 1080 - 300 Nit - 1,200:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - 39 W - Black - Energy Star, Erp, Epeat Silver, Weee, Rohs - (VX2703MH-LED) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Viewsonic|300 cd/mÂ²|Speaker|CECBBSMIPSBSASOC-tickE-StandbyKCUL/cULFCC-B (including ICES003)UL CoCMexico EnergyGOST-R/HygienicUkrSEPROCCCChina EnergySVHC|Black|||||1,200:1||"2.2"" (55.9 mm)"|"6.9"" (175.3 mm)"||||Yes|Auto-off, ClearMotiv II||ENERGY STAR, ErP, EPEAT Silver, WEEE, RoHS|Yes|Yes|Yes|Yes|"15.4"" (391.2 mm)"|"17.2"" (436.9 mm)"||170Â°||110 V AC, 220 V AC||3 Year|Viewsonic Corporation|VX2703MH-LED|http://www.viewsonic.com||1920 x 1080||||1|||39 W|"27"" Widescreen LED with Full 1080p Resolution Versatile Monitor That PerformsPower CableAudio CableVGA CableDVI CableUser GuideQuick Start GuideViewSonic Wizard CD-ROM"||||PC, Mac|||VX2703mh-LED|"27"" Widescreen LED with Full 1080p Resolution Versatile Monitor That Performs"|VX|LCD Monitor||||3 ms|Full HD|"27"""|Anti-glare||Yes||||||||||160Â°|||Yes||4.90 kg|5.40 kg|"25.4"" (645.2 mm)"|"25.4"" (645.2 mm)"
|"Lg 22mb65p-b 22"" Led Lcd Monitor - 5 Ms - Adjustable Display Angle - 1680 X 1050 - Wsxga+ - Dvi - Vga - (22MB65P-B) - SoftwareCity.ca - Canada"||Yes||Yes||LED|LG||||||||||||||||Yes||||||||||||||||LG Electronics|22MB65P-B|http://www.lg.com/ca||1680 x 1050||||1|||||||||||22MB65P-B|22MB65P-B LCD Monitor||LCD Monitor||||5 ms|WSXGA+|"22"""||||||||||||||||Yes|||||
|"Nec Display Multisync Ea224wmi 22"" Led Lcd Monitor - 16:9 - 14 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - Displayport - Usb - 26 W - Black - Energy Star 5.1, Tco Certified Displays 5.2, Epeat Gold, Rohs - (EA224WMI-BK) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:9|LED|NEC Display|250 cd/mÂ²|USB Hub, Speaker|ISO 9241-307 Class I|Black|16.7 Million Colors||||1,000:1||"2.4"" (61 mm)"|"8.6"" (218.4 mm)"|||Yes|Yes|Ambient Light Sensor, Eco Mode, Carbon Footprint Meter, Cable Management, AccuColor, Touch Controls, Smart Sensing Technology||ENERGY STAR 5.1, TCO Certified Displays 5.2, EPEAT Gold, RoHS|Yes|Yes|Yes|Yes|"11.9"" (302.3 mm)"|"19.7"" (500.4 mm)"||178Â°||||3 Year|NEC Display Solutions|EA224WMI-BK|http://www.necdisplay.com||1920 x 1080||||1|||26 W|"22"" LED-backlit Eco-Friendly Widescreen Desktop Monitor W/IPS PanelSetup SheetUser ManualPower Cord15-pin D-Sub CableDVI CableUSB CableAudio CableControlSync Cable"|||In-plane Switching (IPS) Technology|PC||MultiSync|EA224WMi|"22"" LED-backlit Eco-Friendly Widescreen Desktop Monitor W/IPS Panel"|EA|LCD Monitor||||14 ms|Full HD|"22"""|||Yes|75 Hz|430 mW||||||Yes|USB 2.0|178Â°|Yes||Yes||3.72 kg|5.99 kg|"20"" (508 mm)"|"20"" (508 mm)"
|22in Ws Led Full Hd 1920x1080 (21.5 Vis) 16:09 Vga/dvi Blk 5ms Vesa - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 1,000:1 - Full Hd - Dvi - Vga - 36 W - Glossy Black - Rohs, Weee - (LED215W2R-8N) - SoftwareCity.ca - Canada||Yes|||16:9|LED|V7|250 cd/mÂ²||FCCCECTUVus|Glossy Black|16.7 Million Colors||||1,000:1|China|"1.3"" (32 mm)"|"6.7"" (170.2 mm)"||||Yes|Security Lock, Ultra Slim||RoHS, WEEE|Yes||||"12.1"" (307.3 mm)"|"14"" (355.6 mm)"||170Â°||110 V AC, 220 V AC||3 Year|V7|LED215W2R-8N|http://www.v7-world.com||1920 x 1080|Wall Mountable|||1|||36 W|"22"" Class (21.5"" VIS) Widescreen LED Monitor Manual VGA Cable AC Adapter Warranty"||||PC|||LED215W2R-8N|"22"" Class (21.5"" VIS) Widescreen LED Monitor"||LCD Monitor||||5 ms|Full HD|"22"""|||No|75 Hz|||||||||160Â°|Yes|75 x 75|Yes||2.90 kg||"20.2"" (513.1 mm)"|"20.2"" (513.1 mm)"
|"Aoc I2367fh 23"" Led Lcd Monitor - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 50,000,000:1 - Full Hd - Speakers - Hdmi - Vga - 40 W - Black, Silver - Energy Star, Epeat Silver, Tco Displays 5.0 - (I2367FH) - SoftwareCity.ca - Canada"||Yes||||LED|AOC|250 cd/mÂ²|Speaker||Black, Silver|16.7 Million Colors||||50,000,000:1|||"4.7"" (120.6 mm)"|||||Off Timer||ENERGY STAR, EPEAT Silver, TCO Displays 5.0|Yes|Yes|Yes|||"15.5"" (394 mm)"||178Â°||||1 Year|AOC|I2367FH|http://us.aoc.com||1920 x 1080||||1|||40 W||||In-plane Switching (IPS) Technology|PC|||I2367FH|I2367FH 23 Inch IPS Monitor|67|LCD Monitor||||5 ms|Full HD|"23"""|||Yes||500 mW||||||||178Â°|||Yes||3.75 kg|||"20.9"" (531.4 mm)"
|"Lg 29um65-p 29"" Led Lcd Monitor - 21:9 - 2560 X 1080 - Uw-uxga - Dvi - Hdmi - (29UM65-P) - SoftwareCity.ca - Canada"|||||21:9|LED|LG||||||||||||||||Yes||||||Yes||||||||||LG Electronics|29UM65-P|http://www.lg.com/ca||2560 x 1080||||1|||||||In-plane Switching (IPS) Technology||||29UM65-P|29UM65-P Widescreen LCD Monitor||LCD Monitor|||||UW-UXGA|"29"""|||||||||||||||||||||
