3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|features|firewireilink|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|UM.HK3EE.001, 2837667, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:9|LED|Packard Bell|300 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||62 mm||||Yes|||||['MPR II', 'EPEAT Gold']|Yes|Yes|||381 mm|||178°|['110 V AC', '220 V AC']||Acer, Inc|UM.HK3EE.001|No|1920 x 1080|||1||||Viseo273D Widescreen LCD Monitor1 x VGA CablePower Cord|||Vertical Alignment (VA)|||Viseo|Viseo273D|Viseo273D Widescreen LCD Monitor||LCD Monitor|||6 ms|Full HD|"68.6 cm (27"")"|Anti-glare|||Yes|60 Hz|||No|||-5°to25°|||178°|Yes|100 x 100|Yes||4.77 kg||640 mm|
|242G5DJEB/00, 2780477, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|Philips|350 cd/m²|USB Hub|BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV Ergo TUV/GS cETLus|Textured Black|16.7 Million Colours|||1,000:1||63 mm|220 mm||Yes|Yes|||['SmartResponse', 'Security Lock', 'Sync on Green', 'Mobile High-Definition Link (MHL)', 'SmartImage']||['EPEAT Silver', 'ENERGY STAR 6.0', 'TCO', 'WEEE', 'RoHS']|Yes|Yes|Yes||354 mm|517 mm||170°|['110 V AC', '220 V AC']|2 Year|Philips Electronics|242G5DJEB/00||1920 x 1080|||1||300 mW|18.58 W|||||['Mac', 'PC']||Brilliance|242G5DJEB|"Brilliance LCD Monitor with SmartImage Game 242G5DJEB 144Hz 24"" / 61 cm"||LCD Monitor|||1 ms|Full HD|"61 cm (24"")"|||||144 Hz|500 mW||||||Yes|USB 3.0|160°|Yes|100 x 100|Yes||4.13 kg|6.27 kg|565 mm|565 mm
|e2370sd, AOCE2370SD, AOC, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:9|LED|AOC|250 cd/m²||CE FCC GOST ISO 9241-307 NRTL TÜV-GS CCC CB cTUVus BSMI|Black|16.7 Million Colours|No|No|1,000:1||221 mm|||No|Yes|||['Screen+', 'i-Menu', 'e-Saver', 'Security Lock', 'Eco Mode']||['China Energy Label (CEL)', 'ENERGY STAR 6.0', 'EPEAT Gold', 'RoHS', 'CECP', 'EuP']|Yes|Yes|No||393.3 mm|||170°|['220 V AC', '110 V AC']|3 Year|AOC|E2370SD||1920 x 1080|Wall Mountable||1||300 mW|18 W|"e2370Sd 58.4cm (23"") LED MONITOR Power Cable D-Sub Cable DVI-D Cable Driver CD Warranty Card on CD-ROM"||||PC||Value|e2370Sd|"e2370Sd 58.4cm (23"") LED MONITOR"||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"||||No|60 Hz|500 mW|No|||||No||160°|Yes|100 x 100|Yes||3.27 kg||546.7 mm|
|VX279Q, 2798278, ASUSTeK COMPUTER, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Asus|250 cd/m²|Speaker|BSMI CB CCC CE C-Tick CU FCC Gost-R UL/cUL VCCI|Black|16.7 Million Colours|||80,000,000:1|||210.10 mm||Yes|No|||Security Lock||['China Energy Label (CEL)', 'WEEE', 'ENERGY STAR 6.0', 'ErP', 'RoHS']|Yes|No|Yes|Yes||441.30 mm|80 kHz|178°|['220 V AC', '110 V AC']|3 Year|ASUS Computer International|VX279Q||1920 x 1080|||1|2|500 mW|29.10 W|VX279Q Widescreen LCD Monitor VGA Cable Audio Cable Power Cord Power Adapter Quick Start Guide Warranty Card|||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC|||VX279Q|VX279Q Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"68.6 cm (27"")"||||Yes|76 Hz|500 mW||||||||178°|||Yes||4.60 kg|||622.60 mm
|LS24A350HS/EN, 2158916, Samsung, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Samsung|250 cd/m²|||Rose Black|16.7 Million Colours|||1,000:1||59.2 mm|239.20 mm||||||||||Yes|Yes||359.1 mm|438.70 mm||170°|||Samsung|LS24A350HS/EN||1920 x 1080|||1|||27 W|||||['PC', 'Mac']|||S24A350H|S24A350H Widescreen LCD Monitor|350|LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||||300 mW||||||||160°|||Yes||3.90 kg||578.6 mm|578.60 mm
|LS22C20KBS/EN, Samsung, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Samsung|250 cd/m²|||Matte Black|16.7 Million Colours|||1,000:1||77.6 mm|185 mm||No|Yes|||['Eco Saving', 'MagicTune', 'Off Timer', 'MagicBright 3', 'MagicAngle']||['TCO', 'ENERGY STAR', 'EPEAT Gold']|Yes||No||301.9 mm|385.35 mm||170°|['110 V AC', '220 V AC']||Samsung|LS22C20KBS/EN||1920 x 1080|Wall Mountable||1|||24 W|||||PC|||S22C200B|S22C200B Widescreen LCD Monitor|200|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||No||100 mW||||||||160°|Yes|100 x 100|Yes||3.05 kg|3.40 kg|504.3 mm|504.30 mm
|60002795, 3967200, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd|Plug and Play||||5:4||NEC Display|250 cd/m²|||['Silver', 'Black']||||1,000:1||61 mm|230 mm|||Yes|||||['ENERGY STAR', 'TCO Displays 5.0']|Yes||||320.5 mm|408.50 mm||170°|||NEC Display Solutions|60002795||1280 x 1024|||1||||||||PC||MultiSync|LCD175M|MultiSyncLCD175M LCD Monitor||LCD Monitor|||5 ms|SXGA|"43.2 cm (17"")"||||||||||||||170°|||Yes||4 kg|6.50 kg|368 mm|368 mm
|X-19AVW, AGX19AVW, AG Neovo, LCD Monitor, Kingsfield Computer Products Ltd|Kensington lock supported||||||AG Neovo|250 cd/m²|||White|16.7 Million Colours||Yes|700:1||175 mm||||Yes|||||TCO '95|Yes||||419 mm|||170°|['220 V AC', '110 V AC']||AG Neovo Technology Corporation|X-19AVW||1280 x 1024|Wall Mountable||1|||||||||||X-19AV|X19AV LCD Monitor|X|LCD Monitor|||25 ms|SXGA|"48.3 cm (19"")"|||||||Yes|||||||170°|||Yes||7.90 kg||444 mm|
|VG2437MC-LED, B921416, ViewSonic, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes||LED|Viewsonic|300 cd/m²|['USB Hub', 'Speaker', 'Microphone', 'Webcam']||||||1,000:1||61 mm|238.76 mm||Yes|Yes|||||||Yes||Yes|340.4 mm|452.12 mm||170°|||Viewsonic Corporation|VG2437MC-LED||1920 x 1080|||1|||24.50 W|||||['Mac', 'PC']|||VG2437mc-LED|VG2437mc-LED Full HD Resolution with DisplayPort Connectivity||LCD Monitor|Yes||5 ms|Full HD|"61 cm (24"")"|Anti-glare|||Yes||||||||Yes|USB 2.0|160°|Yes|100 x 100|Yes||3.76 kg|5.22 kg|556.3 mm|556.26 mm
|BDL5586XL/00, 2760260, Philips, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|Philips|500 cd/m²|Speaker|CE FCC Class B UL cUL CCC C-Tick GOST CB||1.06 Billion Colors|Yes||1,400:1||121.1 mm||Landscape/Portrait|Yes|Yes|||['Tiled Matrix', 'HeatControl Sensor', 'Temperature Sensor', '3D De-interlace', '3D Comb Filter', 'Video Wall', 'Digital Signage Ready', 'Picture in Picture']||RoHS|Yes||Yes||686.3 mm|||178°|['110 V AC', '220 V AC']|3 Year|Philips Electronics|BDL5586XL/00||1920 x 1080||Yes|1|2||132 W|Signage Display Remote Control Batteries for remote control AC Power Cord VGA cable User manual on CD-ROM Quick start guide||1|In-plane Switching (IPS) Technology||||BDL5586XL|Signage Display||LCD Monitor|||10 ms|Full HD|"139.7 cm (55"")"||||Yes|60 Hz|500 mW||||||||178°|Yes|400 x 400|Yes||||1215.5 mm|
|LMD1530W, 2234504, Sony, LCD Monitor, Kingsfield Computer Products Ltd|||||16:10||Sony||Speaker|||16.7 Million Colours||Yes|||||||||||||||Yes|||||176°|||Sony Corporation|LMD-1530W||1280 x 768|Wall Mountable||1|||||||||||LMD-1530W|LMD-1530W Widescreen LCD Monitor|LMD|LCD Monitor||||WXGA|"38.1 cm (15"")"||||Yes|||Yes|||||||176°|||Yes|||||
|D7Z72AA#ABU, 2875478, HP, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|HP|250 cd/m²|USB Hub||Black||||1,000:1||52.2 mm|278.50 mm||Yes|Yes|||Security Lock||['EPEAT Gold', 'ENERGY STAR', 'WEEE', 'REACH', 'TCO Certified Edge']|Yes|Yes|||387.3 mm|532.10 mm||178°|['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|D7Z72AA#ABU||1920 x 1080|||1|||40 W|"EliteDisplay E271i 68,6 cm (27"") LED Backlit Monitor VGA cable DisplayPort cable USB cable AC power cable Printed documentation and CD Display Assistant software"|||In-plane Switching (IPS) Technology|PC||Business|E271i|"EliteDisplay E271i 68,6 cm (27"") LED Backlit Monitor"|Advantage|LCD Monitor|||7 ms|Full HD|"68.6 cm (27"")"|Anti-glare|||||500 mW||||||Yes|USB 3.0|178°|||Yes||7.70 kg||642 mm|642 mm
|P2460PXQU, 3091674, AOC, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:10|LED|AOC|250 cd/m²|USB Hub|CE TUV-GS CU ISO9241-307|Black|16.7 Million Colours|||50,000,000:1|||244.60 mm||Yes|Yes|||['e-Saver', 'Eco Mode', 'Screen+', 'Security Lock', 'i-Menu']||['EPEAT Gold', 'TCO Certified Displays 6.0', 'EuP', 'ENERGY STAR 6.0', 'REACH', 'RoHS']|Yes|Yes|No|||553.40 mm||178°|['230 V AC', '120 V AC']|3 Year|AOC|P2460PXQU|130 mm|1920 x 1200|||1|2|500 mW|24 W|"p2460Pxqu 61cm (24"") LCD Monitor Power Cable D-Sub Cable DVI-D Cable DisplayPort Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM"|||PLS (Plane to Line Switching) Technology|||Professional|p2460Pxqu|"p2460Pxqu 61cm (24"") LCD Monitor"||LCD Monitor|||5 ms|WUXGA|"61 cm (24"")"||||Yes|60 Hz|1 W|||||-7°to23°|Yes|USB 3.0|178°|Yes||Yes|||6.65 kg||558.40 mm
|LS22B350BS/EN, SMS22B350B, Samsung, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|Samsung|250 cd/m²|||Black|16.7 Million Colours|||1,000:1||53 mm|195 mm||No|Yes|||['Sleep Timer', 'Eco Saving', 'MagicBright 3', 'MagicColor', 'MagicAngle']||"[""TCO '05"", 'ENERGY STAR 5.0', ""TCO '03""]"|Yes||No||319 mm|398 mm||170°|['110 V AC', '220 V AC']||Samsung|LS22B350BS/EN||1920 x 1080|||1|||30 W|SyncMaster S22B350B Widescreen LCD MonitorD-Sub CableE-GuideCD-ROMBrief Statement|Retail|1||PC||SyncMaster|S22B350B|SyncMaster S22B350B Widescreen LCD Monitor|350|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||No||300 mW||||||No||160°|Yes|75 x 75|Yes||2.50 kg|2.80 kg|510 mm|510 mm
|PLB2280WSD-B, IIYB2280WSDB, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes||16:10|LED|iiyama|300 cd/m²|Speaker|CE TUV-GS CU|Black|16.7 Million Colours|||1,000:1||204.5 mm||||Yes|||Security Lock||['TCO Certified Displays 6.0', 'ENERGY STAR']|Yes|Yes|||395.5 mm|||178°|['220 V AC', '110 V AC']|2 Year|iiyama North America, Inc|PLB2280WSD-B||1680 x 1050|||1|2||21 W|ProLite E2280WSD Widescreen LCD Monitor Power Cable VGA (D-Sub) Cable DVI-D Cable Audio Cable Stand Stand-Base Cable Holder Quick Start Guide Safety Guide||||['PC', 'Mac']||ProLite|E2280WSD|ProLite E2280WSD Widescreen LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||Yes|75 Hz|||||||||170°|Yes|100 x 100|Yes||3.60 kg||512.5 mm|
|EV2216WFS3-BK, EIZOEV2216WFSBK, Eizo Nanao, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:10|LED|Eizo|250 cd/m²|USB Hub|ISO9241-307 TUV/GS c-Tick CE CB cTUVus FCC-B ICES-003-B TUV/S VCCI-B CCC GOST-R|Black|16.77 Million Colors|||1,000:1||54 mm|233 mm|Portrait|Yes|Yes|||['Flicker-free', 'EcoView']||['WEEE', 'RoHS', 'TÜV', 'EPEAT Gold', 'ENERGY STAR', 'TCO Certified Displays 6.0', 'EPA', 'TÜV Rheinland', 'China RoHS']|Yes|Yes||Yes|326.5 mm|483.10 mm||170°|['230 V AC', '120 V AC']|5 Year|Eizo Nanao Tech|EV2216WFS3-BK|140 mm|1680 x 1050|||1|2||39 W|FlexScan EV2216WFS3 Widescreen LCD Monitor AC Power Cord Signal Cables (DVI-D - DVI-D, DisplayPort - DisplayPort) EIZO LCD Utility Disk (PDF User's Manual, ScreenManager Pro for LCD [DDC/CI], EIZO ScreenSlicer Software) Setup Guide|||Twisted Nematic Film (TN Film)|||FlexScan|EV2216WFS3|FlexScan EV2216WFS3 Widescreen LCD Monitor|EV|LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||Yes|61 Hz|||344°|||-5°to35°|Yes|USB 2.0|160°|Yes||Yes||3.30 kg|5.60 kg|500 mm|500 mm
3D Ready|UM.FG6EE.B06, 3051255, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No||16:9|LED|Acer|350 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||23.7 mm|178.90 mm|||Yes|49 kWh|B|LightBoost Technology||['MPR II', 'RoHS', 'ENERGY STAR', 'ECO']|Yes||Yes||342.7 mm|400.90 mm||170°|['230 V AC', '120 V AC']|2 Year|Acer, Inc|UM.FG6EE.B06||1920 x 1080|Wall Mountable||1||450 mW|23 W|Gaming Monitor GN246HL 1 x VGA Cable 1 x DVI Cable Power Cord|||||||GN246HL|Gaming Monitor GN246HL||LCD Monitor|||1 ms|Full HD|"61 cm (24"")"|Anti-glare|||No|144 Hz|490 mW|||||-5°to15°|||160°|Yes|100 x 100|Yes||||565 mm|565 mm
No|GB2773HS-GB1, IIYGB2773HSGB, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes||16:9|LED|iiyama|300 cd/m²|Speaker|CE TÜV Bauart GOST-R|Black|16.7 Million Colours|||1,000:1||66 mm|230 mm|Landscape||Yes|||['Display Power Management Signaling (DPMS)', 'Security Lock', 'Eco Mode', 'OverDrive']||ENERGY STAR|Yes|Yes|Yes|Yes|399.5 mm|522.50 mm||170°|['110 V AC', '220 V AC']||iiyama North America, Inc|GB2773HS-GB1||1920 x 1080|Wall Mountable||1|2||35 W|ProLite GB2773HS Widescreen LCD Monitor Power Cable DVI-D Cable Audio cable Cable Holder Quick Start Guide Safety Guide|||Twisted Nematic Film (TN Film)|['Mac', 'PC']||ProLite|GB2773HS|ProLite GB2773HS Widescreen LCD Monitor||LCD Monitor|||1 ms|Full HD|"68.6 cm (27"")"||||Yes|144 Hz|500 mW||||||||160°|Yes|100 x 100|Yes||7.40 kg||647 mm|647 mm
|60003423, NECTFT271, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes||16:9||NEC Display|300 cd/m²|USB Hub|CETUVC-TickGEEA/Energy LabelFCC Class BPCT/GostUL/C-ULCSACCCISO 9241-307PCBC/B-MarkPSB|Black|1.07 Billion Colors|||1,000:1||235.5 mm||Landscape/Portrait|Yes|Yes|||['Cable Management', 'AmbiBright', 'ColorComp', 'Eco Mode', 'TileComp', 'Security Lock', 'Picture in Picture', 'TileMatrix Support']||"['ErP', 'RoHS', 'MPR II', 'MPR III', ""TCO '03""]"|Yes||||396.2 mm|||178°|['110 V AC', '220 V AC']|3 Year|NEC Display Solutions|60003423||2560 x 1440|||1|||117 W|SpectraView Reference 271Power CableSignal Cable Display PortCD-ROMSales Office ListUser ManualDetachable Black Light Protection HoodSpectraView Certifier DocumentDVI-D Cable|||Professional In-plane Switching (P-IPS) Technology|['Mac', 'PC']||SpectraView|271|SpectraView Reference 271||LCD Monitor|||7 ms|WQHD|"68.6 cm (27"")"|||||60 Hz|1.40 W||||||Yes||178°|Yes|200 x 100|||13.60 kg||640.4 mm|
|220V4LSB/00, 2788641, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:10|LED|Philips|250 cd/m²||BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307 UL/cUL|Black|16.7 Million Colours|||1,000:1||48 mm|213 mm|||Yes|||['Sync on Green', 'Security Lock', 'Eco Mode', 'SmartContrast']||['EPEAT Silver', 'RoHS', 'WEEE', 'ENERGY STAR 5.0', 'TCO Certified Displays']|Yes|Yes|||348 mm|416 mm||170°|['220 V AC', '110 V AC']||Philips Electronics|220V4LSB/00||1680 x 1050||No|1||500 mW|16.52 W|||||['Mac', 'PC']|||220V4LSB|LCD Monitor with LED backlight|V|LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||No|60 Hz|500 mW||||||||160°|Yes|100 x 100|Yes|No|3.32 kg|3.66 kg|512 mm|512 mm
|9H.L5FLA.DBE, 2898168, BenQ, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|5:4|LED|BenQ|250 cd/m²|Speaker||||||12,000,000:1||222.6 mm||||Yes|||['Flicker-free', 'Eye-Care', 'Security Lock', 'Senseye 3', 'Ultra Flexible', 'Anti-reflective']||TCO Displays 5.0|Yes|Yes||Yes|432.4 mm|||170°|['220 V AC', '110 V AC']||BenQ Corporation|9H.L5FLA.DBE|130 mm|1280 x 1024|Wall Mountable||1|2||25.80 W||||Twisted Nematic Film (TN Film)|PC|||BL902TM|BL902TM LCD Monitor||LCD Monitor|Yes|65% Plastic|5 ms|SXGA|"48.3 cm (19"")"|Anti-reflective|||Yes||300 mW||45°|||-5°to20°|||160°|Yes|100 x 100|Yes||5.10 kg||419.2 mm|
|VW22ATL, 2614347, ASUSTeK COMPUTER, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:10||Asus|250 cd/m²|Speaker|ULTUV GSVCCIC-TickBSMIcULWHQLCBCCCTUV ErgoFCCGOST-RJ-MOSSERP|Black|16.7 Million Colours|||50,000,000:1|||405 mm|||Yes|||['Video Intelligence Technology', 'Security Lock']||['ENERGY STAR', 'WEEE', 'TCO Certified Displays 5.2', 'RoHS']|Yes|Yes||||210 mm||170°|['220 V AC', '110 V AC']||ASUS Computer International|VW22ATL||1680 x 1050|['Wall Mountable', 'Panel-mountable']||1|||33 W||||||||VW22ATL|VW22ATL Widescreen LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"|Anti-glare|||Yes||500 mW||||||||160°|Yes|100 x 100|||4.80 kg|||513 mm
|19B4LCS5/00, 2871069, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|5:4|LED|Philips|250 cd/m²|Speaker|BSMI CE Mark cETLus, FCC Class B GOST SEMKO TUV Ergo TUV/GS|['Black', 'Silver']|16.7 Million Colours|||1,000:1||61 mm|227 mm|||Yes|||['Sync on Green', 'SmartContrast', 'SmartPower', 'Cable Management', 'SmartErgoBase', 'TrueVision', 'SmartImage', 'Eco Mode', 'Security Lock']||['WEEE', 'RoHS', 'EPEAT Silver', 'TCO Certified Displays 6.0', 'ENERGY STAR 6.0', 'EPA']|Yes|Yes||Yes|346 mm|506 mm||170°|['110 V AC', '220 V AC']||Philips Electronics|19B4LCS5/00||1280 x 1024|||1|2|100 mW|14 W|||||['Mac', 'PC']||Brilliance|19B4LCS5|Brilliance 19B4LCS5 LCD Monitor||LCD Monitor|Yes|25%|5 ms|SXGA|"48.3 cm (19"")"||||Yes|60 Hz|100 mW||||||||160°|Yes|100 x 100|Yes||2.71 kg|4.61 kg|404 mm|404 mm
|60003587, 3968097, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:4|LED|NEC Display|250 cd/m²|['Speaker', 'USB Hub']|ISO 9241-307 TAV FCC Class B PCT/Gost TCO Certified Edge Displays 1.2|White|16.77 Million Colors|||1,000:1||218 mm||Landscape/Portrait|Yes|Yes|||['Ambient Light Sensor', 'Cable Management', 'Off Timer', 'Eco Mode', 'Security Lock']||['ENERGY STAR', 'TCO Certified Displays 6.0', 'MPR III', 'EPEAT Gold', 'RoHS']|Yes|Yes|Yes|Yes|380.4 mm|||178°||3 Year|NEC Display Solutions|60003587||1920 x 1080|||1|2||27 W|"LCD 23"" Commercial Display Power Cable Control Sync Cable USB Cable Audio Cable CD-ROM Sales Office List User Manual Signal Cable (VGA-VGA) Signal Cable (DVI-D - DVI-D)"|||In-plane Switching (IPS) Technology|PC||MultiSync|EA234WMi|"LCD 23"" Commercial Display"|EA|LCD Monitor|||6 ms|Full HD|"58.4 cm (23"")"||||Yes|60 Hz|500 mW||||||Yes|USB 2.0|178°|Yes|100 x 100|Yes||6.40 kg||543.8 mm|
|PLG2773HS-GB1, II-PLG2773HS-GB1, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|iiyama|300 cd/m²|Speaker|TUV-BauartPSEVCCI-BCUCE|Black|16.7 Million Colours|||1,000:1||239 mm||||Yes|||Security Lock||ENERGY STAR|Yes|Yes|Yes|Yes|454.5 mm|||170°|['110 V AC', '220 V AC']|2 Year|iiyama North America, Inc|PLG2773HS-GB1||1920 x 1080|Wall Mountable||1|2||35 W|ProLite G2773HSPower CableHDMI CableDVI-D Cable (Dual-Link)Audio CableStandCable HolderQuick Start GuideSafety Guide||||['Mac', 'PC']||ProLite|G2773HS|ProLite G2773HS||LCD Monitor|||1 ms||"68.6 cm (27"")"||||Yes|120 Hz|500 mW||||||||160°|Yes|100 x 100|Yes||5.60 kg||647 mm|
|LS20C300BL/EN, Samsung, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Samsung|250 cd/m²|||Translucent Red Gradation|16.7 Million Colours|||1,000:1||53 mm|187 mm||No|Yes|||['MagicAngle', 'Magic Upscale', 'MagicTune', 'Off Timer', 'MagicBright3', 'MultiScreen', 'Eco Saving']||ENERGY STAR 6.0|Yes||No||299.8 mm|379.40 mm||170°|['110 V AC', '220 V AC']|2 Year|Samsung|LS20C300BL/EN||1600 x 900|||1||300 mW|14 W|||||['PC', 'Mac']|||S20C300BL|S20C300BL Widescreen LCD Monitor|300|LCD Monitor|||5 ms|HD+|"49.5 cm (19.5"")"||||No||300 mW||||||No||160°|||Yes||2.10 kg|2.40 kg|476.2 mm|476.20 mm
|E950SWDAK, 2613855, AOC, LCD Monitor, Kingsfield Computer Products Ltd|||No||16:9|LED|AOC|250 cd/m²|||Black|16.7 Million Colours|||1,000:1||||||Yes|||||ENERGY STAR 5.0|Yes|||||||170°|['220 V AC', '110 V AC']||AOC|E950SWDAK||1366 x 768|Wall Mountable||1||||||||PC|||e950Swdak|e950Swdak Widescreen LCD Monitor||LCD Monitor|||5 ms|WXGA|"47 cm (18.5"")"||||||||||||||160°|||Yes|||||
|29UM65-P, 2998783, LG Electronics, LCD Monitor, Kingsfield Computer Products Ltd|||||21:9|LED|LG||||||||||||||Yes||||||||Yes||||||||LG Electronics|29UM65-P||2560 x 1080|||1|||||||In-plane Switching (IPS) Technology||||29UM65-P|29UM65-P Widescreen LCD Monitor||LCD Monitor||||UW-UXGA|"73.7 cm (29"")"||||||||||||||||||||||
|E2460PQ/BK, 3088794, AOC, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|AOC|250 cd/m²|Speaker|CE CU ISO 9241-307 TUV-GS Ukarin Safety|Black|16.7 Million Colours|||50,000,000:1|||243.50 mm|Landscape/Portrait|Yes|Yes|||['Eco Mode', 'e-Saver', 'i-Menu', 'Security Lock', 'OverDrive', 'Screen+']||['TCO Certified Displays 6.0', 'EuP', 'ENERGY STAR 6.0', 'RoHS', 'EPEAT Gold']|Yes|Yes|No|||523.60 mm||170°|['220 V AC', '110 V AC']|3 Year|AOC|E2460PQ/BK|130 mm|1920 x 1080|Wall Mountable||1||500 mW|22 W|"e2460Pq /BK 61cm (24"") LCD Monitor Power Cable D-Sub Cable DVI-D Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM"|||Twisted Nematic Film (TN Film)|||Professional|e2460Pq /BK|"e2460Pq /BK 61cm (24"") LCD Monitor"||LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||Yes|60 Hz|500 mW|No||||-5°to22°|No||160°|Yes|100 x 100|Yes||6.38 kg|||565.40 mm
|LS19C45KBR/EN, Samsung, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|5:4|LED|Samsung|250 cd/m²||UL: UL 60950-1CSA: CSA C22.2 No. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM:IEC60950-1SASO: IEC60950-1EMC:FCC Part 15, Subpart B ClassACE EN55022, EN55024VCCI V-3 (CISPR22)KCC :KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC:GB 9254-2008, GB 17625.1-2003|Matte Black|16.7 Million Colours|||1,000:1||55 mm|210 mm|||Yes|||['Off Timer', 'MagicTune', 'MagicRotation', 'Eco Saving', 'MagicBright3', 'MagicAngle']||['EPEAT Gold', 'TCO', 'ENERGY STAR', 'Eco-label']|Yes||||336 mm|469 mm||170°|['110 V AC', '220 V AC']||Samsung|LS19C45KBR/EN||1280 x 1024|Wall Mountable||1|||19 W|||||PC|||S19C450BR|S19C450BR LCD Monitor|450|LCD Monitor|Yes|Plastic|5 ms|SXGA|"48.3 cm (19"")"||||||100 mW||||||||160°|Yes|100 x 100|Yes||2.95 kg|4.45 kg|407 mm|407 mm
