<page title>|adjustable display angle|adjustable display height|adjustable display pivot|antiglare|aspect ratio|assembly required|backlight technology|be comfortable|brand name|brightness|builtin devices|certifications  standards|color|color supported|compatibility|component video|composite video|contrast ratio|country of origin|customizable color|depth|depth with stand|diagonal screen size|dimensions|display orientation|displayport|dvi|ecolabel|features|full hd resolution|hd compatible|hdcp supported|hdmi|headphone jack|height|height with stand|horizontal viewable angle|input voltage|integrated speakers|item |manufacturer|manufacturer |maximum resolution|model name|monitor brightness|monitor color|mount type|multitouch screen|native resolution|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|panel technology|pixel pitch|platform supported|postconsumer recycled content|product line|product name|product series|product type|quantity|recycled|response time|screen mode|screen size|screen surface|screen type|signal input type|speakers|standard refresh rate|standby power consumption|stay versatile|superb performance|svideo|tilt angle|total recycled content|touchscreen|touchscreen type|tv tuner|typical response time|ultrawide viewing angle|usb|usb standard|versatile connections|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|viewable image size|viewing angle|wall mountable|warranty length|webcam|weight|weight with stand approximate|width|width with stand|work with ease stay entertained for hours
NEC Display MultiSync EA234WMi BK 23 LED LCD Monitor 169 6 ms by Office Depot|Yes|Yes|Yes||16:9||LED||NEC Display|250 Nit|USB Hub; Speaker|ISO 9241-307 Class I||16.7 Million Colors||||1,000:1|||"2.4"""|"8.60"""||||Yes|Yes|ENERGY STAR 6.0; TCO Certified Edge; EPEAT Gold; RoHS|Smart Sensing Technology; Ambient Light Sensor; Eco Mode; Carbon Footprint Meter; Cable Management; Auto Brightness Control (ABC); AccuColor; Sync on Green|||Yes|Yes||"12.7"""|"20.10"""||||101107|NEC Display Solutions|RA1123|1920 x 1080|EA234WMi-BK|||||||1|||27 W|In-plane Switching (IPS) Technology||||MultiSync|"23"" Widescreen LED-Backlit Desktop Monitor w/ IPS LCD Panel"|EA|LCD Monitor|||6 ms|Full HD|"23"""||||Yes|75 Hz|410 mW|||||||||||Yes|USB 2.0||178°|Yes|100 x 100|Yes||178°||3-year limited||8.80 lb|14.10 lb|"21.4"""|"21.40"""|
Samsung S23C200B 23 LED LCD Monitor 169 5 ms by Office Depot|||||16:9|No|LED||Samsung|250 Nit||FCC Part 15, Subpart B class A; CE EN55022, EN55024; VCCI V-3 (CISPR22); KCC: KN22, KN24; C-Tick: AS/NZS3548 (CISPR22); CCC: GB 9254-2008, GB 17625.1-2003, GB 4943-2001; UL : UL 60950-1; CSA: CSA C22.2 No. 60950-1; TUV: EN60950-1; NEMKO: EN60950-1; KC: K60950-1; PSB: IEC60950-1; GOST: IEC60950-1, EN55022; SIQ: IEC60950-1, EN55022; PCBC: IEC60590-1, EN55022; NOM: NOM-019-SCFI-1993; IRAM:IEC60950-1; SASO: IEC60950-1|Black|||||1,000:1|Mexico||||||||Yes|ENERGY STAR; EPEAT Gold; TCO|Eco Saving; MagicBright 3; MagicAngle; Off Timer|||||||||||894917|Samsung|QV9023|1920 x 1080|S23C200B|||Wall Mountable||||1|||||||0%||S23C200B Widescreen LCD Monitor|200|LCD Monitor|1|No|5 ms|Full HD|"23"""|||||||||||0%|||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||||||
Planar PLL1920M 19 Edge LED LCD Monitor 54 5 ms by Office Depot|Yes||||5:4||Edge LED||Planar|300 Nit|Speaker|FCC-B; cUL; UL; CE|Black|16.7 Million Colors|||Yes|1,000:1|||"2.8"""|"7.89"""|||||||Security Lock||||||"14.2"""|"16.98"""||110 V AC; 220 V AC||172446|Planar Systems, Inc|CB9906|1280 x 1024|PLL1920M|||||||1|2||45 W|||PC; Mac|||PLL1920M LCD Monitor|PL|LCD Monitor|||5 ms|SXGA|"19"""|Anti-glare|||Yes|75 Hz|1 W||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||7.50 lb|10.08 lb|"16"""|"16.01"""|
Acer V226HQL 215 LED LCD Monitor 169 8 ms by Office Depot|Yes|No|No||16:9||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"8.1"""||||||Yes|TCO '06; ENERGY STAR||||Yes|||"15.4"""|||110 V AC; 220 V AC||377372|Acer, Inc|QX6153|1920 x 1080|V226HQL|||||||1||250 mW|19.50 W|Vertical Alignment (VA)|||||V226HQL Widescreen LCD Monitor|V|LCD Monitor|||8 ms|Full HD|"21.5"""|Anti-glare||||60 Hz|350 mW||||||||||||||178°|||Yes||178°||||7.14 lb|8.06 lb|"20"""||
LG 38WR50 38 LED LCD Monitor 164 6 ms by Office Depot|||||16:4||LED||LG|500 Nit||Security:; UL; cUL; CB Scheme; TUVEMC:; FCC; CE; C-Tick||||||1,400:1|||"2.3"""||||Landscape|Yes|Yes|ENERGY STAR 5.1; ErP|Digital Signage Ready; Picture in Picture; Picture by Picture; Temperature Sensor; Sleep Timer|||Yes|Yes||"11.1"""|||110 V AC; 220 V AC||119116|LG Electronics|S8620947|1920 x 502|38WR50||||||Yes|1|2|500 mW|90 W|In-plane Switching (IPS) Technology||PC|||38WR50 Widescreen LCD Monitor||LCD Monitor|||6 ms|Full HD|"38"""|||||||||||||||||Yes|||178°|Yes|400 x 200|Yes||178°||||11.29 lb||"38.3"""||
Asus VH238H 23 LED LCD Monitor 169 2 ms by Office Depot|Yes||||16:9||LED||Asus|250 Nit|Speaker|UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; PSB; J-MOSS|Black|16.7 Million Colors||||50,000,000:1||||"8.66"""|||||Yes|ENERGY STAR; WEEE; RoHS||||Yes|Yes|Yes||"16.35"""||||855373|ASUS Computer International|DY4066|1920 x 1080|VH238H|||Wall Mountable||||1|2|500 mW|25 W|||PC|||VH238H Widescreen LCD Monitor|VH|LCD Monitor|||2 ms|Full HD|"23"""||||Yes|75 Hz|500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||9.48 lb|||"21.66"""|
Acer V176L 17 LED LCD Monitor 54 5 ms by Office Depot|Yes|No|No||5:4||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"2.2"""|"7.52"""||||||EPEAT Gold; TCO Certified Displays 6.0|||||||"12.2"""|"15.53"""||110 V AC; 220 V AC||630784|Acer, Inc|RX0026|1280 x 1024|V176L|||||||1||350 mW|13 W|Twisted Nematic Film (TN Film)|||||V176L LCD Monitor|V|LCD Monitor|||5 ms|SXGA|"17"""|Anti-glare||||75 Hz|450 mW||||||||||||||160°|||Yes||170°||||4.85 lb|5.73 lb|"14.5"""|"14.53"""|
Acer V196HQL 185 LED LCD Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||LED||Acer|200 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"2"""|"7.52"""||||||MPR II; EPEAT Gold; ENERGY STAR|||||||"10.5"""|"13.90"""||110 V AC; 220 V AC||121186|Acer, Inc|RA7826|1366 x 768|V196HQL|||||||1||350 mW|11.90 W|Twisted Nematic Film (TN Film)|||||V196HQL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|WXGA|"18.5"""|Anti-glare||||60 Hz|450 mW||||||||||||||65°|||Yes||90°||||4.39 lb|5.47 lb|"17.4"""|"17.38"""|
Dell UltraSharp U2412M 24 LED Monitor Black by Office Depot||||yes|16:10||||Dell|||||||||1000:1 (typical)|||||24 inches|"15.7""H x 21.9""W x 7.1""D"||||EPEAT Gold|||yes||||||178 degrees||no|549457|Dell, Inc.|M2GCR|1920 x 1200|UltraSharp U2412M|300 cd/m2|black|||1920 x 1200|||||||0.269 mm||0%|||||||||||IPS|DVI; VGA 15-pin D-sub; DisplayPort||||||||0%|||No|8 ms|||||||||24 inches||yes|3-yr limited||||||
Dell UltraSharp U3014 30 LED Monitor Black by Office Depot||||yes|16:10||||Dell|||||||||1000:1 (static, typical); 2 million:1 (dynamic)|||||30 inches|"19""-22.55""H x 27.15""W x 7.93""D"||||EPEAT Gold|||yes||||||178 degrees||no|837290|Dell, Inc.|YW27W|2560 x 1600|UltraSharp U3014|350 cd/m2|Black|||2560 x 1600|||||||0.25 mm||25%|||||||||||in-plane switching (IPS)|DVI-D (digital) with HDCP; HDMI; mini-DisplayPort; 4 USB 3.0||||||||25%|||No|6 ms (gray-to-gray)|||||||||30 inches||yes|3-yr limited||||||
Asus VS229H P 215 LED LCD Monitor 169 14 ms by Office Depot|Yes||||16:9||LED||Asus|250 Nit||UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; WHQL; PSB; China Energy Label Level 1|Black|16.7 Million Colors||||50,000,000:1|||"7.9"""||||||Yes|ENERGY STAR; RoHS; WEEE||||Yes|Yes|Yes|"15.2"""|||||842809|ASUS Computer International|LE4606|1920 x 1080|VS229H-P|||Wall Mountable||||1||500 mW|36 W|In-plane Switching (IPS) Technology||PC|||VS229H-P Widescreen LCD Monitor|VS|LCD Monitor|||14 ms|Full HD|"21.5"""|||||75 Hz|500 mW||||||||||||||178°|Yes|100 x 100|Yes||178°||3-year limited||6.83 lb||"20.3"""||
HP Business P17A 17 LED LCD Monitor 54 5 ms by Office Depot|Yes||||5:4||LED||HP|250 Nit||FCC Class B; VCCI; BSMI; CNS 13438 Class B; CCIB; cUL; GS; EN55022 Class B; CCEE; FCC Part 15; EN55024 Class B; UL 60950-1; IEC 60950-1; EN 60950-1; ISO 9241-307; KCC; CISPR; GEEA; CSA C22.2 No. 60950-1; KC|Black|16.7 Million Colors||||1,000:1|||"2.2"""|"8.12"""||||||TCO Certified Displays; WEEE; REACH; ENERGY STAR; EPEAT Gold; TÜV; RoHS; EuP; China Energy Label (CEL)|Security Lock||||||"12.5"""|"15.24"""||110 V AC; 220 V AC||377983|Hewlett-Packard|TY2548|1280 x 1024|P17A|||||||1|||20 W|Twisted Nematic Film (TN Film)||||Business|ProDisplay P17A 17-inch 5:4 LED Backlit Monitor (ENERGY STAR)||LCD Monitor|||5 ms|SXGA|"17"""|Anti-glare||||60 Hz|500 mW||||-5°to25°||||||||||160°|||Yes||170°||3-year limited|||8.20 lb|"14.9"""|"14.85"""|
HP Pavilion 25xi 25 LED LCD Monitor 169 7 ms by Office Depot|Yes||||16:9||LED||HP|250 Nit||CB; CE; FCC; ES 5.2; CSA; C-UL; C-ETL; UL; ETL-NRTL; ICES; S-Mark; VCC; CCC; BSMI; Bauart; ISO9241-307; GOST 25861; HRN N N0.201; GOST R 50377-1992; EEI Certificate; IS 1121; SASO; SABS; IEC 60950-1; NOM-019-SCFI-1998; KC Mark; KCC Mark; PSB mark; ISC mark; C-tick|Iridium Silver; Jack Black|||||1,000:1|||"7.6"""||||||Yes|ErP; China Energy Label (CEL); CECP|Noise Reduction; BrightView Technology; Security Lock|||Yes|Yes||"16.9"""|||||379522|Hewlett-Packard|RQ7236|1920 x 1080|25xi|||||||1|||30 W|In-plane Switching (IPS) Technology||PC||Pavilion|Pavilion 25xi Widescreen LCD Monitor||LCD Monitor|||7 ms|Full HD|"25"""|||||76 Hz|500 mW||||||||||||||178°|||Yes||178°||||9.70 lb||"22.8"""||
Dell S2740L 27 Widescreen LED Backlit Monitor Black by Office Depot||||no|16:9|||Set your preferred viewing angle with extensive tilt adjustability. Tilt the S2740L panel up to 4° forward or 21° backward.|Dell|||||||||1000:1 (static), 8 million:1 (dynamic contrast ratio)||Dell Display Manager helps keep you productive with fast access to software such as Auto Mode, which enables you to select your preferred color mode for each application.|||27 inches|"18.06""H x 25.27""W x 8.5""D"||||EPEAT Silver||Watch images come alive in cinematic quality with Full HD resolution (1920 x 1080 max.) in a 16:9 widescreen format.|yes||||||178 degrees||no|897887|Dell, Inc.|KY79N|1920 x 1080|S2740L|270 cd/m2|Black|||1920 x 1080|||||||0.311 mm||0%|||||||||||in-plane switching|DVI-D (digital) with HDCP; HDMI; VGA 15-pin D-sub||||Connect to your laptop or desktop with VGA and DVI-D (HDCP). The HDMI port lets you explore high-velocity HD entertainment options. Connect to multiple devices with two USB ports.|Images come alive with color-boosting Image Enhance, ultra-wide viewing and Full HD resolution (1920 x 1080 max.) in a 16:9 widescreen format.|||0%|||No|7 ms|Get immersed from nearly any perspective with an ultra-wide 178°/178° viewing angle.|||Connect to a laptop or desktop with VGA and DVI-D (HDCP). Explore HD viewing options with HDMI. Connect to devices with two USB ports.|||||27 inches||yes|1-yr limited||||||"Be comfortable: Set your preferred viewing angle with extensive tilt adjustability. Tilt the S2740L panel up to 4° forward or 21° backward.
Stay versatile: Connect to your laptop or desktop with VGA and DVI-D (HDCP). The HDMI port lets you explore high-velocity HD entertainment options. Connect to multiple devices with two USB ports.
Organize your screen: Tile your applications with Easy Arrange software so you can see them all clearly at a single glance. Even select your preferred desktop design layout."
LG 19EN33S B 185 LED LCD Monitor 169 350 ms by Office Depot|Yes||||16:9||LED||LG|200 Nit|||Glossy Black|16.7 Million Colors||||700:1|||"1.4"""|"6.60"""|||||||Intelligent Auto||||||"10.8"""|"13.70"""||||479207|LG Electronics|11071329|1366 x 768|19EN33S-B|||Desk Mountable||||1||300 mW|18 W||||||"19"" Class (18.5"" Measured Diagonally) LED Back-lit Commercial Desktop Monitor"||LCD Monitor|||3.50 ms|HD|"18.5"""|Anti-glare|||||300 mW||||||||||||||65°|Yes|75 x 75|Yes||90°||3-year limited||4.20 lb|4.60 lb|"17.4"""|"17.40"""|
Samsung S19C200BR 19 LED LCD Monitor 54 5 ms by Office Depot|Yes||||5:4||LED||Samsung|250 Nit||UL: UL 60950-1; CSA: CSA C22.2 No. 60950-1; TUV: EN60950-1; NEMKO: EN60950-1; KC: K60950-1; CCC: GB 4943-2001; PSB: IEC60950-1; GOST: IEC60950-1, EN55022; SIQ: IEC60950-1, EN55022; PCBC: IEC60590-1, EN55022; NOM: NOM-019-SCFI-1993; IRAM:IEC60950-1; SASO: IEC60950-1EMC:; FCC: FCC Part 15, Subpart B class A; CE: EN55022, EN55024; VCCI: V-3 (CISPR22); KCC:KN22, KN24; C-Tick: AS/NZS3548 (CISPR22); CCC:GB 9254-2008, GB 17625.1-2003|Matte Black|16.7 Million Colors||||1,000:1|Mexico||"3"""|"6.69"""||||No|Yes|ENERGY STAR 6.0; TCO Certified Displays; EPEAT Gold; Eco-label; RoHS|MagicBright 3; Off Timer; Eco Saving; MagicAngle; MagicTune; MultiScreen||||No||"13.2"""|"16.50"""||110 V AC; 220 V AC||894746|Samsung|QV9011|1280 x 1024|S19C200BR|||Wall Mountable||||1|||19 W|||PC|||S19C200BR LCD Monitor||LCD Monitor|||5 ms|SXGA|"19"""||||No||100 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||6.50 lb|7.17 lb|"16"""|"16.02"""|
Viewsonic EW2960 29 LED LCD Monitor by Office Depot|||||||LED||Viewsonic|1000 Nit|||Black|||||1,000:1|||||||||Yes|||||||||||||589774|Viewsonic Corporation|KB8782|1366 x 512|EW2960|||||||1|||||||||EW2960 Widescreen LCD Monitor||LCD Monitor|1||||"29"""|||||||||||||||||||||Yes|500 x 100|Yes||||||||||
Viewsonic VA2037a LED 20 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Viewsonic|250 Nit|||Black|||||1,000:1|||"2"""|"7.08"""|||||||Security Lock; Eco Mode||||||"11.7"""|"14"""||||257663|Viewsonic Corporation|RR5228|1600 x 900|VA2037a-LED|||Wall Mountable||||1|||18 W|||PC; Mac|||VA2037a-LED Widescreen LCD Monitor||LCD Monitor|||5 ms|HD+|"20"""|Anti-glare|||||||||||||||||||160°|Yes|100 x 100|Yes||170°||||5.95 lb|6.39 lb|"18.6"""|"18.61"""|
Planar PT1510MX Touch Screen LCD Monitor by Office Depot|||||4:3||||Planar|250 Nit|||Black|16.7 Million Colors|Operating System:; Windows Vista; Windows XP; XP Embedded; Windows 2000|||500:1|||"2.2"""|||||||RoHS; China RoHS|||||||"12.3"""|||110 V AC; 220 V AC||190780|Planar Systems, Inc|K37958|1024 x 768|PT1510MX|||Wall Mountable|||||||||||||PT1510MX Touch Screen LCD Monitor|PT|LCD Touchscreen Monitor|||8 ms|XGA|"15"""||||Yes|75 Hz|||||||Yes|5-wire Resistive||||Yes|||125°|||Yes||140°||3-year limited||17.90 lb||"15.9"""||
Planar PLL2210MW 22 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Planar|250 Nit|Speaker|cTUVus; CE; FCC-B|Black|16.7 Million Colors||||1,000:1|||"1.9"""|"7"""|||||Yes|RoHS||||Yes||Yes|"12.6"""|"15.35"""||110 V AC; 220 V AC||881743|Planar Systems, Inc|LA4420|1920 x 1080|PLL2210MW|||||||1|||25 W|||PC; Mac|||PLL2210MW Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"22"""|Anti-glare|||Yes|60 Hz|500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||7 lb||"19.9"""|"19.94"""|
Asus VE198T 19 LED LCD Monitor 1610 5 ms by Office Depot|Yes||||16:10||LED||Asus|250 Nit|Speaker|UL/cUL; CB; CE; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; WHQL|Black|16.7 Million Colors||||10,000,000:1||||"7.17"""|||||Yes|RoHS; ENERGY STAR||||Yes||||"14.41"""||||861988|ASUS Computer International|KG5869|1440 x 900|VE198T|||Wall Mountable||||1|2|1 W|25 W||||||VE198T Widescreen LCD Monitor|VE|LCD Monitor|||5 ms|WSXGA|"19"""||||Yes|75 Hz|||||||||||||||160°|Yes|100 x 100|Yes||170°||||7.05 lb|||"17.52"""|
Dell UltraSharp U2713H 27 LED Monitor by Office Depot||||yes|16:9||||Dell|||||||||1000:1 (static, typical); 2 million:1 (dynamic)|||||27 inches|"16.67""-21.2""H x 25.17""W x 7.89""D"||||EPEAT Gold|||yes||||||178 degrees||no|898004|Dell, Inc.|104P6|2560 x 1440|UltraSharp U2713H|350 cd/m2|Black|||2560 x 1440|||||||0.231 mm||25%|||||||||||in-plane switching (IPS)|DVI-D (digital) with HDCP; HDMI; DisplayPort; mini-DisplayPort; USB upstream; USB downstream||||||||25%|||No|6 ms (gray-to-gray)|||||||||27 inches||yes|3-yr limited||||||
Samsung SyncMaster S22A650S 22 LED LCD Monitor 169 8 ms by Office Depot|Yes|Yes|Yes||16:9||LED||Samsung|250 Nit||||16.7 Million Colors||||5,000:1|||"1.6"""|"8.50"""||||Yes|Yes|TCO Certified Displays 5.2; EPEAT Gold; ENERGY STAR|MagicBright; Eco Saving; MagicColor; Off Timer; Cable Management; Light Sensor||||||"12.4"""|"14.33"""||||615404|Samsung|NY6148|1920 x 1080|S22A650S|||Wall Mountable||||1|||29 W|||PC; Mac||SyncMaster|"21.5"" LED Monitor S22A650S"|SA650|LCD Monitor|||8 ms|Full HD|"22"""||||||500 mW||||||||||||||178°|Yes|100 x 100|Yes||178°||3-year limited||||"20.2"""|"20.16"""|
Samsung S24C200BL 236 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Samsung|250 Nit||NOM: NOM-019-SCFI-1993; TUV: EN60950-1; UL: UL 60950-1; CSA: CSA C22.2 No. 60950-1; NEMKO: EN60950-1; KC: K60950-1; CCC: GB 4943-2001; PSB: IEC60950-1; GOST: IEC60950-1, EN55022; SIQ: IEC60950-1, EN55022; PCBC: IEC60590-1, EN55022; IRAM:IEC60950-1; SASO: IEC60950-1EMC:; FCC: FCC Part 15, Subpart B class A; CE: EN55022, EN55024; VCCI: V-3 (CISPR22); KCC: KN22, KN24; C-Tick: AS/NZS3548 (CISPR22); CCC: GB 9254-2008, GB 17625.1-2003|Matte Black|16.7 Million Colors||||1,000:1|Mexico||"3"""|"7.28"""||||No|Yes|Eco-label; EPEAT Gold; ENERGY STAR 6.0; TCO Certified Displays 6.0; RoHS|MagicAngle; Eco Saving; MagicBright 3; Off Timer; MagicTune; MultiScreen||||No||"13"""|"16.23"""||110 V AC; 220 V AC||801353|Samsung|QV9017|1920 x 1080|S24C200BL|||Wall Mountable||||1|||30 W|||PC|||"23.6"" S24C200BL Series 2 LED Business Monitor"|200|LCD Monitor|||5 ms|Full HD|"23.6"""||||No||100 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||8.27 lb|9.04 lb|"21.8"""|"21.83"""|
Asus VS208N P 20 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Asus|250 Nit|||Black|16.7 Million Colors||||50,000,000:1|||"7.7"""||||||Yes|ENERGY STAR; EPEAT Gold||||Yes|No||"14.6"""|||||866596|ASUS Computer International|KW3631|1600 x 900|VS208N-P|||Wall Mountable||||1||500 mW|14 W||||||VS208N-P Widescreen LCD Monitor|VS|LCD Monitor|||5 ms|HD+|"20"""|||||75 Hz|500 mW||||||||||||||160°|Yes|75 x 75|Yes||170°||3-year limited||5.51 lb||"18.9"""||
LG E2211TB BN 22 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||LG|250 Nit||ISO13406-2; UL (cUL); TUV-GS (TUV-Type); SEMKO; FCC-B; CE; TAA|Black|16.7 Million Colors||||1,000:1|||"2.5"""|"8.30"""|||||Yes|TCO Displays 5.0; EPEAT Gold; ENERGY STAR 5.0; RoHS||||Yes|||"12"""|"15.70"""||110 V AC; 220 V AC||119404|LG Electronics|NG8386|1920 x 1080|E2211TB-BN|||Wall Mountable||||1|||28 W|||PC|||E2211TB-BN Widescreen LCD Monitor|E11|LCD Monitor|||5 ms|Full HD|"22"""|Anti-glare||||75 Hz|300 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||5.93 lb|6.61 lb|"20"""|"20"""|
LG Flatron IPS235P BN 23 LED LCD Monitor 169 5 ms by Office Depot|Yes|Yes|Yes||16:9||LED||LG|||UL(cUL); TUV-GS (TUV-Type); SEMKO; FCC-B; CE; EPA|Black|16.7 Million Colors||||5,000,000:1|||"8.7"""||23 inches||||Yes|TCO Displays 5.0||||Yes|Yes|Yes|"15.2"""|||110 V AC; 220 V AC||119431|LG Electronics|11189759|1920 x 1080|IPS235P-BN|250 Nit||Wall Mountable; Arm-mountable||||1||300 mW|35 W|In-plane Switching (IPS) Technology||PC||Flatron|Flatron IPS235P-BN Widescreen LCD Monitor|IPS5|LCD Monitor|||5 ms|Full HD|||||||300 mW|||||||||||No|||178°|Yes|100 x 100|Yes||178°||||13.01 lb||"21.5"""||
ViewSonic VX2370Smh LED 23 Widescreen HD Monitor Black by Office Depot||||yes|16:9||||Viewsonic|||||||||30,000,000:1 (dynamic)|||||23 inches|"16.1""H x 21""W x 7""D"||||ENERGY STAR|||yes||||||170 degrees||Yes|695738|ViewSonic|PU9482|1920 x 1080|VX2370Smh-LED|250 cd/m2|Black|||1920 x 1080|||||||0.265 mm||0%|||||||||||flat-panel LED|DVI, VGA, HDMI||||||||0%|||No|7 ms|||||||||23 inches||no|3-yr limited||||||
Viewsonic VA2037m LED 20 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Viewsonic|250 Nit|Speaker|CB; CE; UL; cUL; FCC-B / ICES-003B||||||1,000:1|||"2"""|"8.60"""|||||Yes|ENERGY STAR; WEEE; RoHS; REACH; TCO Certified Displays|Eco Mode; Security Lock|||Yes|||"13.6"""|"16.50"""||110 V AC; 220 V AC||695639|Viewsonic Corporation|QN8766|1600 x 900|VA2037m-LED|||Wall Mountable||||1|2||30 W|||PC; Mac|||"20"" (19.5"" Viewable) Widescreen LED"||LCD Monitor||Yes|5 ms|HD+|"20"""|Anti-glare|||Yes||1 W||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||7.70 lb|9.30 lb|"21.9"""|"21.90"""|
Dell UltraSharp U2312HM 23 LED Monitor Black by Office Depot||||yes|16:9||||Dell|||||||||1000:1 (typical) / 2 million:1 (DCR)|||||23 inches|"14.4""H x 21.5""W x 7.3""D"||||ENERGY STAR|||yes||||||178 degrees||no|848918|Dell, Inc.|T9MJ3|1920 x 1080 at 60Hz|UltraSharp U2312HM|300 cd/m2|Black||||||||||0.265 mm||0%|||||||||||LED|DisplayPort; DVI; VGA||||||||0%|||No|8 ms|||||||||23 inches||yes|3-yr limited||||||
Acer V196L 19 LED LCD Monitor 54 5 ms by Office Depot|Yes|No|No||5:4||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"2"""|"8.15"""|||||Yes|EPEAT Gold; TCO Certified Displays 6.0||||Yes|||"13.3"""|"16.06"""||110 V AC; 220 V AC||195958|Acer, Inc|3696800|1280 x 1024|V196L|||||||1||350 mW|15.80 W|Twisted Nematic Film (TN Film)|||||V196L LCD Monitor|V|LCD Monitor|||5 ms|SXGA|"19"""|Anti-glare|||Yes|75 Hz|450 mW||||||||||||||160°|||Yes||170°||||5.95 lb|6.83 lb|"16"""|"16"""|
Asus VS248H P 24 LED LCD Monitor 169 2 ms by Office Depot|Yes||||16:9||LED||Asus|250 Nit||CEL; UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; PSB; J-MOSS|Glossy Black|16.7 Million Colors||||50,000,000:1|||"8.1"""||||||Yes|ENERGY STAR; RoHS; WEEE||||Yes|Yes|Yes|"16.2"""|||||865003|ASUS Computer International|KE8250|1920 x 1080|VS248H-P|||Wall Mountable||||1||500 mW|32 W|||PC|||VS248H-P Widescreen LCD Monitor|VS|LCD Monitor|||2 ms|Full HD|"24"""|||||76 Hz|500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||9.04 lb||"22.6"""||
Acer V196WL 19 LED LCD Monitor 1610 5 ms by Office Depot|Yes|No|No||16:10||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"7.5"""||||||Yes|TCO '06; EPEAT Gold||||Yes|||"14.9"""|||110 V AC; 220 V AC||459640|Acer, Inc|QX6152|1440 x 900|V196WL|||||||1||350 mW|13 W|Twisted Nematic Film (TN Film)|||||V196WL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|WXGA+|"19"""|Anti-glare||||60 Hz|450 mW||||||||||||||160°|||Yes||170°||||6 lb|6.90 lb|"17.3"""||
Viewsonic VG2228wm LED 22 LED LCD Monitor 169 5 ms by Office Depot|Yes|Yes|||16:9||LED||Viewsonic|250 Nit|Speaker; USB Hub|CB; UL; cUL; FCC-B/ICES003; UL AR/TUV-S; NOM; CE; GOST-R+Hygienic; UkrSepro; CCC; CEL level 2; BSMI; PSB; C-Tick; SASO||Grayscale||||1,000:1|||"9.1"""||||||Yes|RoHS; REACH; WEEE; ENERGY STAR; EPEAT Silver|||||||"16.2"""|||110 V AC; 220 V AC||549938|Viewsonic Corporation|LL0271|1920 x 1080|VG2228wm-LED|||||||1|2||26 W|||PC; Mac|||VG2228wm-LED Widescreen LCD Monitor|G|LCD Monitor|||5 ms|Full HD|"22"""|Anti-glare|||Yes|75 Hz||||||||||||Yes|USB 2.0||160°|||Yes||170°||||9.70 lb||"20.1"""||
Asus VE248H 24 LED LCD Monitor 169 2 ms by Office Depot|Yes||||16:9||LED||Asus|250 Nit||CEL; UL/cUL; CB; CE; EuP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; J-MOSS|Black|16.7 Million Colors||||10,000,000:1|||"7.9"""||||||Yes|ENERGY STAR; RoHS; WEEE||||Yes|Yes||"16.1"""|||||851809|ASUS Computer International|DL7132|1920 x 1080|VE248H|||Wall Mountable||||1|2||34 W|||PC|||VE248H Widescreen LCD Monitor|VE|LCD Monitor|||2 ms|Full HD|"24"""||||Yes|76 Hz|990 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||9.70 lb||"22.4"""||
