<page title>|aspect ratio|brightness|builtin speakers|component|contrast ratio|display colors|displayport|dvi|dvid duallink|hdmi|ips|led|manufacturer|minidisplay port|model|part|recommended resolution|refresh rate|response time|screen size|svideo|vga|viewing angle|widescreen
"NEC EA273WM-BK 27.0"" Monitor (EA273WM-BK) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||25,000:1 DCR (1000:1)|16700000|1|1||1|No|Yes|NEC|||EA273WM-BK|1920 x 1080||5 ms|"27"""||1|160° H x 160° V|Yes
"Samsung C24A650X 24.0"" Monitor (C24A650X) - PCPartPicker Canada"|16:9|250 cd/m²|No||3000:1 / Mega DCR|||||1|No|Yes|Samsung|||C24A650X|1920 x 1080||8 ms|"24"""||1|178° H x 178° V|Yes
"LG LG-D2343PB-BN 60Hz 23.0"" Monitor (LG-D2343PB-BN) - PCPartPicker Canada"|16:9|250 cd/m²|No||||||1|1|Yes|No|LG|||LG-D2343PB-BN|1920 x 1080|60Hz|14 ms|"23"""|||178° H x 178° V|Yes
"HP W2072a (A3M50AA#ABA) 60Hz 20.0"" Monitor (W2072a) - PCPartPicker Canada"|16:9|200 cd/m²|Yes||3000000:1 (600:1)|16770000||1|||No|Yes|HP||W2072a (A3M50AA#ABA)|W2072a|1600 x 900|60Hz|5 ms|"20"""||1|90° H x 50° V|Yes
"HP F0W81AA#ABA 60Hz 24.0"" Monitor (F0W81AA#ABA) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||5,000,000:1|16700000|1|1|||Yes|Yes|HP|||F0W81AA#ABA|1920 x 1200|60Hz|8 ms|"24"""||1||Yes
"Acer G237HLbi 60Hz 23.0"" Monitor (UM.VG7AA.001) - PCPartPicker Canada"|16:9|250 cd/m²|No||DCR 100,000,000:1 (1,000:1)|16700000||||1|Yes|Yes|Acer||G237HLbi|UM.VG7AA.001|1920 x 1080|60Hz|6 ms|"23"""||1|178° H x 178° V|Yes
"Lenovo LT2323p 23.0"" Monitor (3024HC1) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000|1|1|||No|Yes|Lenovo||LT2323p|3024HC1|1920 x 1080||5 ms|"23"""||1|170° H x 160° V|Yes
"ViewSonic VG732M 17.0"" Monitor (VG732M) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||1000:1 (typ); 100,000:1 (dynamic)|||1|||No|No|ViewSonic|||VG732M|1280 x 1024||5 ms|"17"""||1|160° H x 160° V|No
"Acer V246HLbmdp 60Hz 24.0"" Monitor (UM.FV6AA.004) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||ACM 100,000,000:1 (1000:1)|16700000|1|1|||No|Yes|Acer||V246HLbmdp|UM.FV6AA.004|1920 x 1080|60Hz|5 ms|"24"""||1|170° H x 160° V|Yes
"BenQ GW2265HM 60Hz 21.5"" Monitor (GW2265HM) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DCR 20,000,000:1 (3000:1)|16700000||1||1|No|Yes|BenQ|||GW2265HM|1920 x 1080|60Hz|6 ms|"21.5"""||1|178° H x 178° V|Yes
"HP D7R00A8#ABA 60Hz 27.0"" Monitor (D7R00A8#ABA) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||1000:1|1070000000|2|||1|Yes|Yes|HP|||D7R00A8#ABA|2560 x 1440|60Hz|12 ms|"27"""|||178° H x 178° V|Yes
"Asus VX238H 23.0"" Monitor (VX238H) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||80,000,000:1|16700000||||2|No|Yes|Asus|||VX238H|1920 x 1080||1 ms|"23"""||1|170° H x 160° V|Yes
"Acer S200HQLbd 60Hz 19.5"" Monitor (UM.IS0AA.002) - PCPartPicker Canada"|16:9|250 cd/m²|No||100,000,000:1|16700000||1|||No|Yes|Acer||S200HQLbd|UM.IS0AA.002|1600 x 900|60Hz|5 ms|"19.5"""||1|170° H x 160° V|Yes
"Dell U2312HM 23.0"" Monitor (469-1253) - PCPartPicker Canada"|16:9|300 cd/m²|No||2 Million:1 DCR (1000:1)|16700000|1|1|||Yes|Yes|Dell||U2312HM|"469-1253
(or) U2312HM"|1920 x 1080||8 ms|"23"""||1|178° H x 178° V|Yes
"AOC 2036Sa 20.0"" Monitor (2036Sa) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 60000:1|16700000|||||No|No|AOC|||2036Sa|1600 x 900||5 ms|"20"""||1|160° H x 160° V|Yes
"LG E1910T-BN 18.5"" Monitor (E1910T-BN) - PCPartPicker Canada"|5:4|250 cd/m²|No||10000:1|16700000||1|||No|Yes|LG|||E1910T-BN|1280 x 1024||5 ms|"18.5"""||1|170° H x 160° V|No
"Lenovo ThinkVision E2223s 75Hz 21.5"" Monitor (60AFHAR1US) - PCPartPicker Canada"|16:9|200 cd/m²|No||600:1|16700000||1|||No|Yes|Lenovo||ThinkVision E2223s|60AFHAR1US|1920 x 1080|75Hz|5 ms|"21.5"""||1||Yes
"Acer B226WLymdr 60Hz 22.0"" Monitor (UM.EB6AA.001) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||ACM 100,000,000:1 (1000:1)|16700000||1|||No|Yes|Acer||B226WLymdr|UM.EB6AA.001|1680 x 1050|60Hz|5 ms|"22"""||1|170° H x 160° V|Yes
"NEC EA274WMI-BK 60Hz 27.0"" Monitor (EA274WMI-BK) - PCPartPicker Canada"|16:9|350 cd/m²|Yes||1000:1|16700000|1|1||1|Yes|Yes|NEC|||EA274WMI-BK|2560 x 1440|60Hz|6 ms|"27"""||1|178° H x 178° V|Yes
"NEC AS192-BK 19.0"" Monitor (AS192-BK) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1|16700000||1|||No|Yes|NEC|||AS192-BK|1280 x 1024||5 ms|"19"""||1|160° H x 160° V|No
"Philips 19S4LSB/27 60Hz 19.0"" Monitor (19S4LSB/27) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1|16700000||1|||No|Yes|Philips|||19S4LSB/27|1280 x 1024|60Hz|5 ms|"19"""||1|170° H x 160° V|No
"Asus VE247H 23.6"" Monitor (VE247H) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||10,000,000:1 (ASCR)|16700000||1||1|No|Yes|Asus|||VE247H|1920 x 1080||2 ms|"23.6"""||1|170° H x 160° V|Yes
"HP W2371d (B3A19AA#ABA) 60Hz 23.0"" Monitor (W2371D) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|||1|||No|Yes|HP||W2371d (B3A19AA#ABA)|W2371D|1920 x 1080|60Hz|5 ms|"23"""||1||Yes
"Hannspree HL193ABB 18.5"" Monitor (HL193ABB) - PCPartPicker Canada"|16:9|250 cd/m²|No||30,000,000:1|16700000|||||No|Yes|Hannspree|||HL193ABB|1366 x 768||5 ms|"18.5"""||1|160° H x 160° V|Yes
"HP C9V73AA#ABA 60Hz 20.0"" Monitor (C9V73AA#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000|||||No|Yes|HP|||C9V73AA#ABA|1600 x 900|60Hz|5 ms|"20"""||1||Yes
"HP LV2311 60Hz 23.0"" Monitor (A6B85A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1 (static) / 1000000:1 (dynamic)|16700000||2|||No|Yes|HP||LV2311|A6B85A8#ABA|1920 x 1080|60Hz|5 ms|"23"""||1|170° H x 160° V|Yes
"HP LE2002x 60Hz 20.0"" Monitor (LL763AA#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 3,000,000:1(1000:1)|16700000||1|||No|Yes|HP||LE2002x|LL763AA#ABA|1600 x 900|60Hz|5 ms|"20"""||1|170° H x 160° V|Yes
"Philips 242G5DJEB 144Hz 24.0"" Monitor (242G5DJEB) - PCPartPicker Canada"|16:9|350 cd/m²|Yes||1000:1|16700000|1|1||1|No|No|Philips|||242G5DJEB|1920 x 1080|144Hz|5 ms|"24"""||1|170° H x 160° V|Yes
"LG 22M45D 60Hz 21.5"" Monitor (22M45D) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|||1|||No|Yes|LG|||22M45D|1920 x 1080|60Hz|5 ms|"21.5"""||1|170° H x 160° V|Yes
"Planar PXL2230MW 22.0"" Monitor (997-7039-00) - PCPartPicker Canada"|16:9|200 cd/m²|Yes||1000:1|16700000||1||1|No|No|Planar||PXL2230MW|997-7039-00|1920 x 1080||5 ms|"22"""||1|170° H x 160° V|Yes
"HP E221c 60Hz 21.5"" Monitor (D9E49A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DCR 5,000,000:1 (1000:1)||1|1|||No|Yes|HP||E221c|D9E49A8#ABA|1920 x 1080|60Hz|7 ms|"21.5"""||1|178° H x 178° V|Yes
"NEC E201W-BK 20.0"" Monitor (E201W-BK) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 25,000:1 (1,000:1)|16700000|1|1|||No|Yes|NEC|||E201W-BK|1600 x 900|||"20"""||1|178° H x 178° V|Yes
"Dell ST2421L 24.0"" Monitor (ST2421L) - PCPartPicker Canada"|16:9|250 cd/m²|No||7,000,000:1|||1||1|No|Yes|Dell|||ST2421L|1920 x 1080||5 ms|"24"""||1|170° H x 160° V|Yes
"Planar PL1910M 19.0"" Monitor (997279700) - PCPartPicker Canada"|5:4|300 cd/m²|Yes||1000:1|16700000||1|||No|No|Planar||PL1910M|997279700|1280 x 1024||5 ms|"19"""||1|160° H x 160° V|No
"LG E2722PY-BN 27.0"" Monitor (E2722PY-BN) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||5000000:1 DCR (1000:1)|16700000|1|1|||Yes|Yes|LG|||E2722PY-BN|1920 x 1080||14 ms|"27"""||1|178° H x 178° V|Yes
"NEC EA304WMI-BK 75Hz 30.0"" Monitor (EA304WMI-BK) - PCPartPicker Canada"|16:10|350 cd/m²|Yes||1,000:1|1070000000|1|1||1|Yes|Yes|NEC|||EA304WMI-BK|2560 x 1600|75Hz|6 ms|"30"""||1|178° H x 178° V|Yes
"AOC 919Vwa 19.0"" Monitor (919Vwa) - PCPartPicker Canada"|16:10|300 cd/m²|Yes||10000:1|16700000||1|||No|No|AOC|||919Vwa|1440 x 900||5 ms|"19"""||1|170° H x 160° V|Yes
"HP LA2006x 60Hz 20.0"" Monitor (XN374AA#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1||1|1|||No|Yes|HP||LA2006x|XN374AA#ABA|1600 x 900|60Hz|5 ms|"20"""||1|170° H x 160° V|Yes
"HP 22xi 60Hz 21.5"" Monitor (22xi) - PCPartPicker Canada"|16:9|250 cd/m²|No||10,000,000:1|||1||1|Yes|Yes|HP|||22xi|1920 x 1080|60Hz|7 ms|"21.5"""||1|178° H x 178° V|Yes
"ViewSonic VA2232WM-LED 22.0"" Monitor (VA2232WM-LED) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||DC 10,000,000:1|||1|||No|Yes|ViewSonic|||VA2232WM-LED|1680 x 1050||5 ms|"22"""||1|170° H x 160° V|Yes
"Asus VN247H-P 23.6"" Monitor (VN247H-P) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||80,000,000:1|16700000||||2|No|Yes|Asus|||VN247H-P|1920 x 1080||1 ms|"23.6"""||1|170° H x 160° V|Yes
"HP ZR2330w 60Hz 23.0"" Monitor (C6Y18A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 1,000,000:1 (1000:1)||1|1|||Yes|Yes|HP||ZR2330w|C6Y18A8#ABA|1920 x 1080|60Hz|14 ms|"23"""||1|178° H x 178° V|Yes
"Acer S242HLBwid 60Hz 24.0"" Monitor (UM.FS2AA.B01) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000||1||1|No|Yes|Acer||S242HLBwid|UM.FS2AA.B01|1920 x 1080|60Hz|5 ms|"24"""||1|176° H x 170° V|Yes
"LG N1941WP-PF 19.0"" Monitor (N1941WP-PF) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DFC 8,000:1|16700000|||||No|No|LG|||N1941WP-PF|1366 x 768||5 ms|"19"""||1|170° H x 160° V|Yes
"Hannspree HE225DPB 21.5"" Monitor (HE225DPB) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||Active Contrast 40,000,000:1 (1,000:1)|16700000||1|||No|Yes|Hannspree|||HE225DPB|1920 x 1080||5 ms|"21.5"""||1|170° H x 160° V|Yes
"Asus VS238H-P 23.0"" Monitor (VS238H-P) - PCPartPicker Canada"|16:9|250 cd/m²|No||50,000,000:1|16700000||1||1|No|Yes|Asus|||VS238H-P|1920 x 1080||2 ms|"23"""||1|170° H x 160° V|Yes
"CTL MTLP2151 22.0"" Monitor (MTLP2151) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000||1||1|No|Yes|CTL|||MTLP2151|1920 x 1080||2 ms|"22"""||1|160° H x 160° V|Yes
"Philips 298P4QJEB/27 60Hz 29.0"" Monitor (298P4QJEB/27) - PCPartPicker Canada"|21:9|300 cd/m²|Yes||20,000,000:1||1|1||2|Yes|Yes|Philips|||298P4QJEB/27|2560 x 1080|60Hz|5 ms|"29"""|||178° H x 178° V|Yes
"BenQ GL2250TM 21.5"" Monitor (GL2250TM) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DCR 12,000,000:1 (1000:1)|16700000||1|||No|Yes|BenQ|||GL2250TM|1920 x 1080||5 ms|"21.5"""||1|170° H x 160° V|Yes
"HP P201m 20.0"" Monitor (C9F73A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|||1|||No|Yes|HP||P201m|C9F73A8#ABA|1600 x 900||5 ms|"20"""||1|170° H x 160° V|Yes
"V7 LED236W3R-8N 75Hz 24.0"" Monitor (LED236W3R-8N) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000|||||No|Yes|V7|||LED236W3R-8N|1920 x 1080|75Hz|5 ms|"24"""||1||Yes
"LG N225WU-BN 21.5"" Monitor (N225WU-BN) - PCPartPicker Canada"|16:9|250 cd/m²|No||5,000,000:1|16700000|||||No|Yes|LG|||N225WU-BN|1920 x 1080||5 ms|"21.5"""||2|170° H x 160° V|Yes
"Planar PXL2251MW 60Hz 21.5"" Monitor (997-6899-00) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000||||1|No|Yes|Planar||PXL2251MW|997-6899-00|1920 x 1080|60Hz|5 ms|"21.5"""||1|170° H x 160° V|Yes
"Dell P2414H 60Hz 23.8"" Monitor (P2414H) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000|1|1|||Yes|Yes|Dell|||P2414H|1920 x 1080|60Hz|8 ms|"23.8"""||1|178° H x 178° V|Yes
"Acer B296CLbmiidprz 60Hz 29.0"" Monitor (UM.RB6AA.001) - PCPartPicker Canada"|21:9|300 cd/m²|Yes||100,000,000:1 (1,000:1)|16700000|1|1||2|Yes|Yes|Acer||B296CLbmiidprz|UM.RB6AA.001|2560 x 1080|60Hz|8 ms|"29"""|||178° H x 178° V|Yes
"HP Z22i (D7Q14A4) 60Hz 21.5"" Monitor (D7Q14A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 5,000,000:1 (1000:1)||1|1|||Yes|Yes|HP||Z22i (D7Q14A4)|D7Q14A8#ABA|1920 x 1080|60Hz|8 ms|"21.5"""||1|178° H x 178° V|Yes
"ViewSonic VA2037m-LED 20.0"" Monitor (VA2037m-LED) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DCR 10,000,000:1 (1000:1)|||1|||No|Yes|ViewSonic|||VA2037m-LED|1600 x 900||5 ms|"20"""||1|170° H x 160° V|Yes
"V7 LED215W2R-8N 75Hz 21.5"" Monitor (LED215W2R-8N) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000|||||No|Yes|V7|||LED215W2R-8N|1920 x 1080|75Hz|5 ms|"21.5"""||1||Yes
"Acer B236HLymdr 60Hz 23.0"" Monitor (UM.VB6AA.001) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||100,000,000:1 (1,000:1)|16700000||1|||Yes|Yes|Acer||B236HLymdr|UM.VB6AA.001|1920 x 1080|60Hz|6 ms|"23"""||1|178° H x 178° V|Yes
"LG E2211TB-BN 22.0"" Monitor (E2211TB-BN) - PCPartPicker Canada"|16:9|250 cd/m²|No||DFC 5M:1 (1000:1)|16700000||1|||No|Yes|LG|||E2211TB-BN|1920 x 1080||5 ms|"22"""||1|170° H x 160° V|Yes
"Samsung LH22UDBPLBB/ZA 60Hz 22.0"" Monitor (LH22UDBPLBB/ZA) - PCPartPicker Canada"|1:1|450 cd/m²|No||4000:1|||||1|No|Yes|Samsung|||LH22UDBPLBB/ZA|960 x 960|60Hz|8 ms|"22"""||||No
"HP B6R49AS#ABA (x2401) 60Hz 24.0"" Monitor (B6R49AS#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||10,000,000:1 (5,000:1)||1|||1|No|Yes|HP||B6R49AS#ABA (x2401)|B6R49AS#ABA|1920 x 1080|60Hz|12 ms|"24"""|||178° H x 178° V|Yes
"Eizo EV2436WFS-BK 60Hz 24.0"" Monitor (EV2436WFS-BK) - PCPartPicker Canada"|16:10|300 cd/m²|No||1000:1|16770000|1|1|||Yes|Yes|Eizo|||EV2436WFS-BK|1920 x 1200|60Hz|6 ms|"24"""||1|178° H x 178° V|Yes
"Planar PL1910M-WH 19.0"" Monitor (997-5510-00) - PCPartPicker Canada"|5:4|300 cd/m²|Yes||1000:1|16700000||1|||No|No|Planar||PL1910M-WH|997-5510-00|1280 x 1024||5 ms|"19"""||1|170° H x 160° V|No
"BenQ GW2765HT 60Hz 27.0"" Monitor (GW2765HT) - PCPartPicker Canada"|16:9|350 cd/m²|Yes||DCR 20,000,000:1 (1000:1)|1070000000|1|1||1|Yes|Yes|BenQ|||GW2765HT|2560 x 1440|60Hz|4 ms|"27"""||1|178° H x 178° V|Yes
"Dell E2011H 20.0"" Monitor (468-8248) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000 : 1 (typical)|16700000||1|||No|Yes|Dell||E2011H|468-8248|1600 x 900||5 ms|"20"""||1|170° H x 160° V|Yes
"Dell E1914H 18.5"" Monitor (E1914H) - PCPartPicker Canada"|16:9|200 cd/m²|No||700:1|16700000|||||No|Yes|Dell|||E1914H|1366 x 768||5 ms|"18.5"""||1|90° H x 65° V|Yes
"HP LA2206x 60Hz 21.5"" Monitor (XN376A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1 (static) / 1000000:1 (dynamic)|16000000|1|1|||No|Yes|HP||LA2206x|XN376A8#ABA|1920 x 1080|60Hz|5 ms|"21.5"""||1|170° H x 160° V|Yes
"HP ZR2240w 60Hz 21.5"" Monitor (XW475A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000|1|1||1|Yes|Yes|HP||ZR2240w|XW475A8#ABA|1920 x 1080|60Hz|8 ms|"21.5"""||1|178° H x 178° V|Yes
"Lenovo 3028LB2 23.0"" Monitor (3028LB2) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000|||||No|Yes|Lenovo|||3028LB2|1920 x 1080||7 ms|"23"""||1||Yes
"Acer G196HQLb 60Hz 18.5"" Monitor (UM.XG6AA.002) - PCPartPicker Canada"|16:9|200 cd/m²|No||ACM 100,000,000:1 (700:1)|16700000|||||No|Yes|Acer||G196HQLb|UM.XG6AA.002|1366 x 768|60Hz|5 ms|"18.5"""||1|90° H x 65° V|Yes
"Acer UM.HB6AA.A01 60Hz 27.0"" Monitor (UM.HB6AA.A01) - PCPartPicker Canada"|16:9|350 cd/m²|Yes||100,000,000:1|16700000||1||1|Yes|Yes|Acer|||UM.HB6AA.A01|2560 x 1440|60Hz|6 ms|"27"""||||Yes
"V7 LED26W3S-9N 26.0"" Monitor (LED26W3S-9N) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||800:1||||||No|Yes|V7|||LED26W3S-9N|1920 x 1080||5 ms|"26"""||1||Yes
"Samsung S22D300NY 60Hz 21.5"" Monitor (S22D300NY) - PCPartPicker Canada"|16:9|200 cd/m²|No||DCR Mega Infinity (600:1)|16700000|||||No|Yes|Samsung|||S22D300NY|1920 x 1080|60Hz|5 ms|"21.5"""||1|90° H x 65° V|Yes
"Samsung S27C570H 27.0"" Monitor (S27C570H) - PCPartPicker Canada"|16:9|300 cd/m²|No||Mega Infinite DCR (1000:1)|16700000||||1|No|Yes|Samsung|||S27C570H|1920 x 1080||5 ms|"27"""||1|178° H x 178° V|Yes
"LG 24MB35D-B 60Hz 23.8"" Monitor (24MB35D-B) - PCPartPicker Canada"|16:9|250 cd/m²|No||DFC 5,000,000:1 (1000:1)|||1|||Yes|Yes|LG|||24MB35D-B|1920 x 1080|60Hz|5 ms|"23.8"""||1|178° H x 178° V|Yes
"Acer V243HL DJObmd 60Hz 24.0"" Monitor (UM.FV3AA.D01) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||ACM 100,000,000:1(1000:1)|16700000||1|||No|Yes|Acer||V243HL DJObmd|UM.FV3AA.D01|1920 x 1080|60Hz|5 ms|"24"""||1||Yes
"BenQ GL2450HT 60Hz 24.0"" Monitor (GL2450HT) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||||||1|1|No|Yes|BenQ|||GL2450HT|1920 x 1080|60Hz|5 ms|"24"""||1|170° H x 160° V|Yes
"Samsung S22C150N 21.5"" Monitor (S22C150N) - PCPartPicker Canada"|16:9|200 cd/m²|No||Mega Infinite DCR (700:1)|16700000|||||No|Yes|Samsung|||S22C150N|1920 x 1080||5 ms|"21.5"""||1|90° H x 65° V|Yes
"Samsung S24D300HL 60Hz 23.6"" Monitor (S24D300HL) - PCPartPicker Canada"|16:9|200 cd/m²|No||DCR Mega Infinity (700:1)|16700000||||1|No|Yes|Samsung|||S24D300HL|1920 x 1080|60Hz|5 ms|"23.6"""||1|90° H x 65° V|Yes
"Samsung S27C650P 60Hz 27.0"" Monitor (S27C650P) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||Mega Infinity (5000:1)||1|||1|No|Yes|Samsung|||S27C650P|1920 x 1080|60Hz|4 ms|"27"""||1|178° H x 178° V|Yes
"HP W2271d 60Hz 21.5"" Monitor (W2271d) - PCPartPicker Canada"|16:9|200 cd/m²|No||600:1|||1|||No|Yes|HP|||W2271d|1920 x 1080|60Hz|5 ms|"21.5"""||1||Yes
"LG 25UM64-S 60Hz 25.0"" Monitor (25UM64-S) - PCPartPicker Canada"|21:9|250 cd/m²|Yes||1000:1||1|1||2|Yes|Yes|LG|||25UM64-S|2560 x 1080|60Hz|14 ms|"25"""|||178° H x 178° V|Yes
"HP L2206tm 60Hz 21.5"" Monitor (B7F36A8#ABA) - PCPartPicker Canada"|16:9|220 cd/m²|Yes||1000:1||1|1|||No|Yes|HP||L2206tm|B7F36A8#ABA|1920 x 1080|60Hz|5 ms|"21.5"""||1|170° H x 160° V|Yes
"Asus PA279Q 27.0"" Monitor (PA279Q) - PCPartPicker Canada"|16:9|350 cd/m²|Yes||100000000:1||2|1||1|Yes|Yes|Asus|||PA279Q|2560 x 1440||6 ms|"27"""|||178° H x 178° V|Yes
"Samsung T24B350ND 24.0"" Monitor (T24B350ND) - PCPartPicker Canada"|16:9|250 cd/m²|Yes|1|1000:1|||||2|No|Yes|Samsung|||T24B350ND|1920 x 1080||5 ms|"24"""|1|1|170° H x 160° V|Yes
"HP LE2202x LL649AA#ABA) 60Hz 21.5"" Monitor (LL649AA#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 3,000,000:1 (1000:1)|16700000||1|||No|Yes|HP||LE2202x LL649AA#ABA)|LL649AA#ABA|1920 x 1080|60Hz|5 ms|"21.5"""||1|170° H x 160° V|Yes
"LG 20M35D-B 60Hz 19.5"" Monitor (20M35D-B) - PCPartPicker Canada"|16:9|200 cd/m²|No||DFC 5,000,000:1 (600:1)|||1|||No|Yes|LG|||20M35D-B|1600 x 900|60Hz|5 ms|"19.5"""||1|90° H x 65° V|Yes
"Samsung S22C350H 21.5"" Monitor (S22C350H) - PCPartPicker Canada"|16:9|250 cd/m²|No||Mega Infiniti DCR (1000:1)|16700000||||1|No|Yes|Samsung|||S22C350H|1920 x 1080||5 ms|"21.5"""||1|170° H x 160° V|Yes
"Planar 997-7019-00 60Hz 22.0"" Monitor (997-7019-00) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000|||||No|Yes|Planar|||997-7019-00|1920 x 1080|60Hz|5 ms|"22"""||1||Yes
"HP 1912nm 18.5"" Monitor (A1K82A8#ABA) - PCPartPicker Canada"|16:9|200 cd/m²|Yes||600:1|16000000|||||No|No|HP||1912nm|A1K82A8#ABA|1366 x 768||5 ms|"18.5"""||1|90° H x 50° V|Yes
"Asus VG248QE 144Hz 24.0"" Monitor (VG248QE) - PCPartPicker Canada"|16:9|350 cd/m²|Yes||80,000,000:1|16700000|1||1|1|No|Yes|Asus|||VG248QE|1920 x 1080|144Hz|1 ms|"24"""|||170° H x 160° V|Yes
"Samsung S19B220NW 19.0"" Monitor (S19B220NW) - PCPartPicker Canada"|16:10|250 cd/m²|No||Static Contrast Ratio: 1000:1<br/>Dynamic Contrast Ratio: Mega (5,000,000:1)|||1|||No|Yes|Samsung|||S19B220NW|1440 x 900||5 ms|"19"""||1||Yes
"BenQ BL3200PT 60Hz 32.0"" Monitor (BL3200PT) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||3000:1|1070000000|1|1||1|No|Yes|BenQ|||BL3200PT|2560 x 1440|60Hz|4 ms|"32"""||1|178° H x 178° V|Yes
"ViewSonic VG2437mc-LED 24.0"" Monitor (VG2437mc-LED) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||20,000,000:1||1|1|||No|Yes|ViewSonic|||VG2437mc-LED|1920 x 1080||5 ms|"24"""||1|170° H x 160° V|Yes
"LG 24M45H 60Hz 24.0"" Monitor (24M45H) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|||||1|No|Yes|LG|||24M45H|1920 x 1080|60Hz|5 ms|"24"""||1|170° H x 160° V|Yes
"Planar PL1911M-BK 19.0"" Monitor (PL1911M-BK) - PCPartPicker Canada"|5:4|300 cd/m²|Yes||1000:1|16700000||1|||No|No|Planar|||PL1911M-BK|1280 x 1024||5 ms|"19"""||1|150° H x 140° V|No
"Samsung S24C570HL 23.6"" Monitor (S24C570HL) - PCPartPicker Canada"|16:9|250 cd/m²|No||Mega Infinite DCR (1000:1)|16700000||||1|No|Yes|Samsung|||S24C570HL|1920 x 1080||5 ms|"23.6"""||1|178° H x 178° V|Yes
"NEC PA241W-BK-SV 24.1"" Monitor (PA241W-BK-SV) - PCPartPicker Canada"|16:10|360 cd/m²|No||1000:1|1070000000|1|1|||No|No|NEC|||PA241W-BK-SV|1920 x 1200||16 ms|"24.1"""||1|178° H x 178° V|Yes
"BenQ VW2235H 21.5"" Monitor (VW2235H) - PCPartPicker Canada"|16:9|250 cd/m²|No||1,000,000:1 (3000:1)|16700000||1||1|No|Yes|BenQ|||VW2235H|1920 x 1080||6 ms|"21.5"""||1|178° H x 178° V|Yes
"Samsung S27D590P 60Hz 27.0"" Monitor (S27D590P) - PCPartPicker Canada"|16:9|300 cd/m²|No||DCR Mega Infinity (1000:1)|16700000||||2|No|Yes|Samsung|||S27D590P|1920 x 1080|60Hz|5 ms|"27"""||1|178° H x 178° V|Yes
"Philips 19S4LSB5 60Hz 19.0"" Monitor (19S4LSB5) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1|16700000|||||No|Yes|Philips|||19S4LSB5|1280 x 1024|60Hz|5 ms|"19"""||1|170° H x 160° V|No
